date,equity,current_dd,kill_switch_active,n_trades
2026-08-27T21:25:05.852674,99952.74,-0.0005,False,0
2026-08-28T04:50:29.530748,99952.74,-0.0005,False,0
2026-08-28T05:25:07.168607,99952.74,-0.0005,False,0
2026-08-28T06:25:07.029440,99952.74,-0.0005,False,0
2026-08-28T07:25:06.289378,99952.74,-0.0005,False,0
2026-08-28T08:25:06.324644,99952.74,-0.0005,False,0
2026-08-28T09:25:06.306806,99952.74,-0.0005,False,0
2026-08-28T10:25:06.296921,99952.74,-0.0005,False,0
2026-08-28T11:25:06.436235,99952.74,-0.0005,False,0
2026-08-28T12:25:06.826417,99952.74,-0.0005,False,0
