bank,date
RBA,2010-05-04
RBA,2010-06-01
RBA,2010-07-06
RBA,2010-08-03
RBA,2010-09-07
RBA,2010-10-05
RBA,2010-11-02
RBA,2010-12-07
RBA,2011-02-01
RBA,2011-03-01
RBA,2011-04-05
RBA,2011-05-03
RBA,2011-06-07
RBA,2011-07-05
RBA,2011-08-02
RBA,2011-09-06
RBA,2011-10-04
RBA,2011-11-01
RBA,2011-12-06
RBA,2012-02-07
RBA,2012-03-06
RBA,2012-04-03
RBA,2012-05-01
RBA,2012-06-05
RBA,2012-07-03
RBA,2012-08-07
RBA,2012-09-04
RBA,2012-10-02
RBA,2012-11-06
RBA,2012-12-04
RBA,2013-02-05
RBA,2013-03-05
RBA,2013-04-02
RBA,2013-05-07
RBA,2013-06-04
RBA,2013-07-02
RBA,2013-08-06
RBA,2013-09-03
RBA,2013-10-01
RBA,2013-11-05
RBA,2013-12-03
RBA,2014-02-04
RBA,2014-03-04
RBA,2014-04-01
RBA,2014-05-06
RBA,2014-06-03
RBA,2014-07-01
RBA,2014-08-05
RBA,2014-09-02
RBA,2014-10-07
RBA,2014-11-04
RBA,2014-12-02
RBA,2015-02-03
RBA,2015-03-03
RBA,2015-04-07
RBA,2015-05-05
RBA,2015-06-02
RBA,2015-07-07
RBA,2015-08-04
RBA,2015-09-01
RBA,2015-10-06
RBA,2015-11-03
RBA,2015-12-01
RBA,2016-02-02
RBA,2016-03-01
RBA,2016-04-05
RBA,2016-05-03
RBA,2016-06-07
RBA,2016-07-05
RBA,2016-08-02
RBA,2016-09-06
RBA,2016-10-04
RBA,2016-11-01
RBA,2016-12-06
RBA,2017-02-07
RBA,2017-03-07
RBA,2017-04-04
RBA,2017-05-02
RBA,2017-06-06
RBA,2017-07-04
RBA,2017-08-01
RBA,2017-09-05
RBA,2017-10-03
RBA,2017-11-07
RBA,2017-12-05
RBA,2018-02-06
RBA,2018-03-06
RBA,2018-04-03
RBA,2018-05-01
RBA,2018-06-05
RBA,2018-07-03
RBA,2018-08-07
RBA,2018-09-04
RBA,2018-10-02
RBA,2018-11-06
RBA,2018-12-04
RBA,2019-02-05
RBA,2019-03-05
RBA,2019-04-02
RBA,2019-05-07
RBA,2019-06-04
RBA,2019-07-02
RBA,2019-08-06
RBA,2019-09-03
RBA,2019-10-01
RBA,2019-11-05
RBA,2019-12-03
RBA,2020-02-04
RBA,2020-03-03
RBA,2020-03-19
RBA,2020-04-07
RBA,2020-05-05
RBA,2020-06-02
RBA,2020-07-07
RBA,2020-08-04
RBA,2020-09-01
RBA,2020-10-06
RBA,2020-11-03
RBA,2020-12-01
RBA,2021-02-02
RBA,2021-03-02
RBA,2021-04-06
RBA,2021-05-04
RBA,2021-06-01
RBA,2021-07-06
RBA,2021-08-03
RBA,2021-09-07
RBA,2021-10-05
RBA,2021-11-02
RBA,2021-12-07
RBA,2022-02-01
RBA,2022-03-01
RBA,2022-04-05
RBA,2022-05-03
RBA,2022-06-07
RBA,2022-07-05
RBA,2022-08-02
RBA,2022-09-06
RBA,2022-10-04
RBA,2022-11-01
RBA,2022-12-06
RBA,2023-02-07
RBA,2023-03-07
RBA,2023-04-04
RBA,2023-05-02
RBA,2023-06-06
RBA,2023-07-04
RBA,2023-08-01
RBA,2023-09-05
RBA,2023-10-03
RBA,2023-11-07
RBA,2023-12-05
RBA,2024-02-06
RBA,2024-03-19
