variant,max_total_risk_pct,risk_pct,final_equity,total_return_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct
max_total_risk_pct,0.15,0.01,395182.1786532402,295.1821786532413,0.8613932816273541,1.0014031023157424,0.5781151955561507,-37.613317891983996,1834,47.70992366412214
max_total_risk_pct,0.125,0.01,354179.6467804909,254.17964678049321,0.9130226853130206,1.0913236374802955,0.5979661470863595,-33.1962262108533,1586,48.29760403530896
max_total_risk_pct,0.1,0.01,261462.35918569565,161.4623591856954,0.8044915731505986,0.9542241460790992,0.46216476524699557,-31.922291656621915,1320,47.72727272727273
max_total_risk_pct,0.075,0.01,226882.34495067596,126.8823449506757,0.8810254954745593,1.0661836589048423,0.5066802568113761,-24.56390700343598,1016,48.031496062992126
max_total_risk_pct,0.05,0.01,179124.98526525497,79.12498526525442,0.8863579827164215,1.117682673263673,0.44351111444589736,-19.626248506560273,687,48.180494905385736
risk_pct,0.15,0.005,361637.3955178261,261.63739551782436,0.8075952008842298,0.8583076519901122,0.6334316362909765,-31.90294949469572,2879,47.82910732893366
risk_pct,0.15,0.0075,387300.81301259995,287.30081301259946,0.8240908452926864,0.9161853041689524,0.5694676491569876,-37.56872386807038,2254,47.64862466725821
risk_pct,0.15,0.01,395182.1786532402,295.1821786532413,0.8613932816273541,1.0014031023157424,0.5781151955561507,-37.613317891983996,1834,47.70992366412214
risk_pct,0.15,0.0125,359907.10533714294,259.90710533714474,0.8447715952350031,1.0109970691488217,0.4958907653220579,-40.58518278431402,1529,47.743623283191624
risk_pct,0.15,0.015,354011.0350356102,254.01103503560992,0.8833297316007196,1.0727347760160002,0.5109764636611339,-38.83162888141444,1323,48.148148148148145
