variant,max_total_risk_pct,risk_pct,final_equity,total_return_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct
max_total_risk_pct,0.15,0.01,225665.57604599,125.66557604599002,0.5828606893932862,0.6362204204114553,0.4628412950635855,-26.703542541643653,1273,46.26865671641791
max_total_risk_pct,0.125,0.01,209714.31271266937,109.71431271266856,0.5930229217456379,0.6710962926647801,0.4488695197371531,-24.92105844368705,1164,46.30584192439863
max_total_risk_pct,0.1,0.01,219684.4859609604,119.68448596096036,0.7400089794328687,0.8811093628273635,0.5676982760917477,-21.01148548589761,1009,46.08523290386521
max_total_risk_pct,0.075,0.01,195020.35685920715,95.0203568592074,0.7691503069114185,0.9563838411439921,0.5001331734734632,-20.06634099121889,815,46.87116564417178
max_total_risk_pct,0.05,0.01,152304.79231786728,52.3047923178676,0.6653899416194875,0.8617972864621556,0.4112173265910706,-15.099036965281943,583,46.312178387650086
max_total_risk_pct,0.025,0.01,120818.20302915573,20.81820302915609,0.4798614787538855,0.6174452818891005,0.31634052614008323,-8.676734206178892,287,45.29616724738676
risk_pct,0.15,0.0025,138437.20259666443,38.437202596664896,0.5216759688952197,0.5374178037488564,0.3085093566046204,-15.451974890221454,1669,47.15398442180947
risk_pct,0.15,0.005,178121.18425416946,78.12118425416972,0.5003086933517128,0.5182415183771105,0.3293496364678434,-26.163766808377865,1605,47.0404984423676
risk_pct,0.15,0.0075,203074.28053092957,103.07428053092997,0.523247006451247,0.5521837537572969,0.3692911859599036,-28.907460281889218,1418,46.685472496473906
risk_pct,0.15,0.01,225665.57604599,125.66557604599002,0.5828606893932862,0.6362204204114553,0.4628412950635855,-26.703542541643653,1273,46.26865671641791
risk_pct,0.15,0.0125,239163.45277881622,139.1634527788165,0.6450012444456028,0.7514599948136309,0.49110921450442263,-27.07746344399625,1131,46.41909814323608
risk_pct,0.15,0.015,278198.1168060303,178.19811680603004,0.8051121390045477,0.9719643216150322,0.5821200924402895,-27.103180793548297,1010,46.03960396039604
