stop_sigma,rr_ratio,final_equity,total_return_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct
1.0,1.0,162894.25424098969,62.8942542409894,0.20215886233478902,0.22020949581890145,0.13910504806639915,-52.01903468701198,2881,48.420687261367576
1.0,1.5,192737.09997987747,92.73709997987811,0.2533611511956942,0.2863329608441539,0.16833977475370712,-58.51530411094726,2786,41.6367552045944
1.0,2.0,235130.71048784256,135.13071048784263,0.3259962965730241,0.3801035556660378,0.2247439979805204,-57.94351925317957,2715,38.96869244935544
1.0,2.5,283222.21186590195,183.22221186590104,0.39353350529557996,0.45885470221414554,0.2657962457415293,-60.47636239202081,2656,37.61295180722892
1.0,3.0,321337.98347997665,221.33798347997757,0.44061763078204336,0.5193679110940873,0.3029651613541871,-60.046210175653655,2629,37.162419170787366
1.5,1.0,177615.3448395729,77.61534483957266,0.2453420493540552,0.28303659461255604,0.1612845516193687,-53.15331010610049,2387,48.05194805194805
1.5,1.5,228315.50602531433,128.31550602531482,0.34224971026073153,0.4044803803358999,0.23412409414927043,-53.59326161471443,2319,44.458818456231135
1.5,2.0,345250.30560541153,245.2503056054118,0.521167073938212,0.6259183803634203,0.35547467248567105,-54.61102594894505,2276,43.45342706502636
1.5,2.5,428050.2536520958,328.0502536520955,0.6172736812091449,0.7531105351993537,0.43290500528617465,-53.465554245606114,2248,43.06049822064057
1.5,3.0,450450.9745693207,350.45097456932,0.6378493931461827,0.7795071323132986,0.4441722247258426,-54.141595414039365,2234,42.972247090420765
2.0,1.0,246727.19057035446,146.72719057035422,0.43115304709723895,0.5121311794451447,0.27889096813683656,-49.496814050843696,2094,50.238777459407835
2.0,1.5,309800.25149965286,209.80025149965405,0.5295675208389741,0.6309419228734843,0.3387226710749535,-51.88529969097379,2042,48.188050930460335
2.0,2.0,324660.5629916191,224.66056299161897,0.546643798303647,0.6569919770124193,0.345523867811426,-53.15441709621717,2016,47.61904761904761
2.0,2.5,355502.25963020325,255.502259630202,0.5883286533516985,0.7127845045254007,0.37201702350017146,-53.530343809808436,2001,47.62618690654673
2.0,3.0,359961.88546037674,259.96188546037854,0.5959746321116491,0.7196023901292027,0.37816526452859733,-53.22655725325433,1996,47.394789579158314
2.5,1.0,317234.96055316925,217.2349605531707,0.6287694260960913,0.7650387879869353,0.43389931182165303,-41.42582478773045,1902,52.36593059936908
2.5,1.5,375377.4919371605,275.37749193716235,0.7073826991864921,0.8607029538816,0.4832636037246124,-43.14804248619038,1872,51.65598290598291
2.5,2.0,400289.3820490837,300.2893820490832,0.738301951402282,0.9088691215909418,0.4977076521971854,-44.14011706963505,1857,51.37318255250404
2.5,2.5,391592.1706495285,291.5921706495285,0.7233994432733512,0.8885250427808286,0.4897817036705805,-44.07239790328495,1849,50.89237425635479
2.5,3.0,375463.7019791603,275.4637019791624,0.6992214186564797,0.8593175835111296,0.4748306440698635,-43.922717294922556,1841,50.950570342205324
3.0,1.0,269249.25093603134,169.2492509360307,0.5846603278305557,0.6986240427070602,0.3787241373259734,-40.231301411805866,1800,53.05555555555556
3.0,1.5,311994.7332081795,211.99473320817955,0.6666879695148312,0.8040641957179472,0.4230968316185423,-41.81930456729695,1778,52.75590551181102
3.0,2.0,344661.5068626404,244.66150686263924,0.7295645370697389,0.8823335981106055,0.4691526453170119,-41.31631035870076,1762,52.72417707150965
3.0,2.5,339343.21547174454,239.3432154717434,0.7176068285082702,0.8692159368643345,0.4645205058527688,-41.15670608230976,1759,52.81409891984082
3.0,3.0,331568.3681921959,231.5683681921953,0.7032422695699064,0.8535560219884771,0.4551452260175624,-41.137365567952635,1755,52.820512820512825
