,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct,avg_trade_pnl_pct,avg_days_held
BBfull,-20.403994922242408,-3.2146929943000724,17.757591811460127,-0.18103203567419668,-0.22042953514871624,-0.07843528682750832,-40.98529022236757,6418.0,49.47023995014023,0.06565484560975245,7.096447491430352
BBOU,36.895940459171015,4.5992690736883945,20.951025457979856,0.21952477137278348,0.2667778396473962,0.11170911524981275,-41.171833322671525,2170.0,49.53917050691244,0.18321093789430498,7.059447004608295
S&P 500,119.11558355441234,12.019186465879583,19.72386151599788,0.6093728885761498,0.7401980879186791,0.35428741743364056,-33.92496000265328,,,,
