trade_year,in_sample_start,in_sample_end,n_selected,start_equity,end_equity,tickers
2018,2010-01-01,2017-12-31,26,100000.0,91971.83249235153,"ACN,AES,AVB,BEN,CASY,CF,CRH,EMR,FIX,GIS,IBM,ICE,INTU,JBHT,L,MAS,MGM,NDSN,OXY,PG,RL,RMD,SPG,SRE,SYY,TER"
2019,2011-01-01,2018-12-31,26,91971.83249235153,111193.62011766434,"ACN,AES,AVB,BEN,BNY,CASY,CF,CRH,EMR,ES,FIX,GIS,HAS,IBM,ICE,L,MAS,MGM,NDSN,OXY,PPG,ROP,SPG,SRE,SYY,TER"
2020,2012-01-01,2019-12-31,25,111193.62011766434,118253.81427621841,"ACN,ADSK,AES,AVB,BEN,BNY,CASY,CF,CRH,CVX,EMR,FIX,GIS,HAS,HRL,IBM,ICE,L,MAS,MGM,NDSN,PPG,ROP,SPG,TER"
2021,2013-01-01,2020-12-31,23,118253.81427621841,161351.970556736,"ACN,AES,AVB,BAX,BEN,BNY,CASY,CF,CRH,CVX,EL,GIS,HRL,IBM,ICE,L,MAS,MGM,NDSN,PPG,ROP,SPG,SRE"
2022,2014-01-01,2021-12-31,33,161351.970556736,156697.31938028336,"ADSK,AES,BAX,BEN,BMY,BNY,CASY,COR,CRH,CVX,EG,EMR,ES,FIS,GIS,HAS,HRL,HSIC,IBM,ICE,L,MAS,MGM,NDSN,NI,PPG,RCL,ROK,ROP,ROST,SRE,SYY,TMO"
2023,2015-01-01,2022-12-31,34,156697.31938028336,158915.33719301224,"ADSK,AES,AVB,BAX,BEN,BNY,CASY,COR,CRH,CVX,EG,EMR,ES,FIS,GIS,HAS,HRL,HSIC,IBM,ICE,L,LOW,MAS,MGM,NDSN,NI,PPG,RCL,ROP,ROST,SPG,SRE,SYY,TMO"
2024,2016-01-01,2023-12-31,40,158915.33719301224,231640.85627794266,"ADSK,AVB,BEN,BNY,CASY,CNC,COR,CRH,CVX,EG,EMR,EQIX,ES,FDS,FIS,GIS,HAS,HPQ,HRL,HSIC,IBKR,IBM,ICE,JBHT,KR,L,LOW,MAS,MGM,NDSN,NI,PPG,RCL,RL,ROP,ROST,SPG,SRE,SYY,TMO"
