ticker,theta,half_life,p_value
ACN,0.05370110660259286,50.21443544899922,0.19746933994029336
ADSK,0.04871708860682684,46.22817329171738,0.22057989351845295
AES,0.08055524074986796,27.20672397575608,0.1431542871764547
AMD,0.049586469793294626,70.1032463208707,0.22449302992183914
AVB,0.061043789358216645,43.21635257708029,0.1587017783918826
BAX,0.051797936599862426,93.55855863550052,0.22716580491317098
BEN,0.0559812809176744,49.41530548595105,0.17542499593370375
BMY,0.04937163918980769,93.65002639419474,0.22162646676332545
BNY,0.049914983931805296,37.704929479660755,0.20369099566427828
BR,0.05060005977893023,77.1026609205475,0.23982441635645504
CASY,0.05837775950418966,51.69278195535662,0.1795089005435481
CAT,0.04376185426085263,74.67165814554782,0.25257867622949853
CF,0.05458431877588547,45.85670103137611,0.19707012588319872
CNC,0.05226187084459604,334.2091795048346,0.22221388321436844
COR,0.04357559921614226,252.7784284712191,0.26865861426439036
COST,0.04935200722832193,72.16179241003516,0.23507387559662338
CRH,0.06979887934211675,22.950145590195735,0.13122031309880203
CVX,0.051327898535871996,47.32316332063642,0.2055340300611955
DIS,0.040504887824849865,69.15778378589965,0.2609622282876613
DOV,0.04847967615713945,55.42434235231519,0.21406341106467208
DPZ,0.045313685320172485,102.54898641086125,0.27493340670745114
DXCM,0.04463640679708438,67.14621792463434,0.24082477872306743
EG,0.057095703763758575,65.37595884412652,0.20856186135982532
EL,0.05530506107822178,74.12494741481893,0.2063580269195949
EMR,0.05835283959063142,35.52562754499126,0.1822363524731946
EQIX,0.056576397563950054,69.08772158449352,0.21600394426033617
ES,0.052615855799337724,38.672676675094486,0.20173816539862635
FDS,0.05387577174878979,55.60507980578033,0.21372899757300098
FIS,0.05360550538276034,57.06505824210861,0.2250662669427378
FIX,0.06484483527979013,38.45644626303815,0.17198135347046736
GIS,0.0672359028553161,35.717999099735465,0.15236233366766672
HAL,0.04383929861095572,58.09925478043905,0.24865341808162814
HAS,0.05660366504093969,92.82637770217657,0.21278201166221344
HPQ,0.038393382548371636,55.85860938960737,0.262918707630367
HRL,0.06331612251216943,68.17703555993715,0.2089144600525823
HSIC,0.06172449260593708,134.04096410101513,0.21615830491821508
IBKR,0.06300497332002228,343.30228971345605,0.19145561297083494
IBM,0.05856400685206075,67.35151287628918,0.18793976026601558
ICE,0.06646249620305414,38.88176876016394,0.15968409325348623
IDXX,0.05189686714246728,91.15248050946956,0.23169035575153937
INTU,0.05713604594319784,48.23547172098403,0.19924850404757474
JBHT,0.058468544111631826,38.430474949111705,0.19291277025542553
KR,0.04801851478636018,149.3576599074353,0.24798720257182297
L,0.07693572545255435,20.154113086749003,0.11734617842639632
LOW,0.046891500554344843,84.79241828564055,0.22597944608018808
LUV,0.04120320325818338,154.20431235888782,0.2739914015500157
MAS,0.06388252968332957,41.75300287273938,0.16998666491332481
MCO,0.044791490525071476,172.04768273739091,0.23540771423396312
MGM,0.0533099447375892,53.53173780392391,0.18538852667280192
MO,0.035758613844629354,88.39381597383431,0.29724788858339285
NDSN,0.051174231684230985,67.36320650129267,0.19993823395120236
NEE,0.049040699077520906,135.93529047033067,0.22943457499179218
NFLX,0.03864147574144417,104.09033500765618,0.2782022414883545
NI,0.049672613255000546,77.16439145110469,0.23177561728082355
NRG,0.04751344728464676,85.97230154085537,0.26372509092344165
OXY,0.0672266570002956,30.72814366618208,0.1552001680184323
PAYX,0.047887758441695794,77.49097186847958,0.23965405277896304
PG,0.060029561553755516,43.7456827572502,0.18568725763008156
PPG,0.04987321003887285,64.41602836240607,0.2132313731008205
RCL,0.0474703789758078,80.25950181632754,0.24239241147360177
RL,0.0579834157682228,43.72481072891148,0.19163897076003436
RMD,0.05534834980234144,42.58804393273932,0.19318291979395338
ROK,0.05079141866253556,59.256624780964444,0.2370332245338763
ROP,0.05778427872205738,61.294037686711,0.20324041560014217
ROST,0.046693581424319064,78.5229999872425,0.25781504905170216
SHW,0.04939822317586826,73.19626644227479,0.23807613339761624
SPG,0.059915578828126204,43.937111686659875,0.193158888314881
SRE,0.052518513108918224,55.030811196744565,0.19946097106903662
STLD,0.05949259574131158,45.698984505195995,0.20123302664153356
SYY,0.05895023051448633,40.11307759152539,0.16912547653684273
TEL,0.04586637654153828,80.93969564243616,0.23035879300584106
TER,0.05498332878327431,48.23463481276724,0.1799312377005675
TMO,0.054554211942841324,76.33016659428567,0.21021184257878192
TPL,0.04712340594045111,117.14228468589543,0.26479549469305214
TSCO,0.046235600967784625,180.62232504211988,0.2504469854966745
VRSN,0.04598454912332655,108.69288198604602,0.24616639554309191
WDC,0.045617819775774116,86.76659666820301,0.2516036323941272
