,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct,avg_trade_pnl_pct,avg_days_held,final_equity
BBfull,-57.59895829009993,-11.560334039683372,28.53789974533656,-0.40508706466993855,-0.5820444246795162,-0.15562705198639115,-74.28229149193335,3429.0,48.731408573928256,-0.07990310413059432,7.3677456984543594,42401.0417098999
BBOU,-14.076957281112845,-2.148902835316757,29.072037708880032,-0.07391648486546838,-0.10184219777446389,-0.03554052528522571,-60.46345173772831,3377.0,49.925969795676636,0.0309470944780083,7.392360082913829,85923.04271888733
S&P 500,119.1155835544123,11.886636288181718,19.72167451509303,0.6027194231952695,0.7320350239406166,0.35038025946831086,-33.92496000265326,,,,,219115.5835544127
