sl_atr_mult,tp_atr_mult,n_trades,win_rate,total_r,avg_r
0.5,0.5,1110,0.281981981981982,-860.679279092246,-0.7753867379209424
0.5,1.0,1110,0.23333333333333334,-758.6792790922444,-0.6834948460290491
0.5,1.5,1110,0.19099099099099098,-717.1792790922473,-0.6461074586416642
0.5,2.0,1110,0.15495495495495495,-714.6792790922461,-0.643855206389411
0.5,2.5,1110,0.12432432432432433,-747.6792790922543,-0.673584936119148
0.5,3.0,1110,0.10810810810810811,-744.6792790922425,-0.6708822334164347
0.5,3.5,1110,0.0918918918918919,-773.1792790922553,-0.6965579090921219
1.0,0.5,1110,0.545045045045045,-395.93188332600664,-0.3566953903837898
1.0,1.0,1110,0.4603603603603604,-306.76521665933376,-0.27636506005345385
1.0,1.5,1110,0.3810810810810811,-284.76521665933734,-0.25654524023363723
1.0,2.0,1110,0.3216216216216216,-280.43188332599755,-0.2526413363297275
1.0,2.5,1110,0.2774774774774775,-282.0985499926806,-0.2541428378312438
1.0,3.0,1110,0.24324324324324326,-284.7652166593359,-0.25654524023363595
1.0,3.5,1110,0.21351351351351353,-300.59854999267725,-0.2708095044979074
1.5,0.5,1110,0.7207207207207207,-170.2353368106322,-0.15336516829786684
1.5,1.0,1109,0.6176735798016231,-109.76170942966226,-0.09897358830447453
1.5,1.5,1109,0.5311091073038774,-84.09504276300298,-0.07582961475473668
1.5,2.0,1109,0.4598737601442741,-80.5950427629957,-0.07267361836158315
1.5,2.5,1109,0.4030658250676285,-85.67837609633585,-0.07725732740877894
1.5,3.0,1109,0.3624887285843102,-75.5950427629968,-0.06816505208565987
1.5,3.5,1109,0.32822362488728585,-72.84504276300356,-0.06568534063390763
2.0,0.5,1110,0.8009009009009009,-92.40283917494983,-0.08324580105851337
2.0,1.0,1109,0.7006311992786294,-46.910118639224976,-0.04229947577928311
2.0,1.5,1109,0.6185752930568079,-19.560118639225276,-0.017637618249977706
2.0,2.0,1109,0.5446348061316502,-17.910118639223597,-0.016149791378921186
2.0,2.5,1109,0.4824165915238954,-27.410118639225754,-0.02471606730317922
2.0,3.0,1109,0.4400360685302074,-14.91011863922143,-0.01344465161336468
2.0,3.5,1109,0.3976555455365194,-25.81011863922768,-0.023273326094885194
2.5,0.5,1110,0.8414414414414414,-63.10965084235085,-0.05685554129941518
2.5,1.0,1109,0.7430117222723174,-35.97547441377335,-0.03243956214046289
2.5,1.5,1109,0.6672678088367899,-11.142141080439375,-0.010047016303371844
2.5,2.0,1109,0.5906221821460775,-20.17547441376987,-0.018192492708539107
2.5,2.5,1109,0.5293056807935077,-29.242141080438653,-0.026368026222217
2.5,3.0,1109,0.4860234445446348,-20.242141080435207,-0.01825260692555023
2.5,3.5,1108,0.44404332129963897,-27.159170488419786,-0.02451188672240053
3.0,0.5,1109,0.8683498647430117,-46.39427068521765,-0.041834328841494725
3.0,1.0,1108,0.7806859205776173,-20.580076042354133,-0.01857407585050012
3.0,1.5,1108,0.7111913357400722,3.9199239576466827,0.003537837506901338
3.0,2.0,1108,0.6371841155234657,-4.770552232831328,-0.004305552556706975
3.0,2.5,1108,0.5731046931407943,-20.437218899497196,-0.01844514341109855
3.0,3.0,1108,0.5306859205776173,-11.008647470924377,-0.009935602410581567
3.0,3.5,1107,0.48509485094850946,-24.70419648729367,-0.022316347323661855
3.5,0.5,1109,0.8845807033363391,-39.629035396919775,-0.03573402650759222
3.5,1.0,1108,0.8032490974729242,-19.336766519361788,-0.017451955342384286
3.5,1.5,1108,0.7364620938628159,-1.2117665193628584,-0.0010936520932877784
3.5,2.0,1108,0.6705776173285198,-1.9796236622216394,-0.0017866639550736818
3.5,2.5,1108,0.6101083032490975,-13.265337947936121,-0.011972326667812384
3.5,3.0,1108,0.5703971119133574,-0.3367665193640148,-0.00030394090195308193
3.5,3.5,1107,0.5266485998193315,-9.067395718209148,-0.008190962708409348
