be_trigger_r,n_trades,win_rate,total_r,avg_r
,1108,0.7111913357400722,3.9199239576466827,0.003537837506901338
0.5,1108,0.427797833935018,-138.36587861668545,-0.12487895182011322
0.6,1108,0.526173285198556,-89.75431633930694,-0.08100570066724452
0.7,1108,0.5911552346570397,-56.6459235710234,-0.05112447975724134
0.8,1108,0.6371841155234657,-33.61846197262972,-0.030341572177463645
0.9,1108,0.6696750902527075,-17.25770775922743,-0.015575548519158329
1.0,1108,0.6859205776173285,-9.016834027452937,-0.008137936847881713
