time,leg,risk_dollars,pnl,equity
2026-08-03 14:05:00,orb_nasdaq,41.66666666666667,30.487766468622162,100030.48776646862
2026-08-03 23:59:59,ou_modell,12503.810970808578,3.5339407072239055,100034.02170717584
2026-08-04 13:15:00,ctnl_reversal,18.75637907009547,-20.37951583139002,100013.64219134445
2026-08-04 13:30:00,ctnl_reversal,18.752557910877083,-20.07760515794499,99993.5645861865
2026-08-04 13:30:00,ctnl_reversal,18.74879335990997,-22.352522551136257,99971.21206363536
2026-08-04 15:05:00,orb_nasdaq,41.654671693181406,113.63521323605855,100084.84727687143
2026-08-04 17:00:00,ctnl_reversal,18.765908864413394,-22.252993788586437,100062.59428308284
2026-08-04 23:59:59,ou_modell,12507.824285385355,237.54560092185216,100300.13988400469
2026-08-05 02:30:00,ctnl_reversal,18.80627622825088,-26.78871593373086,100273.35116807096
2026-08-05 02:30:00,ctnl_reversal,18.801253344013308,-25.555286112305055,100247.79588195866
2026-08-05 02:30:00,ctnl_reversal,18.79646172786725,-25.909982975665315,100221.885898983
2026-08-05 11:10:00,cls_practical,187.91603606059311,-193.72193688974497,100028.16396209325
2026-08-05 23:59:59,ou_modell,12503.520495261657,2.8513319324775246,100031.01529402574
2026-08-06 11:25:00,cls_practical,187.55815367629825,-208.50942798660864,99822.50586603914
2026-08-06 14:15:00,orb_nasdaq,41.59271077751631,113.59222042875928,99936.0980864679
2026-08-06 23:59:59,ou_modell,12492.012260808488,-160.65355638836488,99775.44453007953
2026-08-07 13:50:00,orb_nasdaq,41.57310188753314,-42.49638559933181,99732.94814448021
2026-08-07 23:59:59,ou_modell,12466.618518060026,294.8436077592386,100027.79175223944
2026-08-10 14:20:00,orb_nasdaq,41.678246563433106,30.045705805976652,100057.83745804543
2026-08-10 20:00:00,gold_silver,1000.5783745804542,2153.3439272354753,102211.1813852809
2026-08-10 23:59:59,ou_modell,12776.397673160112,-161.08678705056064,102050.09459823034
2026-08-11 13:55:00,orb_nasdaq,42.520872749262644,-43.714666742172426,102006.37993148816
2026-08-11 23:59:59,ou_modell,12750.79749143602,-69.27251633623648,101937.10741515193
2026-08-12 12:55:00,ctnl_continuation,63.71069213446996,11.744140902583018,101948.8515560545
2026-08-12 23:59:59,ou_modell,12743.606444506813,84.68539482645555,102033.53695088097
2026-08-13 00:00:00,btc_ema_cross,1020.3353695088097,-528.9777856198617,101504.5591652611
2026-08-13 06:00:00,ctnl_continuation,63.44034947828819,-95.70432943977315,101408.85483582133
2026-08-13 13:55:00,orb_nasdaq,42.253689514925554,114.92399856496593,101523.77883438629
2026-08-13 23:59:59,ou_modell,12690.472354298287,-24.382431600555652,101499.39640278574
2026-08-14 13:50:00,orb_nasdaq,42.291415167827395,-44.098220422184674,101455.29818236356
2026-08-14 23:59:59,ou_modell,12681.912272795445,33.42788387603701,101488.7260662396
2026-08-17 08:40:00,cls_practical,190.29136137419925,-367.12057437987363,101121.60549185972
2026-08-17 13:50:00,orb_us30,42.134002288274885,-44.347071122245694,101077.25842073747
2026-08-17 14:00:00,trend_pullback,631.7328651296093,1368.596478688238,102445.85489942571
2026-08-17 14:10:00,orb_nasdaq,42.685772874760715,-44.20358373756167,102401.65131568816
