time,leg,risk_dollars,pnl,equity
2026-01-02 00:30:00,ctnl_reversal,18.75,-20.764468202720227,99979.23553179728
2026-01-02 03:00:00,ctnl_reversal,18.74610666221199,-21.54209460930105,99957.69343718798
2026-01-02 03:30:00,ctnl_reversal,18.742067519472744,-20.30730867541205,99937.38612851256
2026-01-02 05:15:00,ctnl_reversal,18.738259899096107,-19.823704517712322,99917.56242399485
2026-01-02 08:30:00,ctnl_reversal,18.734542954499034,-19.915475525710505,99897.64694846915
2026-01-02 13:00:00,ctnl_reversal,18.730808802837966,-21.158628515987665,99876.48831995316
2026-01-02 14:55:00,orb_sp500,41.61520346664715,39.08889425234847,99915.5772142055
2026-01-02 14:55:00,orb_nasdaq,41.63149050591896,29.509966255626004,99945.08718046114
2026-01-05 14:50:00,orb_sp500,41.643786325192146,-43.7080208044641,99901.37915965667
2026-01-05 15:35:00,orb_nasdaq,41.62557464985695,-42.87297388416324,99858.50618577251
2026-01-05 16:00:00,gold_asb,998.5850618577251,1212.7598325372471,101071.26601830976
2026-01-06 14:55:00,orb_nasdaq,42.11302750762907,113.93976951494346,101185.2057878247
2026-01-08 14:50:00,orb_nasdaq,42.160502411593626,-43.39221032196205,101141.81357750273
2026-01-09 10:50:00,cls_practical,189.64090045781762,-212.48157747590696,100929.33200002683
2026-01-09 15:10:00,orb_nasdaq,42.05388833334452,-43.236719945969554,100886.09528008086
2026-01-11 23:00:00,trend_pullback,630.5380955005054,1519.5503633528722,102405.64564343373
2026-01-12 00:30:00,ctnl_reversal,19.201058558143824,106.05005905503674,102511.69570248877
2026-01-12 00:30:00,ctnl_reversal,19.220942944216645,95.13030467640614,102606.82600716517
2026-01-12 12:00:00,trend_pullback,641.2926625447824,1275.5134387874143,103882.33944595259
2026-01-12 15:00:00,orb_nasdaq,43.284308102480246,31.027370788530096,103913.36681674112
2026-01-13 15:05:00,orb_nasdaq,43.29723617364214,-44.57969015200464,103868.78712658912
2026-01-14 05:00:00,ctnl_continuation,64.9179919541182,210.20497145027798,104078.9920980394
2026-01-15 14:50:00,orb_nasdaq,43.36624670751642,-44.7789111643779,104034.21318687501
2026-01-15 15:45:00,orb_us30,43.34758882786459,41.70699774606781,104075.92018462108
2026-01-15 17:30:00,ctnl_reversal,19.51423503461645,80.14540812692208,104156.065592748
2026-01-16 14:55:00,orb_nasdaq,43.398360663645,117.59428147731144,104273.65987422531
2026-01-16 15:15:00,ctnl_reversal,19.551311226417248,-30.422526082817754,104243.23734814249
2026-01-16 15:15:00,ctnl_reversal,19.545607002776716,-27.824467733499134,104215.41288040899
2026-01-16 15:30:00,ctnl_reversal,19.540389915076684,-20.965017125838905,104194.44786328315
2026-01-19 03:30:00,ctnl_reversal,19.53645897436559,40.767518077343986,104235.21538136048
2026-01-19 14:50:00,orb_nasdaq,43.43133974223354,-44.768929327452696,104190.44645203302
2026-01-19 15:20:00,orb_us30,43.41268602168043,-45.30916365043597,104145.13728838258
2026-01-19 16:00:00,gold_asb,1041.4513728838258,-112.84018158354316,104032.29710679904
2026-01-20 04:00:00,trend_pullback,650.2018569174941,1712.5086761561286,105744.80578295517
2026-01-20 09:15:00,ctnl_reversal,19.827151084304095,99.6254377701388,105844.43122072531
2026-01-20 12:00:00,gold_silver,1058.444312207253,2117.3219565626737,107961.75317728799
2026-01-20 14:55:00,orb_sp500,44.984063823869995,-46.359300331096456,107915.39387695689
2026-01-20 14:55:00,orb_nasdaq,44.96474744873204,-45.91864960084324,107869.47522735604
2026-01-20 14:55:00,orb_us30,44.94561467806502,-46.43482657226441,107823.04040078378
