ema_length,ema_smooth,rr,sl_buffer_atr,min_rejection_atr,require_htf_slope,invalidation_confirm_bars,score_R,EURUSD_trades,EURUSD_winrate,EURUSD_pf,EURUSD_R,GOLD_trades,GOLD_winrate,GOLD_pf,GOLD_R,SP500_trades,SP500_winrate,SP500_pf,SP500_R
50,10,3.0,0.2,0.0,False,1,0.05333333333333334,95,22.1,0.78,-0.11,91,28.6,1.46,0.22,75,25.3,1.09,0.05
40,10,1.5,0.2,0.0,False,1,0.05333333333333334,106,32.1,1.03,0.01,101,39.6,1.29,0.13,98,34.7,1.03,0.02
60,15,2.0,0.2,0.0,False,1,0.05000000000000001,86,30.2,1.14,0.06,104,25.0,0.89,-0.05,77,31.2,1.29,0.14
50,10,3.0,0.1,0.0,False,1,0.05000000000000001,99,22.2,0.88,-0.06,94,27.7,1.21,0.11,77,26.0,1.19,0.1
50,15,2.0,0.1,0.0,False,1,0.05000000000000001,99,29.3,1.06,0.03,96,29.2,0.95,-0.02,81,33.3,1.28,0.14
60,10,1.5,0.2,0.0,False,1,0.049999999999999996,102,32.4,1.04,0.02,109,30.3,0.88,-0.05,80,40.0,1.41,0.18
40,15,3.0,0.2,0.0,False,1,0.04666666666666667,96,21.9,0.84,-0.07,85,28.2,1.45,0.2,84,23.8,1.03,0.01
60,10,2.0,0.1,0.0,False,1,0.04666666666666667,101,29.7,1.14,0.07,108,25.0,0.79,-0.11,79,34.2,1.37,0.18
60,15,1.5,0.2,0.0,False,1,0.04666666666666666,90,33.3,1.02,0.01,109,31.2,0.95,-0.02,81,39.5,1.35,0.15
60,20,1.5,0.2,0.0,False,1,0.04666666666666666,87,28.7,0.88,-0.05,101,32.7,0.95,-0.02,78,42.3,1.48,0.21
60,20,2.0,0.2,0.0,False,1,0.043333333333333335,84,23.8,0.87,-0.06,96,27.1,0.91,-0.04,75,36.0,1.48,0.23
50,15,1.5,0.2,0.0,False,1,0.043333333333333335,100,31.0,0.9,-0.05,99,34.3,1.13,0.05,81,38.3,1.29,0.13
50,20,2.0,0.1,0.0,False,1,0.043333333333333335,82,26.8,0.86,-0.08,100,30.0,0.88,-0.06,78,37.2,1.56,0.27
60,15,2.5,0.2,0.0,False,1,0.04,84,25.0,0.92,-0.04,101,24.8,1.09,0.04,74,27.0,1.24,0.12
60,15,3.0,0.2,0.0,False,1,0.03666666666666667,81,22.2,0.79,-0.1,99,23.2,1.1,0.05,74,25.7,1.31,0.16
50,10,1.5,0.1,0.0,False,1,0.03666666666666667,110,33.6,0.97,-0.01,105,33.3,0.91,-0.04,84,41.7,1.38,0.16
40,20,1.5,0.1,0.0,False,1,0.03333333333333333,106,33.0,0.94,-0.03,102,34.3,0.93,-0.03,82,41.5,1.35,0.16
60,20,2.5,0.1,0.0,False,1,0.033333333333333326,85,18.8,0.69,-0.17,97,23.7,0.82,-0.1,75,34.7,1.71,0.37
40,10,1.5,0.1,0.0,False,1,0.03,109,31.2,0.92,-0.04,103,37.9,1.1,0.05,100,38.0,1.17,0.08
50,15,1.5,0.1,0.0,False,1,0.02666666666666667,104,33.7,0.97,-0.01,103,33.0,0.92,-0.04,82,39.0,1.28,0.13
40,15,1.5,0.2,0.0,False,1,0.023333333333333334,104,28.8,0.88,-0.05,98,35.7,1.16,0.07,93,35.5,1.12,0.05
60,10,1.5,0.1,0.0,False,1,0.016666666666666673,103,32.0,0.94,-0.03,113,29.2,0.76,-0.12,82,41.5,1.45,0.2
60,15,2.5,0.1,0.0,False,1,0.016666666666666663,88,25.0,0.9,-0.05,104,22.1,0.83,-0.09,77,28.6,1.37,0.19
50,20,1.5,0.1,0.0,False,1,0.010000000000000009,85,28.2,0.72,-0.15,106,33.0,0.82,-0.09,81,44.4,1.6,0.27
60,15,3.0,0.1,0.0,False,1,0.01,85,21.2,0.83,-0.09,104,21.2,0.9,-0.06,74,25.7,1.33,0.18
60,15,2.0,0.1,0.0,False,1,0.006666666666666668,89,29.2,0.99,-0.0,108,25.9,0.83,-0.09,78,30.8,1.23,0.11
60,20,1.5,0.1,0.0,False,1,0.006666666666666664,89,28.1,0.79,-0.1,105,29.5,0.73,-0.14,79,44.3,1.6,0.26
40,15,1.5,0.1,0.0,False,1,0.003333333333333332,108,30.6,0.89,-0.05,100,34.0,0.94,-0.03,93,37.6,1.2,0.09
60,20,2.0,0.1,0.0,False,1,-0.003333333333333336,86,24.4,0.85,-0.08,101,25.7,0.75,-0.13,76,35.5,1.41,0.2
60,15,1.5,0.1,0.0,False,1,-0.020000000000000007,92,31.5,0.85,-0.07,112,27.7,0.71,-0.14,81,39.5,1.33,0.15
