entry_variant,premium_ratio,direction_mode,target_mode,n_raw,sharpe,calmar,cagr,max_drawdown,n_trades,win_rate,profit_factor,avg_return_pct,avg_hold_bars,exit_reason_counts
fib_limit,0.568,trend_strength,untested_asia,218,-2.6331113098656447,-0.6437310078855052,-0.04626182627516995,-0.07186515129530335,103,0.2621359223300971,0.4698743924612039,-0.0006632519320963214,15.368932038834952,"{'stop': 70, 'target': 33}"
fib_limit,0.568,trend_strength,monthly_pivot,238,-2.174125814435278,-0.6185058249415809,-0.049801144117860074,-0.08051847227560693,98,0.1836734693877551,0.532117092542186,-0.0007503781141846819,34.55102040816327,"{'stop': 79, 'target': 15, 'max_hold': 4}"
fib_limit,0.568,prev_asia,untested_asia,390,-4.005673744004413,-0.6470943137980726,-0.09660946352435218,-0.14929734578767972,191,0.2774869109947644,0.42845972373845187,-0.0007678376731201688,16.963350785340314,"{'stop': 131, 'target': 60}"
fib_limit,0.568,prev_asia,monthly_pivot,397,-2.9262500713127757,-0.6474416956458112,-0.08051007048026826,-0.12435107442371462,166,0.21686746987951808,0.5170869404276931,-0.0007285909066890384,35.51204819277108,"{'stop': 127, 'target': 36, 'max_hold': 3}"
fib_limit,0.618,trend_strength,untested_asia,219,-3.16066509883156,-0.6514779057645498,-0.05609297047744821,-0.08610110946375016,106,0.24528301886792453,0.4001742312044508,-0.0007859627745562192,12.971698113207546,"{'stop': 76, 'target': 30}"
fib_limit,0.618,trend_strength,monthly_pivot,234,-2.407315541589366,-0.6136780721081121,-0.053983262272406796,-0.08796674465972532,102,0.18627450980392157,0.5018483237396351,-0.0007837142940287465,29.225490196078432,"{'stop': 82, 'target': 17, 'max_hold': 3}"
fib_limit,0.618,prev_asia,untested_asia,379,-4.356643605115162,-0.6491629197463952,-0.10313176885610276,-0.15886885359439917,187,0.2620320855614973,0.3924816396316761,-0.0008404357073453677,15.588235294117647,"{'stop': 134, 'target': 53}"
fib_limit,0.618,prev_asia,monthly_pivot,388,-3.162684659237188,-0.6484573649997816,-0.08397794765957889,-0.1295041928617885,165,0.21212121212121213,0.4881763325061736,-0.0007663889146244791,32.38787878787879,"{'stop': 128, 'target': 35, 'max_hold': 2}"
fib_limit,0.718,trend_strength,untested_asia,212,-3.149041952032452,-0.6428402572915758,-0.05308805992463572,-0.08258359572610952,105,0.21904761904761905,0.40086685380011916,-0.0007498376035118064,11.80952380952381,"{'stop': 79, 'target': 26}"
fib_limit,0.718,trend_strength,monthly_pivot,222,-2.4086983697178836,-0.6105331074352461,-0.04892234050794009,-0.08013052840566692,100,0.16,0.493950264929837,-0.0007228166138663562,27.02,"{'stop': 81, 'target': 16, 'max_hold': 3}"
fib_limit,0.718,prev_asia,untested_asia,366,-4.661993138161705,-0.6753998792289682,-0.10231924773553924,-0.1514943234108158,184,0.22826086956521738,0.36027394335603447,-0.000847351211071006,13.190217391304348,"{'stop': 136, 'target': 48}"
fib_limit,0.718,prev_asia,monthly_pivot,364,-3.520172583700992,-0.6624124402562862,-0.0813991525727008,-0.12288288628940547,157,0.17834394904458598,0.44262121888981104,-0.0007802263936865231,30.101910828025478,"{'stop': 126, 'target': 29, 'max_hold': 2}"
fib_limit,0.86,trend_strength,untested_asia,201,-3.792225527749197,-0.687429787739491,-0.053183192569561055,-0.0773652720875625,92,0.15217391304347827,0.2417076054312998,-0.00085866952176627,5.423913043478261,"{'stop': 76, 'target': 16}"
