date,strategy,active
2019-07-26,ou_modell,True
2019-08-02,ou_modell,True
2019-08-09,ou_modell,True
2019-08-16,ou_modell,True
2019-08-23,ou_modell,True
2019-08-30,ou_modell,True
2019-09-06,ou_modell,True
2019-09-13,ou_modell,True
2019-09-20,ou_modell,True
2019-09-27,ou_modell,True
2019-10-04,ou_modell,True
2019-10-11,ou_modell,True
2019-10-18,ou_modell,True
2019-10-25,ou_modell,True
2019-11-01,ou_modell,True
2019-11-08,ou_modell,True
2019-11-15,ou_modell,True
2019-11-22,ou_modell,True
2019-11-29,ou_modell,True
2019-12-06,ou_modell,True
2019-12-13,ou_modell,True
2019-12-20,ou_modell,True
2019-12-27,ou_modell,True
2020-01-03,ou_modell,True
2020-01-10,ou_modell,True
2020-01-17,ou_modell,True
2020-01-24,ou_modell,True
2020-01-31,ou_modell,True
2020-02-07,ou_modell,True
2020-02-14,ou_modell,True
2020-02-21,ou_modell,True
2020-02-28,ou_modell,True
2020-03-06,ou_modell,True
2020-03-13,ou_modell,True
2020-03-20,ou_modell,False
2020-03-27,ou_modell,False
2020-04-03,ou_modell,False
2020-04-10,ou_modell,False
2020-04-17,ou_modell,False
2020-04-24,ou_modell,False
2020-05-01,ou_modell,False
2020-05-08,ou_modell,False
2020-05-15,ou_modell,False
2020-05-22,ou_modell,True
2020-05-29,ou_modell,True
2020-06-05,ou_modell,True
2020-06-12,ou_modell,True
2020-06-19,ou_modell,True
2020-06-26,ou_modell,True
2020-07-03,ou_modell,True
2020-07-10,ou_modell,True
2020-07-17,ou_modell,True
2020-07-24,ou_modell,True
2020-07-31,ou_modell,True
2020-08-07,ou_modell,True
2020-08-14,ou_modell,True
2020-08-21,ou_modell,True
2020-08-28,ou_modell,True
2020-09-04,ou_modell,True
2020-09-11,ou_modell,True
2020-09-18,ou_modell,True
2020-09-25,ou_modell,True
2020-10-02,ou_modell,True
2020-10-09,ou_modell,True
2020-10-16,ou_modell,True
2020-10-23,ou_modell,True
2020-10-30,ou_modell,True
2020-11-06,ou_modell,True
2020-11-13,ou_modell,True
2020-11-20,ou_modell,True
2020-11-27,ou_modell,True
2020-12-04,ou_modell,True
2020-12-11,ou_modell,True
2020-12-18,ou_modell,True
2020-12-25,ou_modell,True
2021-01-01,ou_modell,True
2021-01-08,ou_modell,True
2021-01-15,ou_modell,True
2021-01-22,ou_modell,True
2021-01-29,ou_modell,True
2021-02-05,ou_modell,True
2021-02-12,ou_modell,True
2021-02-19,ou_modell,True
2021-02-26,ou_modell,True
2021-03-05,ou_modell,True
2021-03-12,ou_modell,True
2021-03-19,ou_modell,True
2021-03-26,ou_modell,True
2021-04-02,ou_modell,True
2021-04-09,ou_modell,True
2021-04-16,ou_modell,True
2021-04-23,ou_modell,True
2021-04-30,ou_modell,True
2021-05-07,ou_modell,True
2021-05-14,ou_modell,True
2021-05-21,ou_modell,True
2021-05-28,ou_modell,True
2021-06-04,ou_modell,True
2021-06-11,ou_modell,True
2021-06-18,ou_modell,True
2021-06-25,ou_modell,True
2021-07-02,ou_modell,True
2021-07-09,ou_modell,True
2021-07-16,ou_modell,True
2021-07-23,ou_modell,True
2021-07-30,ou_modell,True
2021-08-06,ou_modell,True
2021-08-13,ou_modell,True
2021-08-20,ou_modell,True
2021-08-27,ou_modell,True
2021-09-03,ou_modell,True
2021-09-10,ou_modell,True
2021-09-17,ou_modell,True
2021-09-24,ou_modell,True
2021-10-01,ou_modell,True
2021-10-08,ou_modell,True
2021-10-15,ou_modell,True
2021-10-22,ou_modell,True
2021-10-29,ou_modell,True
2021-11-05,ou_modell,True
2021-11-12,ou_modell,True
2021-11-19,ou_modell,True
2021-11-26,ou_modell,True
2021-12-03,ou_modell,True
2021-12-10,ou_modell,True
2021-12-17,ou_modell,True
2021-12-24,ou_modell,True
2021-12-31,ou_modell,True
2022-01-07,ou_modell,True
2022-01-14,ou_modell,True
2022-01-21,ou_modell,True
2022-01-28,ou_modell,True
2022-02-04,ou_modell,True
2022-02-11,ou_modell,True
2022-02-18,ou_modell,True
2022-02-25,ou_modell,True
2022-03-04,ou_modell,True
2022-03-11,ou_modell,False
2022-03-18,ou_modell,True
2022-03-25,ou_modell,True
2022-04-01,ou_modell,True
2022-04-08,ou_modell,True
2022-04-15,ou_modell,True
2022-04-22,ou_modell,True
2022-04-29,ou_modell,True
2022-05-06,ou_modell,False
2022-05-13,ou_modell,False
2022-05-20,ou_modell,False
2022-05-27,ou_modell,False
2022-06-03,ou_modell,False
2022-06-10,ou_modell,False
2022-06-17,ou_modell,False
2022-06-24,ou_modell,False
2022-07-01,ou_modell,False
2022-07-08,ou_modell,False
2022-07-15,ou_modell,False
2022-07-22,ou_modell,False
2022-07-29,ou_modell,False
2022-08-05,ou_modell,False
2022-08-12,ou_modell,True
2022-08-19,ou_modell,True
2022-08-26,ou_modell,True
2022-09-02,ou_modell,True
2022-09-09,ou_modell,False
2022-09-16,ou_modell,False
2022-09-23,ou_modell,False
2022-09-30,ou_modell,False
2022-10-07,ou_modell,False
2022-10-14,ou_modell,False
2022-10-21,ou_modell,False
2022-10-28,ou_modell,False
2022-11-04,ou_modell,False
2022-11-11,ou_modell,False
2022-11-18,ou_modell,False
2022-11-25,ou_modell,False
2022-12-02,ou_modell,True
2022-12-09,ou_modell,True
2022-12-16,ou_modell,True
2022-12-23,ou_modell,True
2022-12-30,ou_modell,True
2023-01-06,ou_modell,False
2023-01-13,ou_modell,True
2023-01-20,ou_modell,True
2023-01-27,ou_modell,True
2023-02-03,ou_modell,True
2023-02-10,ou_modell,True
2023-02-17,ou_modell,True
2023-02-24,ou_modell,True
2023-03-03,ou_modell,True
2023-03-10,ou_modell,True
2023-03-17,ou_modell,False
2023-03-24,ou_modell,False
2023-03-31,ou_modell,False
2023-04-07,ou_modell,True
2023-04-14,ou_modell,True
2023-04-21,ou_modell,True
2023-04-28,ou_modell,True
2023-05-05,ou_modell,True
2023-05-12,ou_modell,True
2023-05-19,ou_modell,True
2023-05-26,ou_modell,True
2023-06-02,ou_modell,True
2023-06-09,ou_modell,True
2023-06-16,ou_modell,True
2023-06-23,ou_modell,True
2023-06-30,ou_modell,True
2023-07-07,ou_modell,True
2023-07-14,ou_modell,True
2023-07-21,ou_modell,True
2023-07-28,ou_modell,True
2023-08-04,ou_modell,True
2023-08-11,ou_modell,True
2023-08-18,ou_modell,True
2023-08-25,ou_modell,True
2023-09-01,ou_modell,True
2023-09-08,ou_modell,True
2023-09-15,ou_modell,True
2023-09-22,ou_modell,True
2023-09-29,ou_modell,True
2023-10-06,ou_modell,True
2023-10-13,ou_modell,True
2023-10-20,ou_modell,True
2023-10-27,ou_modell,True
2023-11-03,ou_modell,True
2023-11-10,ou_modell,True
2023-11-17,ou_modell,True
2023-11-24,ou_modell,True
2023-12-01,ou_modell,True
2023-12-08,ou_modell,True
2023-12-15,ou_modell,True
2023-12-22,ou_modell,True
2023-12-29,ou_modell,True
2024-01-05,ou_modell,True
2024-01-12,ou_modell,True
2024-01-19,ou_modell,True
2024-01-26,ou_modell,True
2024-02-02,ou_modell,True
2024-02-09,ou_modell,True
2024-02-16,ou_modell,True
2024-02-23,ou_modell,True
2024-03-01,ou_modell,True
2024-03-08,ou_modell,True
2024-03-15,ou_modell,True
2024-03-22,ou_modell,True
2024-03-29,ou_modell,True
2024-04-05,ou_modell,True
2024-04-12,ou_modell,True
2024-04-19,ou_modell,True
2024-04-26,ou_modell,True
2024-05-03,ou_modell,True
2024-05-10,ou_modell,True
2024-05-17,ou_modell,True
2024-05-24,ou_modell,True
2024-05-31,ou_modell,True
2024-06-07,ou_modell,True
2024-06-14,ou_modell,True
2024-06-21,ou_modell,True
2024-06-28,ou_modell,True
2024-07-05,ou_modell,True
2024-07-12,ou_modell,True
2024-07-19,ou_modell,True
2024-07-26,ou_modell,True
2024-08-02,ou_modell,True
2024-08-09,ou_modell,True
2024-08-16,ou_modell,True
2024-08-23,ou_modell,True
2024-08-30,ou_modell,True
2024-09-06,ou_modell,True
2024-09-13,ou_modell,True
2024-09-20,ou_modell,True
2024-09-27,ou_modell,True
2024-10-04,ou_modell,True
2024-10-11,ou_modell,True
2024-10-18,ou_modell,True
2024-10-25,ou_modell,True
2024-11-01,ou_modell,True
2024-11-08,ou_modell,True
2024-11-15,ou_modell,True
2024-11-22,ou_modell,True
2024-11-29,ou_modell,True
2024-12-06,ou_modell,True
2024-12-13,ou_modell,True
2024-12-20,ou_modell,True
2024-12-27,ou_modell,True
2025-01-03,ou_modell,False
2025-01-10,ou_modell,False
2025-01-17,ou_modell,False
2025-01-24,ou_modell,False
2025-01-31,ou_modell,False
2025-02-07,ou_modell,False
2025-02-14,ou_modell,False
2025-02-21,ou_modell,False
2025-02-28,ou_modell,False
2025-03-07,ou_modell,False
2025-03-14,ou_modell,False
2025-03-21,ou_modell,False
2025-03-28,ou_modell,False
2025-04-04,ou_modell,False
2025-04-11,ou_modell,False
2025-04-18,ou_modell,False
2025-04-25,ou_modell,False
2025-05-02,ou_modell,False
2025-05-09,ou_modell,False
2025-05-16,ou_modell,False
2025-05-23,ou_modell,False
2025-05-30,ou_modell,False
2025-06-06,ou_modell,False
2025-06-13,ou_modell,False
2025-06-20,ou_modell,False
2025-06-27,ou_modell,False
2025-07-04,ou_modell,False
2025-07-11,ou_modell,False
2025-07-18,ou_modell,False
2025-07-25,ou_modell,False
2025-08-01,ou_modell,False
2025-08-08,ou_modell,False
2025-08-15,ou_modell,False
2025-08-22,ou_modell,False
2025-08-29,ou_modell,False
2025-09-05,ou_modell,False
2025-09-12,ou_modell,False
2025-09-19,ou_modell,False
2025-09-26,ou_modell,False
2025-10-03,ou_modell,False
2025-10-10,ou_modell,False
2025-10-17,ou_modell,False
2025-10-24,ou_modell,False
2025-10-31,ou_modell,False
2025-11-07,ou_modell,False
2025-11-14,ou_modell,False
2025-11-21,ou_modell,False
2025-11-28,ou_modell,False
2025-12-05,ou_modell,False
2025-12-12,ou_modell,False
2025-12-19,ou_modell,False
2025-12-26,ou_modell,False
2026-01-02,ou_modell,False
2026-01-09,ou_modell,False
2026-01-16,ou_modell,False
2026-01-23,ou_modell,False
2026-01-30,ou_modell,False
2026-02-06,ou_modell,False
2026-02-13,ou_modell,False
2026-02-20,ou_modell,False
2026-02-27,ou_modell,False
2026-03-06,ou_modell,False
2026-03-13,ou_modell,False
2026-03-20,ou_modell,False
2026-03-27,ou_modell,False
2026-04-03,ou_modell,False
2026-04-10,ou_modell,False
2026-04-17,ou_modell,False
2026-04-24,ou_modell,False
2026-05-01,ou_modell,False
2026-05-08,ou_modell,False
2026-05-15,ou_modell,False
2026-05-22,ou_modell,False
2026-05-29,ou_modell,False
2026-06-05,ou_modell,False
2026-06-12,ou_modell,False
2026-06-19,ou_modell,False
2026-06-26,ou_modell,False
2026-07-03,ou_modell,False
2026-07-10,ou_modell,False
2026-07-17,ou_modell,False
2026-07-24,ou_modell,False
2026-07-31,ou_modell,False
2026-08-07,ou_modell,False
2026-08-14,ou_modell,False
2026-08-21,ou_modell,False
2016-01-01,cls_practical,False
2016-01-08,cls_practical,False
2016-01-15,cls_practical,False
2016-01-22,cls_practical,False
2016-01-29,cls_practical,False
2016-02-05,cls_practical,False
2016-02-12,cls_practical,False
2016-02-19,cls_practical,False
2016-02-26,cls_practical,False
2016-03-04,cls_practical,False
2016-03-11,cls_practical,False
2016-03-18,cls_practical,False
2016-03-25,cls_practical,False
2016-04-01,cls_practical,False
2016-04-08,cls_practical,False
2016-04-15,cls_practical,False
2016-04-22,cls_practical,False
2016-04-29,cls_practical,False
2016-05-06,cls_practical,False
2016-05-13,cls_practical,False
2016-05-20,cls_practical,False
2016-05-27,cls_practical,False
2016-06-03,cls_practical,False
2016-06-10,cls_practical,False
2016-06-17,cls_practical,False
2016-06-24,cls_practical,False
2016-07-01,cls_practical,False
2016-07-08,cls_practical,False
2016-07-15,cls_practical,False
2016-07-22,cls_practical,False
2016-07-29,cls_practical,False
2016-08-05,cls_practical,False
2016-08-12,cls_practical,False
2016-08-19,cls_practical,False
2016-08-26,cls_practical,False
2016-09-02,cls_practical,False
2016-09-09,cls_practical,False
2016-09-16,cls_practical,False
2016-09-23,cls_practical,False
2016-09-30,cls_practical,False
2016-10-07,cls_practical,False
2016-10-14,cls_practical,False
2016-10-21,cls_practical,False
2016-10-28,cls_practical,False
2016-11-04,cls_practical,False
2016-11-11,cls_practical,False
2016-11-18,cls_practical,False
2016-11-25,cls_practical,False
2016-12-02,cls_practical,False
2016-12-09,cls_practical,False
2016-12-16,cls_practical,False
2016-12-23,cls_practical,False
2016-12-30,cls_practical,False
2017-01-06,cls_practical,False
2017-01-13,cls_practical,False
2017-01-20,cls_practical,False
2017-01-27,cls_practical,False
2017-02-03,cls_practical,False
2017-02-10,cls_practical,False
2017-02-17,cls_practical,False
2017-02-24,cls_practical,False
2017-03-03,cls_practical,False
2017-03-10,cls_practical,False
2017-03-17,cls_practical,False
2017-03-24,cls_practical,False
2017-03-31,cls_practical,False
2017-04-07,cls_practical,False
2017-04-14,cls_practical,False
2017-04-21,cls_practical,False
2017-04-28,cls_practical,False
2017-05-05,cls_practical,False
2017-05-12,cls_practical,False
2017-05-19,cls_practical,False
2017-05-26,cls_practical,False
2017-06-02,cls_practical,False
2017-06-09,cls_practical,False
2017-06-16,cls_practical,False
2017-06-23,cls_practical,False
2017-06-30,cls_practical,False
