Kosten (bps),SP500,US30,NASDAQ,PORTFOLIO Ø R,PF,Trades
0.0,0.43175487465181056,0.4210221446733265,0.31337439987425914,0.3496314659728787,1.637081984799255,2336
0.5,0.37871452376180836,0.36173962463907583,0.24813572953673504,0.2872669427246283,1.4989875002743327,2336
1.0,0.325673749816926,0.2922531238429907,0.20841704212222653,0.2405056132253672,1.3999019304810945,2336
1.5,0.2670619400035134,0.25337667289701044,0.16048351333268598,0.19245088222140272,1.3063561741061973,2336
2.0,0.19730903861155002,0.18136448997369994,0.09081643940110352,0.12237708963269942,1.185462347483727,2336
3.0,0.06337466861228618,0.057759320273464185,-0.01744573085056146,0.007594895625371897,1.0105567763658085,2336
4.0,-0.037139109484488654,-0.09645310547667663,-0.12021718259472328,-0.10346181167141484,0.8670040003402458,2336
6.0,-0.2827282882992625,-0.3283645210449923,-0.3106472910064043,-0.30932975342218455,0.655190834403895,2336
8.0,-0.511611144072324,-0.5398835322414692,-0.4900472718557498,-0.5017241743373219,0.508085984673487,2336
