instrument,stop_atr_mult,target_r_mult,partial_exit_r,be,all_trades,all_avg_r,all_pf,all_win,all_maxdd_r,all_sum_r,is_trades,is_avg_r,is_pf,is_win,is_maxdd_r,is_sum_r,oos_trades,oos_avg_r,oos_pf,oos_win,oos_maxdd_r,oos_sum_r,years_positive,years_total
NASDAQ,0.4,,,False,1588,0.6047376658888677,1.629840060905855,0.1190176322418136,-60.5070447514713,960.3234134315219,824,0.6718579804176676,1.7060143589354233,0.12257281553398058,-60.5070447514713,553.6109758641581,764,0.5323461224703715,1.549185128191333,0.11518324607329843,-41.77009332651906,406.71243756736385,8,8
NASDAQ,0.4,,1.0,True,1588,0.14423241981235407,1.2308261825345514,0.4282115869017632,-35.87323937920296,229.04108266201828,824,0.2042046545376611,1.337718833504719,0.4441747572815534,-35.87323937920296,168.26463533903274,764,0.07955032372118526,1.1230223600403608,0.4109947643979058,-33.93384536393815,60.77644732298554,6,8
NASDAQ,0.4,,1.0,False,1588,0.1851959054644215,1.2842793483682753,0.11964735516372796,-64.15751638757824,294.09109787750134,824,0.23684732108308015,1.375356147819598,0.12378640776699029,-64.15751638757824,195.16219257245805,764,0.12948809594900954,1.1922533369990336,0.11518324607329843,-47.219545442012844,98.92890530504329,7,8
NASDAQ,0.4,,1.5,True,1588,0.22801593575829954,1.3492339741378547,0.40239294710327456,-28.24752853507249,362.08930598417965,824,0.29527368995117187,1.465210737410177,0.4162621359223301,-26.944944592734203,243.30552051976562,764,0.15547615898483513,1.231182572528824,0.387434554973822,-28.247528535072664,118.78378546441404,8,8
NASDAQ,0.4,,1.5,False,1588,0.2599757626747474,1.398181212967533,0.4017632241813602,-44.643518983892406,412.8415111274989,824,0.31300083898356423,1.49313267173151,0.41504854368932037,-44.643518983892406,257.9126913224569,764,0.20278641335738481,1.3015297330468933,0.387434554973822,-38.897066910709334,154.928819805042,7,8
NASDAQ,0.4,,2.0,True,1588,0.2802365660588419,1.409569517165863,0.3734256926952141,-24.836541856740133,445.0156669014409,824,0.3434751716425982,1.5135888445972787,0.38470873786407767,-24.836541856740133,283.02354143350095,764,0.2120315778376178,1.3025206380613297,0.3612565445026178,-23.716352999813886,161.99212546794,8,8
NASDAQ,0.4,,2.0,False,1588,0.31712348575409344,1.4634802473100084,0.3734256926952141,-33.893447733892174,503.59209537750036,824,0.3697372270296821,1.552857763566004,0.38470873786407767,-33.893447733892174,304.663475072458,764,0.26037777526837985,1.371499620549467,0.3612565445026178,-28.710835581842275,198.92862030504222,7,8
NASDAQ,0.4,,2.5,True,1588,0.33133248267658344,1.4630025896833148,0.34445843828715367,-25.03863203111797,526.1559824904145,824,0.42647355979669166,1.612492485489486,0.3592233009708738,-22.836684356739823,351.41421327247394,764,0.2287195932171998,1.3105663877307285,0.3285340314136126,-25.03863203111794,174.74176921794066,8,8
NASDAQ,0.4,,2.5,False,1588,0.35978661248583227,1.5027642685940026,0.34445843828715367,-30.78462182471067,571.3411406275017,824,0.42131420518502266,1.6050827273531805,0.3592233009708738,-30.78462182471067,347.16290507245867,764,0.2934270098887996,1.3984292086303882,0.3285340314136126,-28.53854653111793,224.1782355550429,8,8
NASDAQ,0.4,,3.0,True,1588,0.34765963588921095,1.4619841264375841,0.31045340050377834,-23.815470482694515,552.083501792067,824,0.4262499916037276,1.5731078594246153,0.3155339805825243,-23.815470482694515,351.22999308147155,764,0.26289726271020347,1.3450050712922192,0.30497382198952877,-23.288674781118154,200.85350871059543,8,8
NASDAQ,0.4,,3.0,False,1588,0.37748196056469624,1.5016132325841847,0.31045340050377834,-28.803404994102166,599.4413533767377,824,0.4237403866170614,1.5697336087026428,0.3155339805825243,-28.803404994102166,349.1620785724586,764,0.32759067382759033,1.4299034634800991,0.30497382198952877,-26.78858928111815,250.279274804279,8,8
NASDAQ,0.4,2.0,,False,1588,0.029509305619319054,1.043128247767162,0.3734256926952141,-40.580243472110105,46.86077732347866,824,0.06761647364169666,1.101105027205624,0.38470873786407767,-26.384451593495207,55.71597428075805,764,-0.011590571933611767,0.9834629008914073,0.3612565445026178,-40.580243472110084,-8.85519695727939,5,8
NASDAQ,0.4,2.0,1.0,True,1588,-0.19215510118168813,0.6924794819499351,0.4282115869017632,-313.568953594449,-305.14230067652073,824,-0.15568823266898382,0.7425188546929841,0.4441747572815534,-139.63308160377744,-128.28710371924268,764,-0.23148585989172524,0.6420135649018321,0.4109947643979058,-180.89734616042637,-176.85519695727808,0,8
NASDAQ,0.4,2.0,1.0,False,1588,-0.1845977082345844,0.7090065098985694,0.31863979848866497,-301.56798459444883,-293.14116067652003,824,-0.14537114225636205,0.7633131698953889,0.3313106796116505,-136.13208410377732,-119.78582121924232,764,-0.22690489457758867,0.6541789951588177,0.30497382198952877,-174.897517160426,-173.35533945727775,0,8
NASDAQ,0.4,2.0,1.5,True,1588,-0.12335755788823849,0.8110629854094226,0.40239294710327456,-207.8185973444516,-195.89180192652273,824,-0.0849956377053927,0.8660873466236945,0.4162621359223301,-98.87338337618414,-70.03640546924359,764,-0.1647321943158104,0.7550543265996058,0.387434554973822,-132.3975171604276,-125.85539645727914,1,8
NASDAQ,0.4,2.0,1.5,False,1588,-0.11170701979000155,0.8289085252434899,0.4017632241813602,-190.3176568444513,-177.39074742652247,824,-0.07103790894325657,0.8880798085233013,0.41504854368932037,-86.37261387618386,-58.53523696924341,764,-0.1555700398655485,0.7686778329271872,0.387434554973822,-122.89765966042745,-118.85551045727905,1,8
