market,timeframe,spread_bps,filter,adx_min,vol_window_days,vol_quantile,session_hours,stop_atr_mult,tp_r,be_trigger_r,n_trades_oos,win_rate_oos,profit_factor_oos,sharpe_oos,calmar_oos,cagr_oos,max_drawdown_oos
XAUUSD,H1,10.0,vol,,80,0.25,,2.0,1.0,0.5,44,0.4318181818181818,0.7917866424620607,-0.3413246129904469,-0.21042806336971034,-0.017344288389726348,-0.08242383697298683
XAGUSD,H1,10.0,vol,,80,0.25,,2.0,1.0,0.5,40,0.5,1.253851035560109,0.36209066258437256,0.3878546986591472,0.020724996724379663,-0.05343495075869409
XPTUSD,H1,10.0,vol,,80,0.25,,2.0,1.0,0.5,32,0.5,1.0479951196485768,0.06106388860023147,0.024609238183282724,0.00181643616500482,-0.07381114975914782
CHFJPY,H4,3.0,vol,,80,0.25,,2.0,1.0,0.5,17,0.5294117647058824,2.1296373092915313,0.8091395302538258,1.2234602699379582,0.013163179821145121,-0.010758976114371599
USDJPY,H4,1.5,vol,,80,0.25,,2.0,1.0,0.5,9,0.7777777777777778,6.103746094088401,1.1436417646237529,1.9087521732762918,0.014569718305929014,-0.0076331115741027356
