market,tf,is_live_tf,spread_bps,n_is,wr_is,pf_is,sharpe_is,n_oos,wr_oos,pf_oos,sharpe_oos,cagr_oos,maxdd_oos
XAUUSD,H1,True,10.0,23,0.5217391304347826,2.128851232194957,1.0594679975192118,43,0.4883720930232558,1.3051751314719409,0.4261367319594393,0.026266805559117756,-0.07502334141850542
XAUUSD,H4,False,10.0,8,0.25,0.5532146147557186,-0.5149160065373868,11,0.7272727272727273,5.0861617969755875,1.1971383648338567,0.07812587427223461,-0.03452740827293488
XAUUSD,D1,False,10.0,1,1.0,inf,0.6793662204867573,1,1.0,inf,0.5754504605860516,0.01742919230718787,0.0
XAGUSD,H1,True,10.0,19,0.5263157894736842,1.616077025385194,0.6639768772111427,41,0.43902439024390244,1.3472561698876724,0.4747506297407719,0.05176940718020018,-0.11627118885865928
XAGUSD,H4,False,10.0,8,0.125,0.24193240103565583,-1.121712299508963,8,0.25,0.46270018321280154,-0.5756685426830735,-0.031696937688933224,-0.09268861066570588
XAGUSD,D1,False,10.0,3,0.0,0.0,-1.154924770694845,1,1.0,inf,0.5754504605860516,0.034284694678716976,0.0
XPTUSD,H1,True,10.0,19,0.5789473684210527,2.712960445703427,1.2930274279507021,30,0.43333333333333335,1.3454056002331054,0.40164475155955653,0.03460345553359101,-0.07648322231740312
XPTUSD,H4,False,10.0,8,0.125,0.30409185502578157,-0.9731581284624915,7,0.42857142857142855,1.8170944930948556,0.33084514141504673,0.03589718184585755,-0.09114110503500261
XPTUSD,D1,False,10.0,0,,,0.0,1,0.0,0.0,-0.5754504605860515,-0.08023849086938861,-0.22320760821612118
CHFJPY,H1,False,3.0,23,0.4782608695652174,1.621441311001491,0.5817414484569782,37,0.43243243243243246,1.3772590366633057,0.512445683191488,0.00927935251676315,-0.014990076691703602
CHFJPY,H4,True,3.0,10,0.7,4.550534063421926,1.3212505657701592,18,0.5,2.1305508325546096,0.806128276947231,0.02269918720358821,-0.021013417732736017
CHFJPY,D1,False,3.0,4,0.75,5.445155675296689,0.9037431352055691,2,0.0,0.0,-0.8118064371605506,-0.015633906132998643,-0.04647044724070959
USDJPY,H1,False,1.5,31,0.3870967741935484,0.818521331157411,-0.3346261296686368,40,0.4,0.9214627162860994,-0.1409858440720329,-0.002929805698357768,-0.053071069617180444
USDJPY,H4,True,1.5,12,0.5,2.5424525654999814,0.8990448334039828,13,0.46153846153846156,1.1919041350137127,0.17129539541162808,0.0036393495676658727,-0.016079244275743698
USDJPY,D1,False,1.5,3,0.6666666666666666,3.140405478505741,0.5934928864502425,2,0.5,1.6441510562915418,0.1925092517094932,0.004200143573540371,-0.02088795788526787
