scope,market,timeframe,spread_bps,risk_pct,trend_ema,rsi_len,rsi_oversold,atr_len,stop_atr_mult,rr_ratio,new_is_start,new_split,new_oos_end,n_is,wr_is,pf_is,sharpe_is,n_oos,wr_oos,pf_oos,sharpe_oos,calmar_oos,cagr_oos,maxdd_pct_oos,avg_hold_bars_oos,final_equity,total_return,maxdd_usd,avg_win_usd,avg_loss_usd,n_taken,n_skipped
per_market,XAUUSD,H1,10.0,0.005,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,23.0,0.5217391304347826,2.128851232194957,1.0594679975192118,43.0,0.4883720930232558,1.3051751314719409,0.4261367319594393,0.3501151116769471,0.026266805559117756,-0.07502334141850542,34.2093023255814,108976.93754726788,0.08976937547267871,-3970.505634037312,1140.9307839497076,-681.0276779852744,43,0
per_market,XAUUSD,H1,10.0,0.01,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,23.0,0.5217391304347826,2.128851232194957,1.0594679975192118,43.0,0.4883720930232558,1.3051751314719409,0.4261367319594393,0.3501151116769471,0.026266805559117756,-0.07502334141850542,34.2093023255814,118350.15324515552,0.1835015324515552,-8408.583472956641,2379.5172582787163,-1437.2595081226134,43,0
per_market,XAUUSD,H1,10.0,0.015,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,23.0,0.5217391304347826,2.128851232194957,1.0594679975192118,43.0,0.4883720930232558,1.3051751314719409,0.4261367319594393,0.3501151116769471,0.026266805559117756,-0.07502334141850542,34.2093023255814,128091.82778164255,0.28091827781642564,-13330.394804497511,3718.4038018064234,-2272.4841843769223,43,0
per_market,XAUUSD,H1,10.0,0.02,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,23.0,0.5217391304347826,2.128851232194957,1.0594679975192118,43.0,0.4883720930232558,1.3051751314719409,0.4261367319594393,0.3501151116769471,0.026266805559117756,-0.07502334141850542,34.2093023255814,138168.86425072473,0.3816886425072472,-18750.238350144355,5159.766531859194,-3190.2833144690157,43,0
per_market,XAGUSD,H1,10.0,0.005,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,19.0,0.5263157894736842,1.616077025385194,0.6639768772111427,41.0,0.43902439024390244,1.3472561698876724,0.4747506297407719,0.44524707873359515,0.05176940718020018,-0.11627118885865928,40.8780487804878,105045.74490286283,0.050457449028628254,-2339.6484054044704,1171.5177630507992,-697.4597753065892,41,0
per_market,XAGUSD,H1,10.0,0.01,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,19.0,0.5263157894736842,1.616077025385194,0.6639768772111427,41.0,0.43902439024390244,1.3472561698876724,0.4747506297407719,0.44524707873359515,0.05176940718020018,-0.11627118885865928,40.8780487804878,109957.0273493596,0.09957027349359593,-4697.28016909257,2361.666800641783,-1415.346741834456,41,0
per_market,XAGUSD,H1,10.0,0.015,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,19.0,0.5263157894736842,1.616077025385194,0.6639768772111427,41.0,0.43902439024390244,1.3472561698876724,0.4747506297407719,0.44524707873359515,0.05176940718020018,-0.11627118885865928,40.8780487804878,114696.39953023671,0.14696399530236715,-7065.035350059625,3565.638049575281,-2151.525450526886,41,0
per_market,XAGUSD,H1,10.0,0.02,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,19.0,0.5263157894736842,1.616077025385194,0.6639768772111427,41.0,0.43902439024390244,1.3472561698876724,0.4747506297407719,0.44524707873359515,0.05176940718020018,-0.11627118885865928,40.8780487804878,119226.84831079375,0.19226848310793754,-9435.044289168145,4778.387483625733,-2903.657669324756,41,0
per_market,XPTUSD,H1,10.0,0.005,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,19.0,0.5789473684210527,2.712960445703427,1.2930274279507021,30.0,0.43333333333333335,1.3454056002331054,0.40164475155955653,0.45243197769554855,0.03460345553359101,-0.07648322231740312,31.066666666666666,103084.48483291303,0.03084484832913037,-3379.8644477042253,1073.0126008964044,-639.0987634553097,30,0
per_market,XPTUSD,H1,10.0,0.01,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,19.0,0.5789473684210527,2.712960445703427,1.2930274279507021,30.0,0.43333333333333335,1.3454056002331054,0.40164475155955653,0.45243197769554855,0.03460345553359101,-0.07648322231740312,31.066666666666666,106025.32627131164,0.060253262713116484,-6681.25143904076,2121.905867590921,-1268.2029416100188,30,0
