market,tf,n_is,wr_is,pf_is,sharpe_is,n_oos,wr_oos,pf_oos,sharpe_oos,cagr_oos,maxdd_oos
XAUUSD,M5,235,0.26382978723404255,0.4940925707117667,-3.1477992853934524,393,0.3282442748091603,0.6794521903148193,-2.034501563454076,-0.09702883317133315,-0.27386411263887045
XAUUSD,M15,93,0.43010752688172044,1.167566794127876,0.47377334835230345,131,0.35877862595419846,0.7965159435551938,-0.6391891065516077,-0.03418265950635058,-0.12819969912756035
XAUUSD,M30,47,0.3404255319148936,0.7967765273440551,-0.4833105347760964,66,0.4393939393939394,1.1213743799420908,0.22850520606036082,0.011908093887209148,-0.05977801006005312
XAUUSD,M3,387,0.22739018087855298,0.40597424840417284,-5.1516262543952545,648,0.2978395061728395,0.6280528084672081,-3.048117613519665,-0.14688076434956365,-0.38215758898489116
XAGUSD,M5,219,0.2968036529680365,0.6659622802261236,-1.814887884201459,409,0.33007334963325186,0.7998007347077658,-1.0894239979112479,-0.11483799623706248,-0.35954734017590007
XAGUSD,M15,91,0.42857142857142855,1.1973220390478247,0.5423872944077668,140,0.35714285714285715,0.8347442032335947,-0.5350657745018019,-0.059861816391678424,-0.19751624033458992
XAGUSD,M30,41,0.5121951219512195,1.650052077911129,0.9859938001401201,70,0.35714285714285715,0.9278087675918993,-0.14927807003069815,-0.026550374106660724,-0.2353222499526979
XAGUSD,M3,350,0.26285714285714284,0.5318603460836282,-3.4096966286244834,618,0.2912621359223301,0.6449643236964204,-2.7255613119385917,-0.23722186143069923,-0.5594352463444392
XPTUSD,M5,275,0.2727272727272727,0.5557167150659927,-2.9228396270945334,424,0.3278301886792453,0.8291077121871412,-0.9111377036542911,-0.08782596149932176,-0.2423981722765789
XPTUSD,M15,98,0.3469387755102041,0.832916512354353,-0.5651198565984967,135,0.32592592592592595,0.7436468362601507,-0.8249168961234743,-0.0798707684912926,-0.230601519084084
XPTUSD,M30,51,0.45098039215686275,1.3582138231636462,0.698003270129982,65,0.36923076923076925,0.8257985668976372,-0.3626909362862642,-0.04633674206179972,-0.2317127904181372
XPTUSD,M3,394,0.2614213197969543,0.5078067080847065,-3.8190186651550966,586,0.2986348122866894,0.661799463764507,-2.4625834410405893,-0.19131947716631326,-0.47428724210550177
CHFJPY,M5,312,0.34615384615384615,0.8196300071734168,-1.0956594431604776,401,0.314214463840399,0.6096949304634397,-2.6028391995072737,-0.05507170947367346,-0.15723122385994448
CHFJPY,M15,102,0.43137254901960786,1.1048168275788266,0.3055574654491091,149,0.3422818791946309,0.8599863721090699,-0.46101010972064027,-0.010395771373231999,-0.053965620077045195
CHFJPY,M30,56,0.35714285714285715,0.8484764916730114,-0.31542277340558955,71,0.29577464788732394,0.6083282066469544,-1.0895853785518046,-0.020421599751432096,-0.06990995818823786
CHFJPY,M3,456,0.2894736842105263,0.6395616976231873,-3.079058320227919,570,0.23508771929824562,0.4417215560816967,-4.645546351742026,-0.09544681000423205,-0.2621814560140716
USDJPY,M5,368,0.358695652173913,0.9202803560376437,-0.43251383197853194,461,0.36225596529284165,0.9580064611395963,-0.20275889996299332,-0.005107739277146028,-0.0547567593475623
USDJPY,M15,126,0.42857142857142855,1.1117966022064858,0.3801026294153789,149,0.3959731543624161,1.0293361741746123,0.07863150235355054,0.001636266488039606,-0.04357728061022614
USDJPY,M30,73,0.4246575342465753,0.9830859636973872,-0.10743304977329737,72,0.4305555555555556,1.3364228865547825,0.6050207713851505,0.013332796734665475,-0.02050467015643942
USDJPY,M3,528,0.3181818181818182,0.8257102896362708,-1.2742664622502906,733,0.31923601637107774,0.7995313571828638,-1.5078138203994331,-0.030766931904501638,-0.09093160323456517
