date,equity
2016-07-28,103371.98782330492
2016-07-29,103371.98782330492
2016-07-30,103371.98782330492
2016-07-31,103371.98782330492
2016-08-01,103371.98782330492
2016-08-02,103371.98782330492
2016-08-03,103371.98782330492
2016-08-04,103371.98782330492
2016-08-05,103371.98782330492
2016-08-06,103371.98782330492
2016-08-07,103371.98782330492
2016-08-08,103371.98782330492
2016-08-09,103371.98782330492
2016-08-10,103371.98782330492
2016-08-11,103371.98782330492
2016-08-12,103371.98782330492
2016-08-13,103371.98782330492
2016-08-14,103371.98782330492
2016-08-15,103371.98782330492
2016-08-16,103371.98782330492
2016-08-17,103371.98782330492
2016-08-18,103371.98782330492
2016-08-19,103371.98782330492
2016-08-20,103371.98782330492
2016-08-21,103371.98782330492
2016-08-22,103371.98782330492
2016-08-23,103371.98782330492
2016-08-24,103371.98782330492
2016-08-25,103371.98782330492
2016-08-26,103371.98782330492
2016-08-27,103371.98782330492
2016-08-28,103371.98782330492
2016-08-29,103371.98782330492
2016-08-30,103371.98782330492
2016-08-31,103371.98782330492
2016-09-01,103371.98782330492
2016-09-02,103371.98782330492
2016-09-03,103371.98782330492
2016-09-04,103371.98782330492
2016-09-05,103371.98782330492
2016-09-06,103371.98782330492
2016-09-07,103371.98782330492
2016-09-08,103371.98782330492
2016-09-09,103371.98782330492
2016-09-10,103371.98782330492
2016-09-11,103371.98782330492
2016-09-12,103371.98782330492
2016-09-13,103371.98782330492
2016-09-14,103371.98782330492
2016-09-15,103371.98782330492
2016-09-16,103371.98782330492
2016-09-17,103371.98782330492
2016-09-18,103371.98782330492
2016-09-19,103371.98782330492
2016-09-20,103371.98782330492
2016-09-21,103371.98782330492
2016-09-22,103371.98782330492
2016-09-23,103371.98782330492
2016-09-24,103371.98782330492
2016-09-25,103371.98782330492
2016-09-26,103371.98782330492
2016-09-27,103371.98782330492
2016-09-28,103371.98782330492
2016-09-29,103371.98782330492
2016-09-30,103371.98782330492
2016-10-01,103054.01777888939
2016-10-02,103054.01777888939
2016-10-03,103054.01777888939
2016-10-04,103054.01777888939
2016-10-05,103054.01777888939
2016-10-06,103054.01777888939
2016-10-07,103054.01777888939
2016-10-08,103054.01777888939
2016-10-09,103054.01777888939
2016-10-10,103054.01777888939
2016-10-11,103054.01777888939
2016-10-12,103054.01777888939
2016-10-13,103054.01777888939
2016-10-14,103054.01777888939
2016-10-15,103054.01777888939
2016-10-16,103054.01777888939
2016-10-17,103054.01777888939
2016-10-18,103054.01777888939
2016-10-19,103054.01777888939
2016-10-20,103054.01777888939
2016-10-21,103054.01777888939
2016-10-22,103054.01777888939
2016-10-23,103054.01777888939
2016-10-24,103054.01777888939
2016-10-25,103725.88323170244
2016-10-26,103725.88323170244
2016-10-27,103725.88323170244
2016-10-28,103725.88323170244
2016-10-29,103725.88323170244
2016-10-30,103725.88323170244
2016-10-31,103725.88323170244
2016-11-01,103725.88323170244
2016-11-02,103725.88323170244
2016-11-03,103725.88323170244
2016-11-04,103725.88323170244
2016-11-05,103725.88323170244
2016-11-06,103725.88323170244
2016-11-07,103725.88323170244
2016-11-08,103725.88323170244
2016-11-09,103725.88323170244
2016-11-10,111516.57654784198
2016-11-11,111516.57654784198
2016-11-12,111516.57654784198
2016-11-13,111516.57654784198
2016-11-14,111516.57654784198
2016-11-15,111516.57654784198
2016-11-16,110918.44853651022
2016-11-17,110918.44853651022
2016-11-18,110918.44853651022
2016-11-19,110918.44853651022
2016-11-20,110918.44853651022
2016-11-21,110918.44853651022
2016-11-22,110918.44853651022
2016-11-23,110918.44853651022
2016-11-24,110918.44853651022
2016-11-25,110918.44853651022
2016-11-26,110918.44853651022
2016-11-27,110918.44853651022
2016-11-28,110918.44853651022
2016-11-29,110918.44853651022
2016-11-30,110918.44853651022
2016-12-01,110918.44853651022
2016-12-02,110918.44853651022
2016-12-03,110918.44853651022
2016-12-04,110918.44853651022
2016-12-05,110918.44853651022
2016-12-06,110918.44853651022
2016-12-07,110918.44853651022
2016-12-08,111961.7247074472
2016-12-09,111961.7247074472
2016-12-10,111961.7247074472
2016-12-11,111961.7247074472
2016-12-12,111961.7247074472
2016-12-13,111961.7247074472
2016-12-14,110316.59747053983
2016-12-15,110316.59747053983
2016-12-16,110316.59747053983
2016-12-17,110316.59747053983
2016-12-18,110316.59747053983
2016-12-19,110316.59747053983
2016-12-20,110316.59747053983
2016-12-21,110316.59747053983
2016-12-22,110316.59747053983
2016-12-23,110316.59747053983
2016-12-24,110316.59747053983
2016-12-25,110316.59747053983
2016-12-26,110316.59747053983
2016-12-27,110316.59747053983
2016-12-28,107404.44824753789
2016-12-29,107404.44824753789
2016-12-30,107404.44824753789
2016-12-31,107404.44824753789
2017-01-01,107404.44824753789
2017-01-02,107404.44824753789
2017-01-03,107404.44824753789
2017-01-04,107404.44824753789
2017-01-05,107404.44824753789
2017-01-06,107404.44824753789
2017-01-07,106865.74344041562
2017-01-08,106865.74344041562
2017-01-09,106865.74344041562
2017-01-10,106865.74344041562
2017-01-11,106865.74344041562
2017-01-12,106865.74344041562
2017-01-13,106865.74344041562
2017-01-14,106865.74344041562
2017-01-15,106865.74344041562
2017-01-16,106865.74344041562
2017-01-17,106865.74344041562
2017-01-18,106865.74344041562
2017-01-19,106865.74344041562
2017-01-20,106865.74344041562
2017-01-21,106865.74344041562
2017-01-22,106865.74344041562
2017-01-23,106865.74344041562
2017-01-24,106865.74344041562
2017-01-25,106281.24728298114
2017-01-26,107552.91071689097
2017-01-27,107552.91071689097
2017-01-28,107552.91071689097
2017-01-29,107552.91071689097
2017-01-30,107552.91071689097
2017-01-31,107552.91071689097
2017-02-01,107552.91071689097
2017-02-02,107552.91071689097
2017-02-03,107552.91071689097
2017-02-04,108606.15826620717
2017-02-05,108606.15826620717
2017-02-06,108606.15826620717
2017-02-07,108606.15826620717
2017-02-08,108606.15826620717
2017-02-09,108606.15826620717
2017-02-10,108017.12776162982
2017-02-11,108017.12776162982
2017-02-12,108017.12776162982
2017-02-13,108017.12776162982
2017-02-14,108017.12776162982
2017-02-15,108017.12776162982
2017-02-16,108017.12776162982
2017-02-17,108017.12776162982
2017-02-18,108017.12776162982
2017-02-19,108017.12776162982
2017-02-20,108017.12776162982
2017-02-21,108017.12776162982
2017-02-22,108017.12776162982
2017-02-23,108017.12776162982
2017-02-24,108017.12776162982
2017-02-25,108017.12776162982
2017-02-26,108017.12776162982
2017-02-27,108017.12776162982
2017-02-28,108017.12776162982
2017-03-01,108017.12776162982
2017-03-02,114690.08713364089
2017-03-03,114690.08713364089
2017-03-04,114690.08713364089
2017-03-05,114690.08713364089
2017-03-06,114690.08713364089
2017-03-07,114690.08713364089
2017-03-08,114690.08713364089
