date,equity
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,99939.70088195801
2018-01-05,99941.37536621094
2018-01-08,100139.00825500488
2018-01-09,100003.34896850586
2018-01-10,99674.356300354
2018-01-11,99012.82559967041
2018-01-12,98677.76526641846
2018-01-16,99319.03882598877
2018-01-17,100398.14659500122
2018-01-18,100114.67601776123
2018-01-19,101195.79343986511
2018-01-22,102507.67679405212
2018-01-23,102419.35352706909
2018-01-24,103331.20816421509
2018-01-25,103411.92815589905
2018-01-26,104750.49078559875
2018-01-29,103650.75647544861
2018-01-30,103604.33765602112
2018-01-31,103411.67196846008
2018-02-01,103206.38740348816
2018-02-02,98885.08373832703
2018-02-05,89749.48775672913
2018-02-06,93013.95741271973
2018-02-07,92098.38531684875
2018-02-08,86422.22985649109
2018-02-09,87776.29682922363
2018-02-12,89958.11523246765
2018-02-13,90312.09311676025
2018-02-14,92354.85461044312
2018-02-15,93866.8953742981
2018-02-16,94674.267993927
2018-02-20,94326.21799468994
2018-02-21,93973.11162567139
2018-02-22,94068.67557907104
2018-02-23,95165.42724990845
2018-02-26,95240.97319412231
2018-02-27,95032.56494140625
2018-02-28,94995.92691421509
2018-03-01,95078.5513305664
2018-03-02,95089.40517807007
2018-03-05,95128.61849594116
2018-03-06,95692.18264389038
2018-03-07,95659.49814224243
2018-03-08,95969.54531860352
2018-03-09,96287.40543746948
2018-03-12,96496.06150817871
2018-03-13,96692.76360321045
2018-03-14,96511.92649841309
2018-03-15,96388.66700744629
2018-03-16,96338.14874267578
2018-03-19,95229.73244857788
2018-03-20,95101.01176834106
2018-03-21,95487.57484817505
2018-03-22,91740.3000793457
2018-03-23,88350.197265625
2018-03-26,91734.20537185669
2018-03-27,90834.553855896
2018-03-28,90916.19556045532
2018-03-29,92814.12773132324
2018-04-02,89679.2562122345
2018-04-03,91389.71949386597
2018-04-04,95115.64149093628
2018-04-05,95576.40411758423
2018-04-06,93925.60953903198
2018-04-09,93779.86789703369
2018-04-10,93844.21048355103
2018-04-11,92994.26560211182
2018-04-12,92539.79373264313
2018-04-13,92625.79050731659
2018-04-16,93163.69172668457
2018-04-17,93627.69118499756
2018-04-18,94311.26665115356
2018-04-19,93568.65548706055
2018-04-20,92354.11605548859
2018-04-23,91685.04723262787
2018-04-24,90651.47055530548
2018-04-25,90345.86677360535
2018-04-26,91126.90138816833
2018-04-27,92046.08551597595
2018-04-30,90745.80277442932
2018-05-01,90105.0115184784
2018-05-02,88296.84991073608
2018-05-03,87633.59489250183
2018-05-04,90556.18857955933
2018-05-07,90853.11703491211
2018-05-08,90123.64519882202
2018-05-09,90405.63968276978
2018-05-10,93379.9400138855
2018-05-11,94300.54916381836
2018-05-14,93886.33766174316
2018-05-15,92965.27935028076
2018-05-16,93810.00891494751
2018-05-17,93919.60585403442
2018-05-18,93854.76475143433
2018-05-21,94328.55561065674
2018-05-22,94265.46660614014
2018-05-23,94357.73467254639
2018-05-24,94430.05410003662
2018-05-25,94678.83611297607
2018-05-29,94785.86992645264
2018-05-30,95715.20949935913
2018-05-31,95076.280544281
2018-06-01,95937.52464294434
2018-06-04,95857.65483856201
2018-06-05,96020.58781814575
2018-06-06,97773.26235961914
2018-06-07,98351.35748672485
2018-06-08,98411.63339996338
2018-06-11,99041.77839660645
2018-06-12,99792.56100845337
2018-06-13,100256.09014511108
2018-06-14,100984.14347076416
2018-06-15,101153.51282119751
2018-06-18,100743.848361969
2018-06-19,100153.97291564941
2018-06-20,99965.93350982666
2018-06-21,99366.20648956299
2018-06-22,100306.38313770294
2018-06-25,98144.48778533936
2018-06-26,99219.28493976593
2018-06-27,95967.28376102448
2018-06-28,97429.96302700043
2018-06-29,98196.16739177704
2018-07-02,98847.04455471039
2018-07-03,97663.07190036774
2018-07-05,100059.63753223419
2018-07-06,100399.22413730621
2018-07-09,102668.29346370697
2018-07-10,102917.66910457611
2018-07-11,101888.7549200058
2018-07-12,101948.47605419159
2018-07-13,101627.21347522736
2018-07-16,101771.70196056366
2018-07-17,101740.39355182648
2018-07-18,102403.12544727325
2018-07-19,102134.91223621368
2018-07-20,101911.91059589386
2018-07-23,102458.93870258331
2018-07-24,102200.08182239532
2018-07-25,102216.62989902496
2018-07-26,102134.44373989105
2018-07-27,101764.81708431244
2018-07-30,101898.27378749847
2018-07-31,102934.20719051361
2018-08-01,102838.83794307709
2018-08-02,102823.39479351044
2018-08-03,103554.28308391571
2018-08-06,104171.89310741425
2018-08-07,104616.75725078583
2018-08-08,104108.43059825897
2018-08-09,103028.60416316986
2018-08-10,102607.95490169525
2018-08-13,103495.5995130539
2018-08-14,103698.2299413681
2018-08-15,101361.10918903351
2018-08-16,102533.52110004425
2018-08-17,103334.19532108307
2018-08-20,103873.19774341583
2018-08-21,105280.44579792023
2018-08-22,105878.77597522736
2018-08-23,104913.6863565445
2018-08-24,105771.67511463165
2018-08-27,106453.02615451813
2018-08-28,106264.94986820221
2018-08-29,106491.56466388702
2018-08-30,106313.67982959747
2018-08-31,106135.80412006378
2018-09-04,106224.74083423615
2018-09-05,105930.8900270462
2018-09-06,106226.28550434113
2018-09-07,105719.70437526703
2018-09-10,106123.4237241745
2018-09-11,106242.27487850189
2018-09-12,106680.24105739594
2018-09-13,105654.72590732574
2018-09-14,106206.12333774567
2018-09-17,105293.58612537384
2018-09-18,105766.95402622223
2018-09-19,108151.34375667572
2018-09-20,109234.2527513504
2018-09-21,108542.05875110626
2018-09-24,106382.36361217499
2018-09-25,105489.01529312134
2018-09-26,104236.71806049347
2018-09-27,103113.19688510895
2018-09-28,103386.9723482132
2018-10-01,103453.98436260223
2018-10-02,103757.43538951874
2018-10-03,102978.13163280487
2018-10-04,102297.23828029633
2018-10-05,100213.64291000366
2018-10-08,100320.11515426636
2018-10-09,98812.58003520966
2018-10-10,90659.42079639435
2018-10-11,87393.25255680084
2018-10-12,89379.96835422516
2018-10-15,88363.2653207779
2018-10-16,91916.04735279083
2018-10-17,91389.52734470367
