entry_time,exit_time,direction,r_multiple,exit_reason,initial_risk
2018-03-22 10:10:00-04:00,2018-03-22 10:30:00-04:00,1,-1.020433432236453,stop,3.287320871740576
2018-03-28 10:00:00-04:00,2018-03-28 10:10:00-04:00,1,-1.0158520285234105,stop,4.127874956090636
2018-04-03 09:45:00-04:00,2018-04-03 09:50:00-04:00,1,-1.0269527869636614,stop,2.4074759636955605
2018-04-04 09:50:00-04:00,2018-04-04 10:00:00-04:00,1,-1.0159627199471475,stop,4.043782756074052
2018-04-06 09:50:00-04:00,2018-04-06 10:05:00-04:00,1,-1.0182566334828715,stop,3.627187241975662
2018-04-09 09:50:00-04:00,2018-04-09 10:30:00-04:00,1,3.975732044046658,target,2.712823093944735
2018-04-11 09:45:00-04:00,2018-04-11 09:50:00-04:00,1,-1.0241084778303697,stop,2.7415611006890686
2018-04-12 09:45:00-04:00,2018-04-12 10:45:00-04:00,1,-1.0309831102000317,stop,2.1479353180288854
2018-04-16 10:25:00-04:00,2018-04-16 10:35:00-04:00,1,-1.0386375223196804,stop,1.7301230809089247
2018-04-24 09:45:00-04:00,2018-04-24 09:50:00-04:00,1,-1.0506815084103507,stop,1.3223830312149403
2018-04-26 09:55:00-04:00,2018-04-26 10:05:00-04:00,1,3.9581427973004226,target,1.5880112518143505
2018-04-30 09:45:00-04:00,2018-04-30 09:50:00-04:00,1,-1.0545038924267243,stop,1.2296403474806539
2018-05-01 09:55:00-04:00,2018-05-01 10:00:00-04:00,1,-1.0446203649147858,stop,1.480409050754588
2018-05-04 09:45:00-04:00,2018-05-04 10:25:00-04:00,1,3.9747759414132777,target,2.613068704842135
2018-05-07 09:45:00-04:00,2018-05-07 10:05:00-04:00,1,-1.0436832614681915,stop,1.5323401596583608
2018-05-09 09:50:00-04:00,2018-05-09 09:55:00-04:00,1,-1.0527893875115522,stop,1.2699839940255515
2018-05-29 09:50:00-04:00,2018-05-29 09:55:00-04:00,1,-1.0311202866837408,stop,2.170663599692489
2018-05-30 09:45:00-04:00,2018-05-30 09:50:00-04:00,1,-1.0386941900658586,stop,1.748446114266244
2018-06-01 09:45:00-04:00,2018-06-01 10:15:00-04:00,1,-1.044461221094469,stop,1.5325746431517473
2018-06-18 09:45:00-04:00,2018-06-18 10:00:00-04:00,1,-1.051346310325512,stop,1.3440571336204812
2018-06-19 09:45:00-04:00,2018-06-19 09:50:00-04:00,1,-1.0311056012132778,stop,2.2115207680926687
2018-06-26 10:15:00-04:00,2018-06-26 10:20:00-04:00,1,-1.0385542157915444,stop,1.766260720527498
2018-06-27 09:45:00-04:00,2018-06-27 10:35:00-04:00,1,3.9751312923030104,target,2.757752178362807
2018-06-29 10:00:00-04:00,2018-06-29 10:10:00-04:00,1,-1.0343815456911167,stop,1.9882397024939564
2018-07-02 09:55:00-04:00,2018-07-02 10:10:00-04:00,1,-1.037590496791698,stop,1.7980871349664085
2018-07-03 09:45:00-04:00,2018-07-03 09:50:00-04:00,1,-1.049905965980261,stop,1.3699606787290577
2018-08-01 10:10:00-04:00,2018-08-01 11:10:00-04:00,1,-1.0637781593835207,stop,1.105603768889523
2018-08-02 09:50:00-04:00,2018-08-02 10:15:00-04:00,1,3.9531651774022207,target,1.4987962339923797
2018-08-13 09:45:00-04:00,2018-08-13 09:50:00-04:00,1,-1.042605047484576,stop,1.6653980946580305
2018-08-14 09:45:00-04:00,2018-08-14 09:50:00-04:00,1,-1.0562145064507515,stop,1.2596309152058893
2018-08-16 10:00:00-04:00,2018-08-16 10:05:00-04:00,1,-1.0583396576407456,stop,1.2154791332445711
2018-09-06 09:45:00-04:00,2018-09-06 09:50:00-04:00,1,-1.052022657995584,stop,1.3881711303415614
2018-09-07 09:45:00-04:00,2018-09-07 10:10:00-04:00,1,3.9571268573866765,target,1.6785309769111336
2018-09-10 09:45:00-04:00,2018-09-10 09:50:00-04:00,1,-1.064084091851261,stop,1.1252468462048455
2018-09-11 09:45:00-04:00,2018-09-11 10:05:00-04:00,1,3.9452893398572244,target,1.314551856377875
2018-09-18 09:45:00-04:00,2018-09-18 09:50:00-04:00,1,-1.045900696809164,stop,1.5783334199068122
2018-09-27 09:45:00-04:00,2018-09-27 09:50:00-04:00,1,-1.0670432805780792,stop,1.0860733323379463
2018-10-08 09:45:00-04:00,2018-10-08 10:10:00-04:00,1,3.951439017282127,target,1.487094308959513
2018-10-11 09:50:00-04:00,2018-10-11 10:15:00-04:00,1,-1.0152146294796405,stop,4.566939439780526
2018-10-19 09:45:00-04:00,2018-10-19 10:05:00-04:00,1,3.9702874268539206,target,2.353847880761805
2018-11-06 09:45:00-05:00,2018-11-06 10:05:00-05:00,1,-1.0339347424740002,stop,2.0236745934198552
2018-11-13 09:45:00-05:00,2018-11-13 09:50:00-05:00,1,-1.0257829200424662,stop,2.6567799339759404
2018-11-30 09:45:00-05:00,2018-11-30 09:50:00-05:00,1,-1.0395696979524456,stop,1.7286641809432695
2018-12-28 09:45:00-05:00,2018-12-28 09:50:00-05:00,1,-1.0166835117179596,stop,3.7496347543788033
2019-01-14 09:45:00-05:00,2019-01-14 09:50:00-05:00,1,-1.0373788064477238,stop,1.7239786045356595
2019-01-15 09:45:00-05:00,2019-01-15 10:00:00-05:00,1,3.970454483898546,target,2.2052041156330233
2019-01-16 09:45:00-05:00,2019-01-16 10:30:00-05:00,1,-1.0416513112703853,stop,1.571117618687822
2019-01-17 09:45:00-05:00,2019-01-17 11:05:00-05:00,1,3.9622104528856315,target,1.7327982867650462
2019-01-21 12:05:00-05:00,2019-01-21 12:55:00-05:00,1,0.3809851898665854,session_end,1.2228074407903478
