date,equity
2024-08-01,100000.0
2024-08-02,102308.81320080678
2024-08-03,102308.81320080678
2024-08-04,102308.81320080678
2024-08-05,102308.81320080678
2024-08-06,102308.81320080678
2024-08-07,102308.81320080678
2024-08-08,102308.81320080678
2024-08-09,105221.26049395211
2024-08-10,105221.26049395211
2024-08-11,105221.26049395211
2024-08-12,105221.26049395211
2024-08-13,105221.26049395211
2024-08-14,111133.48713862197
2024-08-15,111133.48713862197
2024-08-16,111133.48713862197
2024-08-17,111133.48713862197
2024-08-18,111133.48713862197
2024-08-19,111133.48713862197
2024-08-20,111133.48713862197
2024-08-21,111133.48713862197
2024-08-22,111133.48713862197
2024-08-23,111133.48713862197
2024-08-24,111133.48713862197
2024-08-25,111133.48713862197
2024-08-26,111133.48713862197
2024-08-27,111133.48713862197
2024-08-28,111133.48713862197
2024-08-29,111133.48713862197
2024-08-30,109189.28337358806
2024-08-31,109189.28337358806
2024-09-01,105455.5298935207
2024-09-02,112147.38273447717
2024-09-03,116400.76160669938
2024-09-04,115675.77952368316
2024-09-05,115675.77952368316
2024-09-06,107873.32547542565
2024-09-07,107873.32547542565
2024-09-08,107873.32547542565
2024-09-09,107873.32547542565
2024-09-10,107873.32547542565
2024-09-11,107873.32547542565
2024-09-12,123976.6899939588
2024-09-13,123976.6899939588
2024-09-14,123976.6899939588
2024-09-15,123976.6899939588
2024-09-16,123976.6899939588
2024-09-17,123142.90583390549
2024-09-18,115245.4863446714
2024-09-19,115245.4863446714
2024-09-20,115245.4863446714
2024-09-21,115245.4863446714
2024-09-22,115245.4863446714
2024-09-23,115245.4863446714
2024-09-24,141375.15313925923
2024-09-25,141375.15313925923
2024-09-26,141375.15313925923
2024-09-27,143066.1685081305
2024-09-28,143066.1685081305
2024-09-29,143066.1685081305
2024-09-30,143066.1685081305
2024-10-01,143066.1685081305
2024-10-02,143066.1685081305
2024-10-03,143066.1685081305
2024-10-04,143066.1685081305
2024-10-05,143066.1685081305
2024-10-06,143066.1685081305
2024-10-07,135069.2023488727
2024-10-08,128072.33974890184
2024-10-09,128072.33974890184
2024-10-10,114985.4010477936
2024-10-11,108907.21134184382
2024-10-12,108907.21134184382
2024-10-13,108907.21134184382
2024-10-14,108907.21134184382
2024-10-15,105973.82442048617
2024-10-16,105973.82442048617
2024-10-17,130879.53440036665
2024-10-18,130879.53440036665
2024-10-19,130879.53440036665
2024-10-20,130879.53440036665
2024-10-21,130879.53440036665
2024-10-22,130879.53440036665
2024-10-23,130879.53440036665
2024-10-24,130879.53440036665
2024-10-25,130879.53440036665
2024-10-26,130879.53440036665
2024-10-27,130879.53440036665
2024-10-28,130879.53440036665
2024-10-29,140578.84828616166
2024-10-30,160367.75833656872
2024-10-31,160367.75833656872
2024-11-01,160367.75833656872
2024-11-02,160367.75833656872
2024-11-03,160367.75833656872
2024-11-04,160367.75833656872
2024-11-05,160367.75833656872
2024-11-06,198754.79311296792
2024-11-07,167289.3002921191
2024-11-08,167289.3002921191
2024-11-09,167289.3002921191
2024-11-10,167289.3002921191
2024-11-11,206026.97894396578
2024-11-12,206026.97894396578
2024-11-13,206026.97894396578
2024-11-14,206026.97894396578
2024-11-15,206026.97894396578
2024-11-16,206026.97894396578
2024-11-17,206026.97894396578
2024-11-18,206026.97894396578
2024-11-19,206026.97894396578
2024-11-20,223395.46506337685
2024-11-21,223395.46506337685
2024-11-22,223395.46506337685
2024-11-23,223395.46506337685
2024-11-24,223395.46506337685
2024-11-25,223395.46506337685
2024-11-26,223395.46506337685
2024-11-27,223395.46506337685
2024-11-28,223395.46506337685
2024-11-29,223395.46506337685
2024-11-30,223395.46506337685
2024-12-01,223395.46506337685
2024-12-02,223395.46506337685
2024-12-03,223395.46506337685
2024-12-04,223395.46506337685
2024-12-05,266320.12820851826
2024-12-06,266320.12820851826
2024-12-07,266320.12820851826
2024-12-08,266320.12820851826
2024-12-09,266320.12820851826
2024-12-10,266320.12820851826
2024-12-11,266320.12820851826
2024-12-12,266320.12820851826
2024-12-13,266320.12820851826
2024-12-14,266320.12820851826
2024-12-15,266320.12820851826
2024-12-16,266320.12820851826
2024-12-17,266320.12820851826
2024-12-18,287351.1658968029
2024-12-19,287351.1658968029
2024-12-20,287351.1658968029
2024-12-21,287351.1658968029
2024-12-22,287351.1658968029
2024-12-23,297003.6837708827
2024-12-24,271671.94338664855
2024-12-25,254706.31159005006
2024-12-26,254706.31159005006
2024-12-27,254706.31159005006
2024-12-28,254706.31159005006
2024-12-29,254706.31159005006
2024-12-30,254706.31159005006
2024-12-31,236370.07845959405
2025-01-01,224459.54186768172
2025-01-02,210744.00107632257
2025-01-03,210744.00107632257
2025-01-04,210744.00107632257
2025-01-05,210744.00107632257
2025-01-06,210744.00107632257
2025-01-07,210744.00107632257
2025-01-08,210744.00107632257
2025-01-09,210744.00107632257
2025-01-10,211967.52884595952
2025-01-11,211967.52884595952
2025-01-12,211967.52884595952
2025-01-13,211967.52884595952
2025-01-14,211967.52884595952
