date,equity
2017-08-17,100000.0
2017-08-18,100000.0
2017-08-19,100000.0
2017-08-20,100000.0
2017-08-21,100000.0
2017-08-22,100000.0
2017-08-23,100000.0
2017-08-24,100000.0
2017-08-25,100000.0
2017-08-26,100000.0
2017-08-27,100000.0
2017-08-28,100000.0
2017-08-29,100000.0
2017-08-30,100000.0
2017-08-31,100000.0
2017-09-01,100000.0
2017-09-02,100000.0
2017-09-03,100000.0
2017-09-04,100000.0
2017-09-05,100000.0
2017-09-06,100000.0
2017-09-07,100000.0
2017-09-08,100000.0
2017-09-09,100000.0
2017-09-10,100000.0
2017-09-11,100000.0
2017-09-12,100000.0
2017-09-13,100000.0
2017-09-14,100000.0
2017-09-15,100000.0
2017-09-16,100000.0
2017-09-17,100000.0
2017-09-18,100000.0
2017-09-19,100000.0
2017-09-20,100000.0
2017-09-21,100000.0
2017-09-22,100000.0
2017-09-23,100000.0
2017-09-24,100000.0
2017-09-25,100000.0
2017-09-26,100000.0
2017-09-27,100000.0
2017-09-28,100000.0
2017-09-29,100000.0
2017-09-30,100293.14089084764
2017-10-01,100293.09677302225
2017-10-02,100295.33207617568
2017-10-03,100192.39048358363
2017-10-04,100043.25752780135
2017-10-05,100166.55214384303
2017-10-06,100279.15554019692
2017-10-07,100358.56762591079
2017-10-08,100677.68656294611
2017-10-09,100893.7903776804
2017-10-10,100888.06976632064
2017-10-11,100944.49646500289
2017-10-12,101839.45596505629
2017-10-13,102162.95727274766
2017-10-14,102486.50269826445
2017-10-15,102251.20762948264
2017-10-16,102324.78145630236
2017-10-17,102082.10400473751
2017-10-18,101960.13292345776
2017-10-19,102212.83982732942
2017-10-20,102692.41529533213
2017-10-21,102714.41538426324
2017-10-22,102604.19435048076
2017-10-23,102554.06179488843
2017-10-24,101908.61800933634
2017-10-25,102221.79574588491
2017-10-26,102474.41441410579
2017-10-27,102337.73739102716
2017-10-28,102265.39886331855
2017-10-29,102927.66624628854
2017-10-30,102854.90124626776
2017-10-31,103358.57975287882
2017-11-01,103786.49324734214
2017-11-02,104177.67129919189
2017-11-03,104317.46598193189
2017-11-04,104673.42330317336
2017-11-05,104655.65852548034
2017-11-06,104089.6415315839
2017-11-07,104242.46567875768
2017-11-08,104593.87886398331
2017-11-09,104265.92165592687
2017-11-10,103423.25648491022
2017-11-11,103038.06375137261
2017-11-12,102399.79646541836
2017-11-13,103362.97682947668
2017-11-14,103523.27159508428
2017-11-15,104501.31966630126
2017-11-16,105419.61749598947
2017-11-17,105176.51357211247
2017-11-18,105268.79335690034
2017-11-19,105674.76558619973
2017-11-20,105930.64897349995
2017-11-21,105794.63371780227
2017-11-22,105921.70776088625
2017-11-23,105648.28018501999
2017-11-24,105821.82500418837
2017-11-25,106648.31363922627
2017-11-26,107277.7426541594
2017-11-27,108045.36340417645
2017-11-28,108408.30604777238
2017-11-29,108101.06951171054
2017-11-30,108323.24688040777
2017-12-01,109711.53190404583
2017-12-02,109868.91489317725
2017-12-03,110273.91653031795
2017-12-04,110882.13957717712
2017-12-05,111060.06676700155
2017-12-06,113780.754235442
2017-12-07,118264.52236020632
2017-12-08,117207.16514486808
2017-12-09,115407.26081027984
2017-12-10,115765.9534366959
2017-12-11,118248.30170640217
2017-12-12,117898.32970347283
2017-12-13,117432.59252670285
2017-12-14,117876.25608483274
2017-12-15,119648.10148246874
2017-12-16,121946.39018462044
2017-12-17,121589.56521281283
2017-12-18,121584.02107275467
2017-12-19,119288.35002824315
2017-12-20,118102.72758853523
2017-12-21,116637.5157833473
2017-12-22,113452.1646718882
2017-12-23,113413.03216076143
2017-12-24,113707.1509967387
2017-12-25,114000.29924055721
2017-12-26,116926.29636245158
2017-12-27,116589.50088337403
2017-12-28,114710.25799278093
2017-12-29,114999.65622144076
2017-12-30,112148.33587200101
2017-12-31,111990.60714617789
