date,final_equity,current_dd,n_trades,kill_switch_active
2026-08-20T06:47:12.444696-04:00,102048.40,-0.0316,32,False
2026-08-26T16:56:29.326304-04:00,101379.34,-0.0316,33,False
2026-08-26T17:56:30.227166-04:00,101379.34,-0.0316,33,False
2026-08-26T21:24:44.905239-04:00,101379.34,-0.0316,33,False
2026-08-26T22:56:28.887167-04:00,101379.34,-0.0316,33,False
2026-08-27T03:36:17.986598-04:00,101379.34,-0.0316,33,False
2026-08-27T04:56:26.145829-04:00,101379.34,-0.0316,33,False
2026-08-27T05:56:24.726029-04:00,101379.34,-0.0316,33,False
2026-08-27T06:56:25.390831-04:00,101379.34,-0.0316,33,False
2026-08-27T07:56:25.484065-04:00,101379.34,-0.0316,33,False
2026-08-27T08:56:26.301326-04:00,101379.34,-0.0316,33,False
2026-08-27T09:56:25.508485-04:00,101379.34,-0.0316,33,False
2026-08-27T10:56:25.590627-04:00,101379.34,-0.0316,33,False
2026-08-27T11:56:25.855845-04:00,101379.34,-0.0316,33,False
2026-08-27T12:56:25.491120-04:00,101379.34,-0.0316,33,False
2026-08-27T13:56:25.660722-04:00,101379.34,-0.0316,33,False
2026-08-27T14:56:26.140303-04:00,101379.34,-0.0316,33,False
2026-08-27T15:56:25.573145-04:00,101379.34,-0.0316,33,False
2026-08-27T16:56:26.645194-04:00,101379.34,-0.0316,33,False
2026-08-28T00:50:29.722642-04:00,101379.34,-0.0316,33,False
2026-08-28T01:56:25.374006-04:00,101379.34,-0.0316,33,False
2026-08-28T02:56:25.402713-04:00,101379.34,-0.0316,33,False
2026-08-28T03:56:25.495888-04:00,101379.34,-0.0316,33,False
2026-08-28T04:56:25.552394-04:00,101379.34,-0.0316,33,False
2026-08-28T05:56:25.280389-04:00,101379.34,-0.0316,33,False
2026-08-28T06:56:25.422353-04:00,101379.34,-0.0316,33,False
2026-08-28T07:56:25.188766-04:00,101379.34,-0.0316,33,False
2026-08-28T16:43:56.037001-04:00,100369.86,-0.0413,40,False
2026-08-29T01:24:24.549686-04:00,100306.75,-0.0419,40,False
2026-08-29T02:56:26.036299-04:00,100306.75,-0.0419,40,False
2026-08-30T19:15:45.683438-04:00,100376.11,-0.0412,40,False
2026-08-30T21:13:03.592839-04:00,100376.11,-0.0412,40,False
2026-08-31T09:24:27.004457-04:00,99433.64,-0.0443,41,False
2026-08-31T10:56:24.936611-04:00,99433.64,-0.0443,41,False
