date,account,signals_scanned,orders_sent,orders_skipped,orders_error,symbols_sent,baseline_equity,current_equity,floating_pnl,daily_pnl_pct,open_positions,drawdown_halted,connection_error,hourly_breakdown
2026-08-02,Konto 3 (Tickmill),0,0,0,0,,,3470.96,7.42,,TROW(-5.83); AAPL(+13.25),False,,"[{""time"": ""20:37"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-03,Konto 1 (TTP),20,3,14,0,MAR;LLY;D,100556.08,100578.45,745.8199999999999,0.0002224629281491019,CAH(+412.65); LUV(+88.20); AMD(+234.29); UPS(-16.80); ADI(-12.54); CAT(+15.16); WM(-18.09); TROW(+32.24); AAPL(+54.36); MAR(+13.05); LLY(-1.92); D(-54.78),False,,"[{""time"": ""20:35"", ""signals_scanned"": 10, ""sent"": 3, ""sent_symbols"": [""MAR"", ""LLY"", ""D""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:35"", ""signals_scanned"": 10, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-03,"Konto 2 (TTP, Demo)",20,3,14,0,MAR;LLY;D,100002.27,100002.23,17.95000000000001,-3.9999092028760016e-07,ADI(-130.00); LUV(+86.18); UPS(+44.88); TROW(+28.52); AAPL(+30.36); MAR(+13.05); LLY(-1.92); D(-53.12),False,,"[{""time"": ""20:35"", ""signals_scanned"": 10, ""sent"": 3, ""sent_symbols"": [""MAR"", ""LLY"", ""D""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:35"", ""signals_scanned"": 10, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-03,Konto 3 (Tickmill),20,2,15,1,MAR;D,3471.46,3472.65,9.11,0.00034279525041338644,TROW(+6.46); AAPL(+5.06); MAR(+1.63); D(-5.39); LLY(+1.35),False,,"[{""time"": ""20:35"", ""signals_scanned"": 10, ""sent"": 2, ""sent_symbols"": [""MAR"", ""D""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 1, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:35"", ""signals_scanned"": 10, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 8, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-04,Konto 1 (TTP),49,4,40,0,CMI;APD;ROK;UNH,100888.36,101804.18,1981.9,0.009077558600417257,CAH(+332.50); LUV(+166.95); AMD(+536.34); UPS(+35.28); ADI(+195.47); CAT(+124.04); WM(-38.34); TROW(+114.08); AAPL(+114.96); MAR(-49.80); LLY(-10.24); D(+107.90); CMI(+157.00); APD(+174.72); ROK(+23.70); UNH(-2.66),False,,"[{""time"": ""15:44"", ""signals_scanned"": 12, ""sent"": 2, ""sent_symbols"": [""CMI"", ""APD""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""17:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:35"", ""signals_scanned"": 7, ""sent"": 1, ""sent_symbols"": [""ROK""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 6, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:37"", ""signals_scanned"": 6, ""sent"": 1, ""sent_symbols"": [""UNH""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 4, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-04,"Konto 2 (TTP, Demo)",49,4,40,1,APD;CMI;ROK;UNH,100147.91,100969.12,992.4200000000001,0.008199971422269239,ADI(+115.83); LUV(+194.68); UPS(+140.36); TROW(+110.36); AAPL(+85.91); MAR(-49.80); LLY(-10.24); D(+109.56); APD(+170.24); CMI(+104.48); ROK(+23.70); UNH(-2.66),False,,"[{""time"": ""15:44"", ""signals_scanned"": 12, ""sent"": 1, ""sent_symbols"": [""APD""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 1, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:35"", ""signals_scanned"": 12, ""sent"": 1, ""sent_symbols"": [""CMI""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""17:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:35"", ""signals_scanned"": 7, ""sent"": 1, ""sent_symbols"": [""ROK""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 6, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:37"", ""signals_scanned"": 6, ""sent"": 1, ""sent_symbols"": [""UNH""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 4, ""error"": 0, ""be_moved"": 2, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-04,Konto 3 (Tickmill),49,4,39,0,CMI;APD;ROK;UNH,3472.64,3573.02,110.29,0.028905962034648024,TROW(+20.19); AAPL(+13.80); MAR(-5.64); D(+14.16); LLY(-0.56); CMI(+27.27); APD(+39.28); ROK(+6.04); UNH(-4.25),False,,"[{""time"": ""15:44"", ""signals_scanned"": 12, ""sent"": 2, ""sent_symbols"": [""CMI"", ""APD""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""17:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:35"", ""signals_scanned"": 7, ""sent"": 2, ""sent_symbols"": [""ROK"", ""UNH""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 5, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:37"", ""signals_scanned"": 6, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 4, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-05,Konto 1 (TTP),24,1,21,0,CVS,102546.78,102559.13,1817.94,0.00012043284050465379,LUV(+184.50); AMD(+229.25); UPS(+12.24); ADI(+184.14); CAT(+121.34); WM(-72.63); TROW(+164.92); AAPL(+110.52); MAR(+193.50); D(-71.38); CMI(+263.60); APD(+250.77); ROK(+147.15); UNH(+81.32); CVS(+18.70),False,,"[{""time"": ""20:21"", ""signals_scanned"": 8, ""sent"": 1, ""sent_symbols"": [""CVS""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 4, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:35"", ""signals_scanned"": 8, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:35"", ""signals_scanned"": 8, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-05,"Konto 2 (TTP, Demo)",24,1,21,0,CVS,101754.02,101799.84,1467.17,0.0004503016195329917,ADI(+102.44); LUV(+218.86); UPS(+98.12); TROW(+161.20); AAPL(+81.84); MAR(+193.50); D(-69.72); APD(+244.34); CMI(+189.76); ROK(+147.15); UNH(+81.32); CVS(+18.36),False,,"[{""time"": ""20:21"", ""signals_scanned"": 8, ""sent"": 1, ""sent_symbols"": [""CVS""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 3, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:35"", ""signals_scanned"": 8, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:35"", ""signals_scanned"": 8, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-05,Konto 3 (Tickmill),24,1,21,0,CVS,3753.89,3755.15,167.77,0.0003356518171817017,TROW(+28.68); AAPL(+13.14); MAR(+22.46); D(-7.57); APD(+56.10); ROK(+34.53); UNH(+14.89); CVS(+5.54),False,,"[{""time"": ""20:21"", ""signals_scanned"": 8, ""sent"": 1, ""sent_symbols"": [""CVS""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 3, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:35"", ""signals_scanned"": 8, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:35"", ""signals_scanned"": 8, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 7, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-06,Konto 1 (TTP),28,1,25,0,D,101924.32,101315.15,862.11,-0.005976689371094286,LUV(+96.75); AMD(+290.01); UPS(-99.60); ADI(+156.31); CAT(+78.76); WM(+50.76); TROW(+60.76); AAPL(+145.44); MAR(+170.85); CMI(+192.45); UNH(-132.43); CVS(-147.95),False,,"[{""time"": ""15:38"", ""signals_scanned"": 4, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 4, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:37"", ""signals_scanned"": 4, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 4, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""17:38"", ""signals_scanned"": 4, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 4, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""18:35"", ""signals_scanned"": 4, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 4, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""19:35"", ""signals_scanned"": 4, ""sent"": 1, ""sent_symbols"": [""D""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 3, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:35"", ""signals_scanned"": 4, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 3, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:35"", ""signals_scanned"": 4, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 3, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
