R,reason,days,d0,ticker,market,year
-1.0,SL,2,2018-09-04,EXPE,sp500,2018
0.0,BE,3,2018-09-12,JPM,sp500,2018
0.42104878454971373,MaxHold,10,2018-09-06,FLEX,sp500,2018
0.0,BE,5,2018-09-07,AMT,sp500,2018
-1.0,SL,10,2018-09-12,WFC,sp500,2018
-1.0,SL,3,2018-09-21,LEN,sp500,2018
0.0,BE,2,2018-09-24,REG,sp500,2018
-1.0,SL,8,2018-09-24,SPG,sp500,2018
0.0,BE,4,2018-09-26,AMT,sp500,2018
0.0,BE,3,2018-09-27,COF,sp500,2018
-1.0,SL,2,2018-10-04,ADI,sp500,2018
0.0,BE,6,2018-10-03,PEP,sp500,2018
-1.0,SL,8,2018-10-10,APD,sp500,2018
-0.8572896007161339,MaxHold,10,2018-10-10,ACN,sp500,2018
-0.08060300752673569,BE,3,2018-10-10,AXP,sp500,2018
-1.0,SL,9,2018-10-17,IBM,sp500,2018
-0.4663288354300557,MaxHold,10,2018-11-08,QCOM,sp500,2018
-0.3527856986816376,MaxHold,10,2018-12-03,WBD,sp500,2018
1.499999999999998,TP,6,2019-02-07,EOG,sp500,2019
0.8122555169434609,MaxHold,10,2019-02-14,AIG,sp500,2019
-0.1395910833818221,MaxHold,10,2019-02-14,KO,sp500,2019
-1.0,SL,1,2019-03-01,UAL,sp500,2019
-1.0,SL,6,2019-03-04,UAL,sp500,2019
-0.15029844975574758,MaxHold,10,2019-03-01,SPG,sp500,2019
0.2026354620092022,MaxHold,10,2019-03-06,CAH,sp500,2019
1.5,TP,7,2019-03-07,AMGN,sp500,2019
0.0,BE,9,2019-03-12,EXPE,sp500,2019
-0.017222950745209038,BE,5,2019-03-13,WBD,sp500,2019
1.4999999999999978,TP,7,2019-03-22,COF,sp500,2019
1.2397814245882255,MaxHold,10,2019-03-22,CF,sp500,2019
1.1817894683045818,MaxHold,10,2019-03-22,C,sp500,2019
0.0,BE,10,2019-03-26,CCL,sp500,2019
1.0628691691873806,MaxHold,10,2019-03-28,ADI,sp500,2019
1.5,TP,3,2019-04-11,QCOM,sp500,2019
-1.0,SL,4,2019-04-11,MRK,sp500,2019
-1.0,SL,3,2019-04-12,LLY,sp500,2019
-1.0411071637796818,SL,6,2019-04-15,OXY,sp500,2019
-1.0,SL,1,2019-04-16,DHR,sp500,2019
-1.0,SL,9,2019-04-17,AMGN,sp500,2019
1.2816195552049292,MaxHold,10,2019-04-17,CAH,sp500,2019
-0.5552301376256132,MaxHold,10,2019-04-23,NEM,sp500,2019
-1.0,SL,4,2019-05-02,DD,sp500,2019
0.0,BE,2,2019-05-08,ADI,sp500,2019
-0.3433486271049462,MaxHold,10,2019-05-01,XOM,sp500,2019
