universe,rr_ratio,final_equity,sharpe,calmar,mdd,win_rate,n_trades
sp500,1.5,346152.42661619186,0.7487297377651684,0.5061894001999531,-38.43909442961855,46.68071654373024,1898
sp500,1.75,345915.33396434784,0.7439235163626068,0.5019758532988488,-38.73840410509665,46.63487016428193,1887
sp500,2.0,386279.9882836342,0.8154939135327454,0.5611802953825902,-38.04179913131968,46.733935209771644,1883
sp500,2.25,379446.89180755615,0.8019000041166453,0.5554433019150495,-37.87713401948697,46.702127659574465,1880
sp500,2.5,377163.0652151108,0.7970278757992812,0.5525653358933795,-37.88515049645782,46.702127659574465,1880
sp500,3.0,372530.476149559,0.788390406127392,0.548197707810037,-37.796967714667375,46.74840085287846,1876
sp500,4.0,377599.5212984085,0.7970518130665623,0.5543587000734157,-37.79871890683006,46.7982924226254,1874
sp500,no_TP,380589.6617279053,0.8023812903759115,0.557974652532502,-37.79871890683006,46.819882415820416,1871
nasdaq100,1.5,352509.7453227043,0.7218295670781405,0.6186138935547393,-31.957166375078305,47.889701744513225,1777
nasdaq100,1.75,372806.6315536499,0.7530252247134662,0.6385089372377885,-32.47099460266754,47.82853919909758,1773
nasdaq100,2.0,365920.6564464569,0.7405487028865037,0.6427125110464582,-31.757848740081982,47.79661016949153,1770
nasdaq100,2.25,365694.89525413513,0.7384058466753143,0.6356760675865278,-32.09264590833221,47.794117647058826,1768
nasdaq100,2.5,367009.3654193878,0.7393348207306882,0.6230206850600226,-32.84384847296404,47.90723981900452,1768
nasdaq100,3.0,370790.2255077362,0.7448621036649418,0.6461454454411599,-31.94219464646977,47.90486976217441,1766
nasdaq100,4.0,365601.9918613434,0.7361205943112606,0.6366690693737945,-32.03571197255612,47.87052810902896,1761
nasdaq100,no_TP,394058.5575489998,0.7815974836646248,0.663970470965466,-32.674957268832586,47.92731402612152,1761
