market,max_hold,final_equity,sharpe,calmar,mdd,win_rate,n_trades,avg_days_held
sp500,3,152795.25201034546,0.6659214057357565,0.3590405452711151,-17.42947770778317,54.53446191051995,827,2.9600967351874243
sp500,5,187775.86146068573,0.8273858104112389,0.5534119534479853,-17.05970903012749,55.342465753424655,730,4.761643835616439
sp500,7,197924.95152282715,0.7855106426598915,0.5434633538149476,-18.89550227605935,53.84615384615385,715,6.404195804195804
sp500,10,250031.20832395554,0.9520824194474754,0.6201818930362267,-22.608175798408446,50.36075036075036,693,8.565656565656566
sp500,15,257376.89845752716,0.875307889487657,0.5955314883421432,-24.339414898703904,45.851528384279476,687,11.640465793304221
sp500,20,275603.3997220993,0.8775508947183089,0.5693522271518834,-27.43832478330013,37.91044776119403,670,14.149253731343284
sp500,30,224548.65062618256,0.6451675828932376,0.4404037164206907,-27.882840438606983,31.27962085308057,633,18.24960505529226
nasdaq100,3,141089.54423475266,0.7615045850067332,0.6952521907030412,-7.26664256345172,57.89473684210527,570,2.943859649122807
nasdaq100,5,155031.77395534515,0.791507851482592,0.8406607116398369,-7.707272511322882,52.37154150197628,506,4.703557312252965
nasdaq100,7,147493.64612150192,0.5839651157451753,0.40583387532247495,-14.099304760249732,49.796747967479675,492,6.288617886178862
nasdaq100,10,180262.93815422058,0.7883815275788871,0.5487955926484163,-16.040708499396285,48.01670146137787,479,8.379958246346556
nasdaq100,15,188007.8768134117,0.7496725471097869,0.5354300957012534,-17.668783479135374,41.719077568134175,477,11.343815513626835
nasdaq100,20,243033.00227355957,0.9902956017178488,0.7369703034452292,-18.397835101364613,40.12605042016807,476,13.869747899159664
nasdaq100,30,279057.9063024521,1.047314134816839,0.8042209554815338,-19.681744469497996,35.775862068965516,464,18.314655172413794
dax,3,106294.68931341171,0.18274541618041443,0.07720644152316997,-11.160462352357293,50.98039215686274,357,2.9607843137254903
dax,5,105275.94923830032,0.12519749827638624,0.04344296613559165,-16.69394818915263,49.681528662420384,314,4.722929936305732
dax,7,106027.58101463318,0.12663076473788948,0.04478669597066987,-18.442948758401435,48.52459016393443,305,6.304918032786885
dax,10,115382.20074129105,0.28167654863764474,0.12675400093124328,-16.02548821949956,49.34210526315789,304,8.417763157894736
dax,15,127289.88788366318,0.41352726156456177,0.18219786360754572,-18.932750130136156,42.244224422442244,303,11.471947194719473
dax,20,132916.92401456833,0.44393963398786196,0.16361677937176497,-24.938516639890306,37.2093023255814,301,13.990033222591363
dax,30,141696.99929761887,0.4729770592716424,0.20195576695783277,-24.85837309331712,30.44982698961938,289,18.069204152249135
