R,reason,days,d0,ticker,market,year
-1.0179205682909969,SL,2,2018-01-10,AMT,sp500,2018
-0.444983482910305,MaxHold,10,2018-01-03,D,sp500,2018
1.256592918133194,TP,5,2018-01-11,PEP,sp500,2018
-0.4362005330191693,MaxHold,10,2018-01-09,REG,sp500,2018
0.9079548570587592,MaxHold,10,2018-01-12,AFL,sp500,2018
-0.0281609001579951,BE,6,2018-01-17,CF,sp500,2018
-1.0492342707490494,SL,7,2018-01-24,PG,sp500,2018
-0.10888939313556124,BE,4,2018-01-29,DHI,sp500,2018
-1.0220559672077942,SL,3,2018-01-31,IVZ,sp500,2018
-0.20894953160309482,BE,3,2018-01-31,LLY,sp500,2018
1.391938339275135,TP,2,2018-02-05,ACN,sp500,2018
-0.03847803783500286,BE,3,2018-02-05,APD,sp500,2018
-0.048495081731887754,BE,3,2018-02-05,AXP,sp500,2018
-0.17128248053594497,MaxHold,10,2018-01-31,LEN,sp500,2018
-1.0124964219745194,SL,3,2018-02-06,COF,sp500,2018
0.92599391528057,MaxHold,10,2018-02-08,ACN,sp500,2018
0.7336168784590269,MaxHold,10,2018-02-08,AFL,sp500,2018
0.05971531122366869,MaxHold,10,2018-02-14,EXPE,sp500,2018
0.00903995313844139,MaxHold,10,2018-02-26,GIS,sp500,2018
0.42966531071417796,MaxHold,10,2018-02-28,DHI,sp500,2018
0.37669802233461924,MaxHold,10,2018-03-02,CCL,sp500,2018
-1.0339684522713724,SL,3,2018-03-15,D,sp500,2018
0.26652578869058596,MaxHold,10,2018-03-08,OXY,sp500,2018
-1.0223177760666902,SL,8,2018-03-13,QCOM,sp500,2018
-0.34899490105812103,MaxHold,10,2018-03-15,CF,sp500,2018
1.4460282463784264,TP,2,2018-04-03,LEN,sp500,2018
-0.22006451713921607,MaxHold,10,2018-03-21,CAH,sp500,2018
-0.41906887442993823,MaxHold,10,2018-03-22,ACN,sp500,2018
0.1545862580954803,MaxHold,10,2018-03-27,C,sp500,2018
