label,n_trades,win_rate,avg_win_r,avg_loss_r,payoff_ratio_b,kelly_f,half_kelly_f,quarter_kelly_f,used_risk_pct
Gesamt (2018-2026),204,0.38235294117647056,2.4809424916800618,-1.0565076562488038,2.3482484741178333,0.11932836535701391,0.059664182678506955,0.029832091339253478,0.01
In-Sample (2018-12/2022-06),85,0.32941176470588235,2.6315541411825856,-1.061607874801934,2.478838188416377,0.05888654913199781,0.029443274565998906,0.014721637282999453,0.01
Out-of-Sample (2022-06/2026-08),119,0.42016806722689076,2.396599967958648,-1.0522944322266532,2.277499428451262,0.1655765948736333,0.08278829743681665,0.041394148718408325,0.01
  davon Continuation,132,0.2878787878787879,3.718115868433159,-1.0684934458081206,3.4797741465050187,0.08323297405881758,0.04161648702940879,0.020808243514704394,0.01
  davon Reversal,72,0.5555555555555556,1.3056277837646184,-1.021299399418312,1.2783986600875783,0.20789839795653464,0.10394919897826732,0.05197459948913366,0.01
