Variante,Kosten,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),P(Ø R<0)%,PnL $,CAGR %,Sharpe,MaxDD %,Calmar,Hebel max
EK (SL neu verankert),0.5,152,43.42105263157895,1.424935132586691,0.2549331635481604,0.27049875579245436,0.2442102000020913,2.725,21312.412472626213,2.6593352188283514,0.6532633050711905,-5.567539880713001,0.47764996314454533,10.999999999996326
Funded/FK (absoluter SL),0.5,147,49.65986394557823,1.6838466669994443,0.3571468016705965,0.24149579252670098,0.43917833141219664,0.36,28875.318915067724,3.506221995479919,0.8897045684883836,-5.868266246722187,0.5974885678437605,99.9999999997486
EK (SL neu verankert),1.0,152,44.07894736842105,1.3438816204740982,0.21548413145636702,0.19362966843985063,0.2305394282010783,5.6000000000000005,18014.47338975228,2.2756713509704873,0.5511144037047642,-6.913040389166369,0.32918531107336785,10.999999999996326
Funded/FK (absoluter SL),1.0,147,49.65986394557823,1.5485321395355438,0.2949440924351205,0.17587935343583644,0.3793969887020545,1.205,23846.229873379496,2.948029765311788,0.7648627834887168,-6.526781019581895,0.451682039962272,68.74999999974042
EK (SL neu verankert),1.5,152,44.07894736842105,1.2254871488138082,0.1488957557038011,0.11676058108780868,0.17103332043926256,13.525,12447.685176837773,1.6065206749452665,0.3849112562896546,-8.34671005969284,0.19247352111861743,10.999999999996326
Funded/FK (absoluter SL),1.5,147,49.65986394557823,1.4307424202547476,0.23749452441891422,0.11527881398555084,0.32418241205188125,3.11,19201.43229926921,2.4148106182449336,0.6390086698743941,-7.138564732985852,0.3382767697106655,52.38095238083076
EK (SL neu verankert),2.05,152,45.39473684210527,1.1833026773821451,0.12486740333208916,0.11523691534272842,0.13150173950253768,18.060000000000002,10438.914918562656,1.3580159557868399,0.3251703491597007,-9.421179162385451,0.14414500906731392,10.999999999996326
Funded/FK (absoluter SL),2.05,147,49.65986394557823,1.3164712196542032,0.178791241920146,0.05358432236704868,0.2676008011380406,7.675,14455.271909243798,1.851075266022395,0.49894756141255864,-7.767155096000222,0.23832088366249124,41.509433962235676
