Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel p90
adr_period=5,adr_mult=0.35,152,48.68421052631579,1.4993728134493092,0.319320706842145,0.2804726697556525,0.3460826879461732,12134.18686000151,-2.6852754469941287,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=5,adr_mult=0.5,152,37.5,1.3664393136399937,0.2843480154645308,0.16727738870682649,0.36499666945317155,10805.224587652174,-2.881374426534944,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=5,adr_mult=0.75,152,28.94736842105263,1.4834127852432828,0.4245313133152571,0.4431988946255976,0.41167142396813367,16132.189905979767,-2.6832897818892865,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=10,adr_mult=0.35,152,47.36842105263158,1.4050701022077585,0.26631492628085607,0.22027482127724993,0.29803144306111806,10119.96719867253,-3.1862430440255496,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=10,adr_mult=0.5,152,35.526315789473685,1.2659572739515825,0.21283634106759938,0.135401154757504,0.26618058052566507,8087.780960568777,-2.877829277970989,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=10,adr_mult=0.75,152,28.94736842105263,1.471571799690211,0.41409713686567984,0.4446568960736641,0.39304485830017966,15735.691200895835,-2.9003868678968203,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=14,adr_mult=0.35,152,48.026315789473685,1.5198718052704343,0.33662654483884624,0.2794165989076224,0.3760378409248005,12791.808703876159,-3.0983578689858904,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=14,adr_mult=0.5,152,36.18421052631579,1.342307952089975,0.27145995219073127,0.22456117134245393,0.3037680012195444,10315.478183247784,-2.700156544221455,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=14,adr_mult=0.75,152,29.605263157894736,1.6357162070229445,0.5527473568741347,0.6435709203072753,0.49018001317574894,21004.399561217113,-3.064591185652654,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=20,adr_mult=0.35,152,48.026315789473685,1.4538939791033614,0.2950355998235197,0.23540988018872044,0.3361110955719369,11211.352793293747,-3.2124915918650965,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=20,adr_mult=0.5,152,36.8421052631579,1.3570131461281267,0.28054263600228996,0.2725240918356417,0.2860665219837587,10660.620168087018,-2.2819615208983346,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=20,adr_mult=0.75,152,30.263157894736842,1.6560019867598803,0.5657638335858655,0.664785422738883,0.49754896105823104,21499.025676262885,-3.1613866000511415,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=30,adr_mult=0.35,152,48.68421052631579,1.5213763072314193,0.3345366070279593,0.3261617403196214,0.34030595964925864,12712.391067062454,-2.791368094836111,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=30,adr_mult=0.5,152,35.526315789473685,1.3241062972145106,0.2592782974080187,0.29398044708411003,0.23537237207560016,9852.575301504708,-2.4848074422175404,8.900000000000574,5.5000000000005045,4.545454545454128
adr_period=30,adr_mult=0.75,152,29.605263157894736,1.6126419643413827,0.5335213776210082,0.6074543678781513,0.4825897621105316,20273.81234959831,-3.0421096361159194,8.900000000000574,5.5000000000005045,4.545454545454128
