split,baseline_n_is,baseline_avg_r_is,baseline_n_oos,baseline_avg_r_oos,filter_n_is,filter_avg_r_is,filter_n_oos,filter_avg_r_oos,both_beat
2020-06-01,24,0.4690436988775044,179,0.3480551896866827,12,0.43959197080976425,115,0.4021136516732234,False
2021-06-01,54,0.35314508910983133,149,0.3656986101680901,32,0.4890959590245656,93,0.374119328150361,True
2022-06-01,84,0.23578934412634722,119,0.4517027127761609,49,0.3087820340257645,71,0.4314775962016898,False
2023-06-01,112,0.2587997195445094,91,0.48981713338451927,68,0.35688606196958383,59,0.4353274249390699,False
2024-06-01,142,0.20122887983840854,61,0.737449619506923,86,0.2163706705649434,36,0.86701440034751,True
