Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel med,Hebel p90,Hebel max
TP adr 0.75 | Boden 5p,IQ,152,29.605263157894736,1.7867995946438184,0.6364611527156256,0.7439376776311051,0.5624217688849618,24185.523803193773,-2.664718895206253,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.75 | Boden 6p,IQ,122,31.9672131147541,1.8919468797652854,0.6808200370957356,0.9818956444250966,0.5284237420277873,20765.01113141994,-3.000044761139131,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP 3R fix | Boden 5p,IQ,152,39.473684210526315,1.629688486853311,0.43384345562919696,0.30990192171397496,0.5192254012152386,16486.051313909484,-2.8497231029621317,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.35 (Ist) | Boden 5p,IQ,152,48.026315789473685,1.6996704533188722,0.4203403406803372,0.3797833562314524,0.44827959663401346,15972.932945852814,-2.4946998012539523,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 2R fix | Boden 5p,IQ,152,44.078947368421055,1.2791475751475652,0.17726450826077586,0.22925676042365228,0.14144762343746095,6736.051313909483,-2.9997314238705775,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.35 (Ist) | kein Boden,IQ,207,39.61352657004831,1.2769139981945525,0.20553309628699606,0.0717796144707189,0.2968769375273806,10636.337732852047,-5.804911923405598,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
