label,n,win_rate,avg_r,profit_factor,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos,sharpe,calmar,max_drawdown_pct,group
Fraktal (Baseline),134,30.597014925373134,0.3899826045170916,1.525289283200998,26128.834502645128,64,0.08958070655363037,70,0.664635768369399,0.5697474152080834,0.22745559932208653,-9.245022605779385,continuation_only
Breakout-Stop (neu),150,16.0,-0.0967477682718674,0.8934817702248781,-7256.082620390059,58,-0.18277895166000152,92,-0.04251071787500039,-0.12700702596908744,-0.03914887267771217,-17.191417636380013,continuation_only
Fraktal (Baseline),203,39.90147783251231,0.36235924988658286,1.5695108501332324,36779.463863488156,84,0.23578934412634722,119,0.4517027127761609,0.758407216375787,0.38691869695260417,-7.3595719545032185,full
Breakout-Stop (neu),219,29.22374429223744,0.031000426853451737,1.0409180867668402,3394.546740452969,78,0.04451231398590684,141,0.023525765886561693,0.0890029347894795,0.0222155617972624,-13.491033128554065,full
