window,threshold,n,avg_r,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos
asia,0.4,160,0.20506045931717617,16404.836745374094,73,0.08484258677375535,87,0.30593292708349473
asia,0.5,167,0.19156539670453226,15995.710624828444,74,0.20024555566182334,93,0.18465860355572006
asia,0.6,167,0.09908924212112385,8273.951717113843,67,0.05472144574968665,100,0.12881566568998679
settle,0.4,177,0.22754629749321273,20137.84732814932,79,0.08570729097449192,98,0.34188590478891634
settle,0.5,195,0.19498611419203915,19011.146133723814,85,0.0012417700355333927,110,0.3446976528584299
settle,0.6,242,0.20145308437990533,24375.82320996854,95,0.03547520899308274,147,0.3087176977251308
day_start,0.4,160,0.27536721924753166,22029.377539802532,75,0.06816078622816124,85,0.4581964248528586
day_start,0.5,186,0.2549715596257731,23712.3550451969,81,0.0625820731056607,105,0.4033863063698599
day_start,0.6,254,0.14327273309401964,18195.63710294049,95,0.03694488970195112,159,0.20680194769934362
