label,n,win_rate,avg_r,profit_factor,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos,sharpe,calmar,max_drawdown_pct,asia_range
Standard 00:00-06:00,119,30.252100840336134,-0.020757579335766347,0.971298874926379,-1235.0759704780962,57,0.20710826696550208,62,-0.23024714770951316,-0.02382393745174331,-0.010248952340140683,-10.864452060100282,00-06
Verschoben 04:00-08:00,129,29.457364341085274,-0.0020995246757142573,0.9971467198124461,-135.41934158356923,60,0.07511988753521667,69,-0.06924683964174116,0.011700559995085257,-0.0013463471513636123,-9.022589179519757,04-08
