label,n,win_rate,avg_r,profit_factor,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos,sma_h1,sma_m15
Baseline (compute_cross_confirmation),203,39.90147783251231,0.36235924988658286,1.5695108501332324,36779.463863488156,84,0.23578934412634722,119,0.4517027127761609,,
"H1(20)+M15(20) (50% best., 100% Abdeckung)",220,41.81818181818181,0.3076043839515548,1.5029817976285509,33836.482234671035,92,0.034774799113971744,128,0.5037006480535677,20.0,20.0
"H1(20)+M15(50) (58% best., 100% Abdeckung)",199,41.20603015075377,0.32740524417395467,1.5276635991772245,32576.821795308486,87,0.017138048775880387,112,0.568416369170673,20.0,50.0
"H1(50)+M15(20) (40% best., 100% Abdeckung)",218,42.6605504587156,0.23270347191113677,1.3884581343473759,25364.67843831391,86,0.061557530597742036,132,0.34420764579713636,50.0,20.0
"H1(50)+M15(50) (45% best., 100% Abdeckung)",196,42.3469387755102,0.27457359427231154,1.4545797608371764,26908.21223868653,78,0.11285932962412676,118,0.38146946412450145,50.0,50.0
