Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel p90
ATR M5,mult=1,207,39.61352657004831,1.108919137438364,0.08953715878677239,-0.055729729776583324,0.18874381439101526,4633.547967215469,-7.3369654804148805,6.999999999999229,3.5599999999997856,7.023809523809906
ATR M5,mult=1.5,92,53.26086956521739,1.364113384814474,0.2020466693961987,0.18336407999644475,0.21064659150084736,4647.07339611257,-2.918219267625899,14.300000000000423,6.699999999999484,3.731343283582377
ATR M5,mult=2,64,57.8125,1.3071820544668837,0.14614342732631164,0.190987434909433,0.12859577218509025,2338.2948372209858,-1.3448578674273848,19.15,8.889999999999842,2.812812187812237
ATR M5,mult=2.5,59,59.32203389830509,1.350633202486667,0.16009868494094878,0.46311820801095116,0.056796574803447956,2361.455602878995,-1.3334043176322585,20.000000000000018,8.779999999999346,2.8644688644691194
ATR M15,mult=0.5,281,33.80782918149466,0.928219120745163,-0.06786111260265577,-0.19132383766444708,0.01396033832586859,-4767.243160336571,-13.303826783785777,5.899999999998684,3.1000000000003247,8.064516129031412
ATR M15,mult=0.75,187,42.24598930481283,1.205791526452251,0.15951660767154732,0.01946069463083727,0.2554107463300515,7457.401408644838,-5.651664062822626,7.200000000000539,3.60000000000138,6.944444444441783
ATR M15,mult=1,107,50.467289719626166,1.2623864410322372,0.16206475285583782,0.02572645619675609,0.23714961188547698,4335.232138893662,-4.059356462619768,10.799999999999699,5.1000000000001044,4.9019607843136255
ATR M15,mult=1.5,62,58.064516129032256,1.287297806282684,0.13628568891678536,0.2632417970005338,0.08832449252959146,2112.4281782101725,-1.3414515140310224,19.79999999999982,7.62999999999825,3.2840909090916854
ATR M30,mult=0.4,269,34.572490706319705,0.94622553820852,-0.04980837433392382,-0.2398987120831307,0.07969066825772338,-3349.613173956378,-11.831586057933418,5.999999999999339,3.2799999999997276,7.623106060606662
ATR M30,mult=0.6,169,41.42011834319526,1.0231208519356727,0.01806757017238854,-0.09782722510209091,0.10409257285035266,763.3548397834165,-6.676494877046613,7.500000000000284,3.900000000001125,6.410256410254561
ATR M30,mult=0.8,94,53.191489361702125,1.3759455635751723,0.2135269332338097,0.15673193450515738,0.24284048096472696,5017.882930994527,-1.9995899228018699,13.050000000000006,6.089999999999929,4.107142857142932
ATR M30,mult=1,75,56.0,1.2828176662777842,0.1433455625172779,0.31102220889953985,0.06443890539621346,2687.72929719896,-1.982656121024251,17.899999999999583,7.499999999998952,3.333333333333799
ATR H1,mult=0.25,283,33.92226148409894,0.9439400995910237,-0.052965531178484876,-0.2657521303453267,0.08435605316755838,-3747.311330877804,-12.908791533130293,5.800000000000249,3.0999999999985484,8.064516129036035
ATR H1,mult=0.4,188,38.829787234042556,0.9539010826146048,-0.03787374792153393,-0.17794141451137815,0.0592903090822319,-1780.0661523120955,-8.202469235853382,7.150000000000212,3.900000000001125,6.410256410254561
ATR H1,mult=0.5,122,49.18032786885246,1.3126839573133111,0.20154551816616212,-0.05764396332033119,0.3477549692611071,6147.138304067945,-4.394340009484765,9.600000000000719,5.1000000000001044,4.9019607843136255
ATR H1,mult=0.75,69,57.971014492753625,1.353243170209943,0.16867288739406486,0.5362159061671231,0.007872816680851788,2909.607307547619,-1.9828391073225649,18.000000000000238,8.539999999999994,2.9393939393939363
Referenz: kein Boden,-,207,39.61352657004831,1.108919137438364,0.08953715878677239,-0.055729729776583324,0.18874381439101526,4633.547967215469,-7.3369654804148805,6.999999999999229,3.5599999999997856,7.023809523809906
Referenz: Pip-Boden 5,-,152,48.026315789473685,1.5198718052704343,0.33662654483884624,0.2794165989076224,0.3760378409248005,12791.808703876159,-3.0983578689858904,8.900000000000574,5.5000000000005045,4.545454545454128
Referenz: Pip-Boden 6,-,122,51.63934426229508,1.6511571839228971,0.37772917804138406,0.45174260309227204,0.34026559252179894,11520.739930262218,-1.79907677334743,10.000000000001119,6.699999999999484,3.731343283582377
