label,n,gesamt_final_equity,gesamt_total_pnl,gesamt_cagr_pct,gesamt_max_drawdown_pct,gesamt_sharpe,gesamt_calmar,is_final_equity,is_total_pnl,is_cagr_pct,is_max_drawdown_pct,is_sharpe,is_calmar,oos_final_equity,oos_total_pnl,oos_cagr_pct,oos_max_drawdown_pct,oos_sharpe,oos_calmar
Flach 1% (keine Skalierung),203,173558.92772697628,73558.92772697631,5.066894523017851,-13.371207124514218,0.7501954398163688,0.37894069516942985,119806.30490661316,19806.30490661317,3.624575879773584,-13.371207124514218,0.5232184900167174,0.27107319825511017,153752.62282036312,53752.62282036314,7.327386319427709,-11.034542914836553,0.9592360271679699,0.6640407650756093
lag=2d z>=0.0 1.25x auf 'gruen' (39% d. Tage),203,187879.33477549825,87879.33477549825,5.816320120049556,-15.035650717655102,0.7696952109919879,0.38683527765246234,125293.47183725545,25293.47183725546,4.5429464977423395,-15.035650717655102,0.5707097732971215,0.3021449874735344,162585.8629382428,62585.8629382428,8.31747791051789,-12.671962256456359,0.963939243881147,0.6563685830329977
lag=2d z>=0.0 1.5x auf 'gruen' (39% d. Tage),203,202199.74182402022,102199.74182402022,6.515438965905229,-16.610346643575756,0.779529110465583,0.39225183590163964,130780.63876789776,30780.638767897748,5.4295692050068345,-16.610346643575756,0.6042961921367979,0.3268787413962118,171419.10305612243,71419.10305612246,9.263595588610297,-14.234138945743602,0.95971865890463,0.6508012619463972
lag=2d z>=0.0 1.75x auf 'gruen' (39% d. Tage),203,216520.1488725422,116520.14887254217,7.170853671403599,-18.03186193665267,0.7844554037125799,0.39767682874876503,136267.80569854006,36267.80569854005,6.2868070294509915,-18.03186193665267,0.6294518047023868,0.3486499093403128,180252.34317400208,80252.34317400213,10.169814154665623,-15.726142820857058,0.9517286235149716,0.646682042158344
lag=2d z>=0.25 1.25x auf 'gruen' (31% d. Tage),203,188188.83930301399,88188.83930301399,5.831935584678605,-14.554575928162238,0.7830144967041541,0.4006942980313261,125632.77653277766,25632.776532777665,4.598666930541406,-14.554575928162238,0.5838709173238642,0.31596021438475985,162556.0627702363,62556.06277023633,8.31421409113049,-11.858669034395708,0.9781498420132738,0.7011085364652109
lag=2d z>=0.25 1.5x auf 'gruen' (31% d. Tage),203,202818.7508790517,102818.75087905166,6.54463099242224,-15.687816192012027,0.802115081754272,0.41717922445793676,131459.24815894215,31459.24815894216,5.537132960927571,-15.687816192012027,0.6270656115665882,0.3529575368015203,171359.50272010948,71359.5027201095,9.25734981179598,-12.658828342503437,0.9833182994183298,0.7312959431413876
lag=2d z>=0.25 1.75x auf 'gruen' (31% d. Tage),203,217448.6624550894,117448.66245508935,7.211974332734328,-16.70313511101863,0.8133701901153702,0.43177369307015745,137285.71978510666,37285.71978510666,6.442772555013798,-16.70313511101863,0.659195161076464,0.3857223516538321,180162.9426699827,80162.94266998269,10.160830148022226,-13.436051340608056,0.9811004624326641,0.7562363294424856
lag=2d z>=0.5 1.25x auf 'gruen' (24% d. Tage),203,187567.78247402248,87567.78247402249,5.80057766987947,-13.804124941621376,0.7947453759292555,0.4202061118984741,126175.33976491133,26175.33976491134,4.687515785340368,-13.804124941621376,0.6062350401759649,0.3395735553803088,161392.44270911114,61392.44270911115,8.186377697486048,-11.231349508927002,0.9792931418256646,0.7288863810158589
lag=2d z>=0.5 1.5x auf 'gruen' (24% d. Tage),203,201576.63722106867,101576.63722106864,6.485971515122135,-14.274817810639174,0.82332462193388,0.4543645741165307,132544.37462320953,32544.374623209507,5.70820930385505,-14.274817810639174,0.6668467908693657,0.399879660782827,169032.26259785914,69032.26259785914,9.012037158829656,-11.422279041889716,0.986242291671777,0.7889876552463118
lag=2d z>=0.5 1.75x auf 'gruen' (24% d. Tage),203,215585.49196811486,115585.49196811482,7.129298495099712,-14.701029614928618,0.841813578982341,0.48495232523442056,138913.4094815077,38913.40948150767,6.690249576896523,-14.701029614928618,0.7121365708419658,0.455087143699289,176672.08248660713,76672.08248660713,9.807080370948817,-11.607590893127973,0.985800364435623,0.844885080913292
