label,n_trades,win_rate,avg_r,total_r,n_is,avg_r_is,n_oos,avg_r_oos,group
EURUSD,204,0.38235294117647056,0.2960468120769387,60.393549663695495,85,0.1549631422282606,119,0.3968208619688517,fx_major
GBPUSD,213,0.27230046948356806,-0.11060531953240842,-23.558933060402993,83,-0.32725984339478953,130,0.027720261087419536,fx_major
USDJPY,155,0.3548387096774194,-0.182105053543251,-28.226283299203903,59,-0.05868442160974412,96,-0.25795731691905205,fx_major
USDCHF,175,0.38857142857142857,-0.023767143873105,-4.159250177793375,78,-0.03313234905287433,97,-0.01623636032648635,fx_major
AUDUSD,124,0.33064516129032256,0.052238544420598984,6.477579508154274,56,0.22827798560119567,68,-0.0927351130222453,fx_major
USDCAD,167,0.3772455089820359,-0.1322046254041549,-22.078172442493866,66,-0.37661718429946256,101,0.027510512091788817,fx_major
GOLD,313,0.329073482428115,0.01910300210790317,5.979239659773692,135,-0.00954932285170971,178,0.040833698004238805,other
SP500,304,0.24342105263157895,-0.02683962288897883,-8.159245358249564,126,-0.07567423166975377,178,0.007728695686176451,other
BTC,379,0.29815303430079154,-0.07842252022190585,-29.72213516410232,180,-0.07464613308690055,199,-0.08183834778120715,other
