config,setup,period,n,win_rate,avg_r,profit_factor,total_pnl,cagr_pct,max_drawdown_pct,sharpe,calmar
ALT (Haltetest 09:15),Gesamt (Conti+Rev),Gesamt,204,38.23529411764706,0.2960468120769387,1.4536776268348484,30196.774831847746,2.3937997374743336,-6.678242364760079,0.6245656091212258,0.3584475684958662
ALT (Haltetest 09:15),Gesamt (Conti+Rev),In-Sample,85,32.94117647058823,0.1549631422282606,1.2176748995729567,6585.933544701072,1.264606704943927,-6.678242364760079,0.3421280340578121,0.18936220578292218
ALT (Haltetest 09:15),Gesamt (Conti+Rev),Out-of-Sample,119,42.016806722689076,0.3968208619688517,1.6503619046748281,23610.841287146668,3.545823301524531,-7.041348688821259,0.8572608206124008,0.5035716108128302
ALT (Haltetest 09:15),Continuation,Gesamt,132,28.78787878787879,0.3094698416249752,1.4067172081616035,20425.009547248363,1.680125741560734,-8.062511844444753,0.4540708077971581,0.2083873827383432
ALT (Haltetest 09:15),Continuation,In-Sample,62,22.58064516129032,-0.024653102647563922,0.9702107369889316,-764.246182074483,-0.1510427662125724,-8.062511844444753,-0.02283992671293127,-0.018733958985330878
ALT (Haltetest 09:15),Continuation,Out-of-Sample,70,34.285714285714285,0.6054073065520815,1.8626105919901272,21189.255729322842,3.209608112915441,-4.3421887011151465,0.8262833588937843,0.7391682706214864
ALT (Haltetest 09:15),Reversal,Gesamt,72,55.55555555555556,0.27143792457220506,1.5979983251094734,9771.765284599382,0.8393175953401055,-3.266390898276539,0.5457644549772493,0.25695564966916806
ALT (Haltetest 09:15),Reversal,In-Sample,23,60.86956521739131,0.6391460631978747,2.5976096011509835,7350.179726775558,1.4072575703752532,-1.132922558030991,0.8468892950649288,1.2421480712865793
ALT (Haltetest 09:15),Reversal,Out-of-Sample,49,53.06122448979592,0.09884022684995206,1.2062669763862421,2421.5855578238243,0.39410003356203926,-3.5009836303925623,0.26023277695939173,0.11256837368241256
NEU (Haltetest 09:00),Gesamt (Conti+Rev),Gesamt,203,39.90147783251231,0.36235924988658286,1.5695108501332324,36779.463863488156,2.847555990765316,-7.3595719545032185,0.758407216375787,0.38691869695260417
NEU (Haltetest 09:00),Gesamt (Conti+Rev),In-Sample,84,34.523809523809526,0.23578934412634722,1.3384661211006508,9903.152453306582,1.8779472895771976,-7.3595719545032185,0.5050646636081139,0.25517072204560864
NEU (Haltetest 09:00),Gesamt (Conti+Rev),Out-of-Sample,119,43.69747899159664,0.4517027127761609,1.760897015972702,26876.311410181563,3.990594750387899,-5.862536688817565,0.971610163795496,0.6806942049505152
NEU (Haltetest 09:00),Continuation,Gesamt,134,30.597014925373134,0.3899826045170916,1.525289283200998,26128.834502645128,2.102832157543788,-9.245022605779385,0.5697474152080834,0.22745559932208653
NEU (Haltetest 09:00),Continuation,In-Sample,64,25.0,0.08958070655363037,1.1116420243503946,2866.5826097161735,0.5584092532592511,-9.245022605779385,0.1671929260873899,0.060401069534450895
NEU (Haltetest 09:00),Continuation,Out-of-Sample,70,35.714285714285715,0.664635768369399,1.966632672863548,23262.251892928954,3.497765835733313,-3.9413314654899834,0.9004004365810228,0.8874579228769518
NEU (Haltetest 09:00),Reversal,Gesamt,69,57.971014492753625,0.308713894517189,1.717745972978921,10650.62936084302,0.9114321842657258,-3.268854286166467,0.6288385243799941,0.2788231302089037
NEU (Haltetest 09:00),Reversal,In-Sample,20,65.0,0.703656984359041,2.9642260052117275,7036.5698435904105,1.3488194855005187,-0.9378624742680364,0.9224088654755311,1.4381847259143379
NEU (Haltetest 09:00),Reversal,Out-of-Sample,49,55.10204081632652,0.14751263335724937,1.321060437541643,3614.05951725261,0.5853147103144885,-3.492323991544155,0.38268338065663376,0.16760034628278792
