risk_pct,$ je Trade,Gesamt-Return %,CAGR %,Sharpe,Sortino,MaxDD %,Calmar,schlechtester Tag %,bester Tag %,längste DD-Phase (Tage),Hebel max (x Equity),Verletzt TTP 7 % DD,Verletzt TTP 3 % Tag,Verletzt IQ 6 % DD
0.250%,250.0,11.303139279711228,1.4654038494480215,0.7205620540001758,4.072446598933606,-2.197392029398748,0.666883209660584,-0.35699824981955586,2.988674330692607,415,11.23595505617905,nein,nein,nein
0.375%,375.0,16.95470891956683,2.150416577837966,0.7191730382824167,3.691755141200555,-3.235689080561799,0.6645930818126067,-0.5354973747293338,4.483011496038912,415,16.853932584268573,nein,nein,nein
0.500%,500.0,22.606278559422478,2.8073981662626313,0.7178408585951185,3.3617898608778822,-4.236618452010655,0.6626506960829267,-0.7139964996391117,5.977348661385214,415,22.4719101123581,nein,nein,nein
0.750%,750.0,33.90941783913368,4.046427083351434,0.7153494733974861,2.8483165890553384,-6.134162884616712,0.6596543260204398,-1.0709947494586676,8.966022992077823,415,33.70786516853715,nein,nein,nein
1.000%,1000.0,45.212557118844934,5.198152822325874,0.7130838519929502,2.4826131537214913,-7.9042953354577445,0.6576364624190557,-1.4279929992782234,11.954697322770429,415,44.9438202247162,nein,nein,nein
