risk_pct,n_trades,win_rate,total_pnl_usd,final_equity_usd,worst_trade_usd,best_trade_usd,max_drawdown_usd,max_drawdown_pct_of_100k
0.5%,204,0.38235294117647056,30196.774831847746,130196.77483184775,-563.4861111113888,3073.317074467458,-7397.481096430944,-7.397481096430944
1.0%,204,0.38235294117647056,60393.54966369549,160393.5496636955,-1126.9722222227776,6146.634148934916,-14794.962192861916,-14.794962192861917
2.0%,204,0.38235294117647056,120787.09932739098,220787.09932739098,-2253.9444444455553,12293.268297869832,-29589.924385723818,-29.58992438572382
