label,n_trades,win_rate,avg_r,total_r
"Aktuell (Trend+ADX, Cross, kein Rates)",204,0.38235294117647056,0.2960468120769387,60.393549663695495
ohne Trend (+ ADX faellt mit weg),459,0.3311546840958606,0.07670036797873706,35.205468902240305
ohne Cross,361,0.37950138504155123,0.12112565385077578,43.72636104013006
komplett filterlos,875,0.3737142857142857,0.03496639049000239,30.595591678752093
