label,test_hour,test_window_end,n,avg_r,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos
point_09:00,9.0,,203,0.36235924988658286,36779.463863488156,84,0.23578934412634722,119,0.4517027127761609
point_09:15 (Baseline),9.25,,204,0.2960468120769387,30196.774831847746,85,0.1549631422282606,119,0.3968208619688517
point_09:30,9.5,,207,0.20368428179167666,21081.32316543853,87,0.04034724002113171,120,0.32210363707532175
range_09:00-09:30,9.0,9.5,172,0.2884778704897965,24809.096862122493,67,0.3242203932306681,105,0.2656707369313356
range_09:00-10:00,9.0,10.0,170,0.31682929063482246,26930.48970395991,67,0.32476204592437347,103,0.31166914884453206
range_09:30-10:00,9.5,10.0,196,0.2807116022428353,27509.737019797853,83,0.127370707090221,113,0.3933425252310387
