Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel p90
ATR H1,atr_period=7,125,49.6,1.3482947938206358,0.22544256991090006,-0.04147875412509482,0.3808651130204668,7045.080309715628,-4.592194898109858,9.500000000000064,4.3999999999999595,5.681818181818234
ATR H1,atr_period=10,127,48.818897637795274,1.312136675703026,0.2043364384229177,-0.05954207833468035,0.35936506701800663,6487.68191992764,-4.808095079578123,9.399999999999409,4.500000000000615,5.555555555554797
ATR H1,atr_period=14,122,49.18032786885246,1.3126839573133111,0.20154551816616212,-0.05764396332033119,0.3477549692611071,6147.138304067945,-4.394340009484765,9.600000000000719,5.1000000000001044,4.9019607843136255
ATR H1,atr_period=21,118,50.0,1.3236774508933273,0.20353417217320804,0.027059939044966883,0.30846479727648646,6004.258079109635,-3.999137870791447,10.000000000001119,5.170000000000563,4.835972850678211
ATR H1,atr_period=28,114,51.75438596491228,1.4354032856356425,0.26133765061996306,0.06299024429411781,0.3814635445919539,7448.123042668949,-3.1273682105344536,10.399999999999299,5.399999999999849,4.6296296296297585
