variant,stop_sigma,final_equity,total_return_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct,avg_days_held,trail_mult,trail_pct
baseline_fixed,3.0,115382.20074129105,15.382200741291019,0.28167654863764474,0.2552933171264902,0.12675400093124328,-16.02548821949956,304,49.34210526315789,8.417763157894736,,
trail_stddev,,115505.53003406525,15.505530034065318,0.24076681686775744,0.23025816187743164,0.11154621161261814,-18.3476922014556,353,48.1586402266289,7.121813031161473,1.5,
trail_stddev,,116258.5195016861,16.25851950168602,0.26049909053390263,0.2442010443126066,0.11821968757891102,-18.100650559401277,326,52.14723926380368,7.831288343558282,2.0,
trail_stddev,,117441.63161706924,17.44163161706913,0.28565826777146097,0.26176914898338277,0.1253805527198653,-18.226966053533843,304,54.93421052631579,8.509868421052632,2.5,
trail_stddev,,111791.26547336578,11.791265473366042,0.21065479921525798,0.1953054889210656,0.09339356067300383,-16.906013936653686,291,56.70103092783505,8.893470790378007,3.0,
trail_stddev,,105870.66970586777,5.870669705867582,0.12800206713688206,0.11945701295167742,0.04909945511852164,-16.39557814713084,273,56.41025641025641,9.413919413919414,4.0,
trail_atr,,109755.0794377327,9.755079437733105,0.15563605288274185,0.14226429818679084,0.06662874854789166,-19.763515045464075,301,52.823920265780735,8.385382059800664,2.0,
trail_atr,,109178.30282974243,9.178302829742236,0.17847381311504382,0.15869750570935814,0.07618492736043558,-16.300037478651518,274,58.02919708029197,9.218978102189782,3.0,
trail_atr,,101192.33391094208,1.1923339109424003,0.03143447795662841,0.027671658404562163,0.011307863062892252,-14.744262279555386,261,58.23754789272031,9.613026819923371,4.0,
trail_atr,,100308.93448257446,0.30893448257451883,0.009888782359174134,0.008584024056304866,0.0031640967017613868,-13.704432341441375,256,58.59375,9.8515625,5.0,
trail_pct,,114303.72821617126,14.30372821617123,0.2070300797795784,0.19311424156069212,0.09017773774344823,-21.033089990997677,284,57.04225352112676,8.880281690140846,,0.05
trail_pct,,104868.59501647949,4.868595016479582,0.1139797719154947,0.10304348920510024,0.04183135392867523,-16.02544116349154,262,57.63358778625955,9.610687022900763,,0.08
trail_pct,,103248.20077419281,3.248200774192722,0.09695221062204039,0.08769540554534848,0.03530098370740939,-12.75535371794767,256,58.203125,9.765625,,0.1
trail_pct,,99687.09757184982,-0.3129024281502968,-0.013857851578896798,-0.011932065248142734,-0.004195221363329659,-10.496850397873681,252,58.333333333333336,9.964285714285714,,0.15
