trade_year,in_sample_start,in_sample_end,n_selected,start_equity,end_equity,tickers
2018,2010-01-01,2017-12-31,13,100000.0,94355.79533290863,"BEI.DE,DB1.DE,DBK.DE,DTE.DE,EOAN.DE,FME.DE,G1A.DE,HEI.DE,HNR1.DE,MTX.DE,MUV2.DE,SIE.DE,SY1.DE"
2019,2011-01-01,2018-12-31,10,94355.79533290863,93782.13238811493,"BEI.DE,BMW.DE,DB1.DE,DTE.DE,EOAN.DE,FME.DE,G1A.DE,HEI.DE,HNR1.DE,MUV2.DE"
2020,2012-01-01,2019-12-31,7,93782.13238811493,95729.26127767563,"BMW.DE,DB1.DE,EOAN.DE,FME.DE,G1A.DE,HEI.DE,IFX.DE"
2021,2013-01-01,2020-12-31,6,95729.26127767563,94538.58529853821,"BEI.DE,EOAN.DE,FME.DE,G1A.DE,HEI.DE,HEN3.DE"
2022,2014-01-01,2021-12-31,9,94538.58529853821,94908.50221729279,"BEI.DE,CON.DE,DB1.DE,EOAN.DE,FME.DE,HEI.DE,HEN3.DE,MUV2.DE,SIE.DE"
2023,2015-01-01,2022-12-31,11,94908.50221729279,103078.85504436493,"AIR.PA,BEI.DE,BMW.DE,DB1.DE,DTE.DE,FME.DE,HEN3.DE,HNR1.DE,MUV2.DE,QIA.DE,SIE.DE"
2024,2016-01-01,2023-12-31,16,103078.85504436493,111527.68377399445,"AIR.PA,ALV.DE,BEI.DE,CON.DE,DB1.DE,DTE.DE,FME.DE,HEN3.DE,HNR1.DE,IFX.DE,MUV2.DE,PAH3.DE,QIA.DE,RWE.DE,SY1.DE,VOW3.DE"
