ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,days_held,pnl_dollars,pnl_pct,reason
BAS.DE,long,2018-01-02,2018-01-04,55.46476745605469,56.825416564941406,360.0,2,489.83367919921875,0.024531773435537706,mean_revert
MUV2.DE,long,2018-01-02,2018-01-04,124.56388854980469,127.57083129882812,160.0,2,481.11083984375,0.024139763008611956,mean_revert
HEI.DE,short,2018-01-03,2018-01-04,71.13629150390625,72.24536895751953,282.0,1,-312.7598419189453,-0.015590880971808593,stop_loss
BAYN.DE,long,2018-01-02,2018-01-05,79.40669250488281,83.59329223632812,251.0,3,1050.8365325927734,0.052723512331002496,mean_revert
CON.DE,short,2018-01-03,2018-01-05,110.77468872070312,114.29361724853516,181.0,2,-636.9260635375977,-0.0317665395269521,stop_loss
BEI.DE,long,2018-01-02,2018-01-08,89.42955017089844,93.24101257324219,223.0,4,849.9561157226562,0.04261972016028378,mean_revert
IFX.DE,short,2018-01-03,2018-01-08,21.819995880126953,22.597972869873047,919.0,3,-714.9608535766602,-0.03565431423635848,stop_loss
PAH3.DE,short,2018-01-04,2018-01-08,49.885467529296875,51.385467529296875,404.0,2,-606.0,-0.03006887725606813,stop_loss
HEI.DE,short,2018-01-04,2018-01-09,72.24536895751953,73.5418701171875,279.0,3,-361.7238235473633,-0.01794580300960626,stop_loss
CON.DE,short,2018-01-05,2018-01-09,114.29361724853516,121.13871002197266,175.0,2,-1197.8912353515625,-0.05989042028963547,stop_loss
BAYN.DE,short,2018-01-05,2018-01-10,83.59329223632812,81.5231704711914,240.0,3,496.8292236328125,0.024764209062184555,mean_revert
SY1.DE,short,2018-01-05,2018-01-10,66.38291931152344,63.35976028442383,302.0,3,912.994026184082,0.045541218410604274,mean_revert
G1A.DE,short,2018-01-04,2018-01-12,32.421424865722656,31.67702293395996,622.0,6,463.0180015563965,0.02296018558239584,mean_revert
BMW.DE,short,2018-01-08,2018-01-16,54.54257583618164,56.349117279052734,367.0,6,-663.0007095336914,-0.03312167449328085,stop_loss
PAH3.DE,short,2018-01-08,2018-01-16,51.385467529296875,54.13777542114258,390.0,6,-1073.4000778198242,-0.053561989881215036,stop_loss
MRK.DE,short,2018-01-05,2018-01-17,82.3260269165039,80.47740936279297,244.0,8,451.06268310546875,0.022454837466963258,mean_revert
RHM.DE,short,2018-01-04,2018-01-18,94.52538299560547,95.08192443847656,213.0,10,-118.54332733154297,-0.005887745970804135,max_holding
MBG.DE,short,2018-01-05,2018-01-18,34.10679244995117,34.826499938964844,589.0,9,-423.90771102905273,-0.02110158819741791,stop_loss
FME.DE,short,2018-01-05,2018-01-19,73.2727279663086,73.72612762451172,274.0,10,-124.23150634765625,-0.006187836467772865,max_holding
VOW3.DE,short,2018-01-05,2018-01-19,98.65592956542969,101.14434051513672,203.0,10,-505.14742279052734,-0.025223126077350375,max_holding
DBK.DE,long,2018-01-08,2018-01-22,12.903949737548828,13.277440071105957,1382.0,10,516.1636409759521,0.028943876964300338,mean_revert
IFX.DE,short,2018-01-08,2018-01-22,22.597972869873047,22.8725528717041,887.0,10,-243.5524616241455,-0.012150647467902604,max_holding
HEI.DE,short,2018-01-09,2018-01-22,73.5418701171875,71.7923583984375,264.0,9,461.87109375,0.023789328663551636,mean_revert
BMW.DE,short,2018-01-16,2018-01-22,56.349117279052734,58.55101776123047,356.0,4,-783.8765716552734,-0.039076042154723704,stop_loss
CON.DE,short,2018-01-09,2018-01-23,121.13871002197266,119.11410522460938,147.0,10,297.61690521240234,0.016713111745998037,max_holding
DTE.DE,long,2018-01-11,2018-01-23,10.336682319641113,10.63806438446045,1961.0,8,591.0102291107178,0.029156556765478677,mean_revert
AIR.PA,short,2018-01-10,2018-01-24,80.325927734375,80.53058624267578,250.0,10,-51.16462707519531,-0.0025478511618011335,max_holding
CBK.DE,short,2018-01-10,2018-01-24,11.964920043945312,12.159852981567383,1682.0,10,-327.87720108032227,-0.016292038467963982,max_holding
MUV2.DE,short,2018-01-12,2018-01-26,131.33816528320312,132.0640106201172,154.0,10,-111.78018188476562,-0.005526537814419211,max_holding
PAH3.DE,short,2018-01-16,2018-01-29,54.13777542114258,51.75703048706055,262.0,9,623.7551727294922,0.04397566977146741,mean_revert
BAS.DE,short,2018-01-18,2018-01-30,58.40474319458008,57.52396774291992,339.0,8,298.58287811279297,0.015080546604336267,mean_revert
BAYN.DE,short,2018-01-23,2018-01-30,84.36573028564453,81.50772094726562,231.0,5,660.2001571655273,0.03387642504488838,mean_revert
HNR1.DE,short,2018-01-17,2018-01-31,79.65660095214844,78.79778289794922,254.0,10,218.13978576660156,0.010781505160069918,max_holding
