ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,days_held,pnl_dollars,pnl_pct,reason
MUV2.DE,long,2018-01-02,2018-01-04,124.56388854980469,127.57083129882812,160.0,2,481.11083984375,0.024139763008611956,mean_revert
HEI.DE,short,2018-01-03,2018-01-04,71.13629150390625,72.24536895751953,281.0,1,-311.65076446533203,-0.015590880971808593,stop_loss
BEI.DE,long,2018-01-02,2018-01-08,89.42955017089844,93.24101257324219,223.0,4,849.9561157226562,0.04261972016028378,mean_revert
HEI.DE,short,2018-01-04,2018-01-09,72.24536895751953,73.5418701171875,278.0,3,-360.4273223876953,-0.01794580300960626,stop_loss
SY1.DE,short,2018-01-05,2018-01-10,66.38291931152344,63.35976028442383,303.0,3,916.0171852111816,0.045541218410604274,mean_revert
G1A.DE,short,2018-01-04,2018-01-12,32.421424865722656,31.67702293395996,620.0,6,461.5291976928711,0.02296018558239584,mean_revert
FME.DE,short,2018-01-05,2018-01-19,73.2727279663086,73.72612762451172,275.0,10,-124.68490600585938,-0.006187836467772865,max_holding
DBK.DE,long,2018-01-08,2018-01-22,12.903949737548828,13.277440071105957,1394.0,10,520.6455249786377,0.028943876964300338,mean_revert
SIE.DE,short,2018-01-08,2018-01-22,83.15617370605469,85.46530151367188,243.0,10,-561.1180572509766,-0.027768567319843597,max_holding
HEI.DE,short,2018-01-09,2018-01-22,73.5418701171875,71.7923583984375,272.0,9,475.8671875,0.023789328663551636,mean_revert
DTE.DE,long,2018-01-11,2018-01-23,10.336682319641113,10.63806438446045,1966.0,8,592.5171394348145,0.029156556765478677,mean_revert
SY1.DE,long,2018-01-11,2018-01-25,62.63563537597656,61.29603576660156,324.0,10,-434.0302734375,-0.021387180018753248,max_holding
MUV2.DE,short,2018-01-12,2018-01-26,131.33816528320312,132.0640106201172,155.0,10,-112.50602722167969,-0.005526537814419211,max_holding
HNR1.DE,short,2018-01-17,2018-01-31,79.65660095214844,78.79778289794922,256.0,10,219.857421875,0.010781505160069918,max_holding
EOAN.DE,long,2018-01-25,2018-02-01,5.977115154266357,5.777003288269043,3418.0,5,-683.9823579788208,-0.03347967386147449,stop_loss
MTX.DE,long,2018-01-25,2018-02-02,133.17416381835938,127.1415786743164,153.0,6,-922.9855270385742,-0.04529846459010631,stop_loss
DB1.DE,short,2018-01-23,2018-02-06,85.02692413330078,84.98512268066406,241.0,10,10.074150085449219,0.0004916260709511803,max_holding
HEI.DE,long,2018-01-30,2018-02-06,68.71509552001953,65.37228393554688,295.0,5,-986.1294174194336,-0.048647412321485575,stop_loss
DTE.DE,long,2018-02-01,2018-02-06,10.013773918151855,9.54376220703125,2014.0,3,-946.6035861968994,-0.04693652113202002,stop_loss
SIE.DE,long,2018-02-02,2018-02-06,81.69513702392578,79.27728271484375,245.0,2,-592.3743057250977,-0.029596061615930976,stop_loss
DBK.DE,long,2018-02-02,2018-02-08,11.655613899230957,10.76731014251709,1245.0,4,-1105.9381771087646,-0.07621252423027482,stop_loss
G1A.DE,long,2018-02-05,2018-02-08,30.291156768798828,29.229978561401367,651.0,3,-690.8270130157471,-0.03503260755266102,stop_loss
FME.DE,long,2018-02-02,2018-02-09,70.90857696533203,68.15576934814453,282.0,5,-776.291748046875,-0.03882192726182303,stop_loss
