date,equity,current_dd,consistency_ratio,payout_safe,kill_switch_active,n_trades
2026-08-26T19:04:29.111975,93390.68,-0.0661,0.0000,False,True,322
2026-08-26T20:00:53.429733,100000.00,0.0000,0.0000,True,False,0
2026-08-26T20:13:02.386577,100000.00,0.0000,0.0000,True,False,0
2026-08-26T21:55:32.516134,100000.00,0.0000,0.0000,True,False,0
2026-08-27T01:24:47.809616,100000.00,0.0000,0.0000,True,False,0
2026-08-27T02:55:29.375384,100000.00,0.0000,0.0000,True,False,0
2026-08-27T07:36:17.951809,100000.00,0.0000,0.0000,True,False,0
2026-08-27T08:55:24.987079,100000.00,0.0000,0.0000,True,False,0
2026-08-27T09:55:24.632460,100000.00,0.0000,0.0000,True,False,0
2026-08-27T10:55:25.795043,100000.00,0.0000,0.0000,True,False,0
2026-08-27T11:55:26.001199,100000.00,0.0000,0.0000,True,False,0
2026-08-27T12:55:25.843102,100000.00,0.0000,0.0000,True,False,0
2026-08-27T13:55:25.941710,100000.00,0.0000,0.0000,True,False,0
2026-08-27T14:55:25.845995,100000.00,0.0000,0.0000,True,False,0
2026-08-27T15:55:26.318524,100000.00,0.0000,0.0000,True,False,0
