mode,mtd,max_hold_h,tp_mode,tp_r,stop_atr,be,sharpe,calmar,cagr,max_drawdown,n_trades,win_rate,profit_factor,avg_return_pct,avg_hold_bars,exit_reason_counts
sweep,0.5,24,h4_level,,0.5,,-0.5348234956544723,-0.4168173454785072,-0.052456069524365545,-0.1258490561714649,148,0.32432432432432434,0.8754426383997514,-0.0004863342361080532,21.68918918918919,"{'stop': 97, 'target': 41, 'max_hold': 10}"
sweep,0.5,24,h4_level,,0.5,0.5,-0.37068485872592655,-0.2600175051312656,-0.037673825644717995,-0.14488957436038385,186,0.22580645161290322,0.909915278929568,-0.0002663049596726722,14.231182795698924,"{'stop': 79, 'breakeven': 65, 'target': 41, 'max_hold': 1}"
sweep,0.5,24,h4_level,,0.5,1.0,-0.5035775386479006,-0.3468399622982013,-0.04854094106410067,-0.13995198460541525,164,0.2621951219512195,0.879977223122882,-0.00040405985573126006,17.945121951219512,"{'stop': 85, 'target': 40, 'breakeven': 35, 'max_hold': 4}"
sweep,0.5,24,h4_level,,1.0,,-0.5961012966283892,-0.42382525946363947,-0.059289173653934824,-0.13989060899524164,134,0.3656716417910448,0.8567159099252046,-0.0006148234626266293,25.611940298507463,"{'stop': 80, 'target': 42, 'max_hold': 12}"
sweep,0.5,24,h4_level,,1.0,0.5,-0.3329854472436207,-0.23645818047039552,-0.03465188665345553,-0.1465455184697826,160,0.26875,0.9146202545984321,-0.00028155327948852253,18.36875,"{'stop': 63, 'breakeven': 53, 'target': 42, 'max_hold': 2}"
sweep,0.5,24,h4_level,,1.0,1.0,-0.5025654863844001,-0.3375720393099205,-0.05007077462622844,-0.14832619054760965,143,0.32867132867132864,0.8753050862119839,-0.0004789149606142116,22.972027972027973,"{'stop': 74, 'target': 40, 'breakeven': 20, 'max_hold': 9}"
sweep,0.5,24,h4_level,,1.5,,-0.8457329109334228,-0.5194472258978463,-0.08554692282968746,-0.1646883813496599,123,0.3902439024390244,0.7988508666912623,-0.0009986770005867083,29.471544715447155,"{'stop': 67, 'target': 43, 'max_hold': 13}"
sweep,0.5,24,h4_level,,1.5,0.5,-0.4742830524643018,-0.3495895194430952,-0.04968332058233116,-0.14211902193600634,142,0.30985915492957744,0.8793633561934391,-0.0004731160580700924,23.528169014084508,"{'stop': 55, 'target': 43, 'breakeven': 40, 'max_hold': 4}"
sweep,0.5,24,h4_level,,1.5,1.0,-0.6954754409829769,-0.4465222784147998,-0.07097106019633981,-0.15894181237338123,128,0.3671875,0.8287368320662961,-0.0007815275026462883,27.6640625,"{'stop': 63, 'target': 42, 'breakeven': 12, 'max_hold': 11}"
sweep,0.5,24,h4_level,,2.0,,-0.6422064253467943,-0.4481655976214164,-0.0671738633706549,-0.14988625572148306,118,0.4322033898305085,0.8390050141136506,-0.0007947215869913834,33.19491525423729,"{'stop': 56, 'target': 47, 'max_hold': 15}"
sweep,0.5,24,h4_level,,2.0,0.5,-0.0019318872646665092,-0.048451463700356634,-0.005002599550085973,-0.10324970946232015,133,0.3684210526315789,0.9997873097599098,-8.233200670129357e-07,27.984962406015036,"{'stop': 46, 'target': 45, 'breakeven': 35, 'max_hold': 7}"
sweep,0.5,24,h4_level,,2.0,1.0,-0.46448744290879784,-0.37393159842907825,-0.049926694313273456,-0.13351825446958798,122,0.4180327868852459,0.8805942527632424,-0.000550851169182243,32.07377049180328,"{'stop': 53, 'target': 46, 'max_hold': 13, 'breakeven': 10}"
