,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct,avg_trade_pnl_pct,avg_days_held,final_equity
BBfull,-72.8408621864319,-17.025038302075345,31.931260446053734,-0.5331777720092915,-0.7702734131993473,-0.23229855707619293,-73.289470741272,3306.0,48.33635813672112,-0.10026314476025554,7.2583182093163945,27159.137813568115
BBOU,17.158721313476576,2.293320333273585,20.631749283869407,0.11115491477334788,0.13782085954475745,0.06475936363860586,-35.41295350077278,1503.0,50.69860279441117,0.028664365668477937,7.094477711244179,117158.72131347656
Nasdaq-100,225.5411382665948,18.412034105504294,24.415848510989356,0.7541017506402532,0.9805177460542033,0.5177280258656911,-35.56313969041487,,,,,325541.1382665938
