,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct,avg_trade_pnl_pct,avg_days_held
BBfull,-17.87377494164858,-2.7800580649864903,19.19237918950895,-0.14485218521037463,-0.19288267637386652,-0.08442361938183071,-32.92986116139913,6337.0,50.46551996212719,0.2825057286657861,7.114880858450371
BBOU,-10.109621255659162,-1.5144366911541973,22.44641360446587,-0.06746898269988617,-0.08782393281087632,-0.043629986118460216,-34.710913889413916,1364.0,51.39296187683284,0.30623406018296623,7.052052785923753
Nasdaq-100,225.54113826659457,18.714323835183922,24.42447930244674,0.7662117830003934,0.996615937199319,0.5262281114124422,-35.56313969041495,,,,
