ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,days_held,pnl_dollars,pnl_pct,reason
MPWR,short,2018-01-02,2018-01-04,108.5593490600586,111.63011169433594,184.0,2,-565.0203247070312,-0.028286487169138213,stop_loss
NFLX,short,2018-01-02,2018-01-05,20.10700035095215,20.999000549316406,994.0,3,-886.6481971740723,-0.044362668861345995,stop_loss
PCAR,short,2018-01-02,2018-01-05,35.539302825927734,36.55166244506836,562.0,3,-568.9461059570312,-0.028485635300703114,stop_loss
IDXX,short,2018-01-03,2018-01-05,162.0500030517578,166.60000610351562,121.0,2,-550.5503692626953,-0.02807777208313022,stop_loss
AMZN,short,2018-01-03,2018-01-08,60.209999084472656,62.34349822998047,328.0,3,-699.7877197265625,-0.035434299583937595,stop_loss
ASML,short,2018-01-03,2018-01-08,164.71620178222656,169.08518981933594,119.0,3,-519.9095764160156,-0.02652433694947429,stop_loss
ODFL,short,2018-01-02,2018-01-09,43.13975143432617,44.75380325317383,463.0,5,-747.3059921264648,-0.037414490468374834,stop_loss
ADBE,short,2018-01-03,2018-01-09,181.0399932861328,186.6999969482422,109.0,4,-616.9403991699219,-0.03126383049055778,stop_loss
AMGN,short,2018-01-03,2018-01-09,139.3228759765625,141.6715087890625,141.0,4,-331.1572265625,-0.016857481558843913,stop_loss
AVGO,short,2018-01-02,2018-01-10,21.0533390045166,20.7237548828125,949.0,6,312.7753314971924,0.015654719739866225,mean_revert
BKR,short,2018-01-03,2018-01-10,26.586292266845703,28.124542236328125,654.0,5,-1006.0154800415039,-0.05785876247966658,stop_loss
BKNG,short,2018-01-03,2018-01-11,71.44868469238281,74.14891815185547,276.0,6,-745.2644348144531,-0.037792626569660696,stop_loss
CSCO,short,2018-01-05,2018-01-12,30.90546989440918,31.95311164855957,620.0,5,-649.5378875732422,-0.03389826324368263,stop_loss
AMZN,short,2018-01-08,2018-01-12,62.34349822998047,65.26000213623047,300.0,4,-874.951171875,-0.04678120395957309,stop_loss
ALNY,short,2018-01-03,2018-01-16,134.64999389648438,124.63999938964844,143.0,8,1431.429214477539,0.07434084634665024,mean_revert
ADBE,short,2018-01-09,2018-01-17,186.6999969482422,196.49000549316406,100.0,5,-979.0008544921875,-0.052437111435175356,stop_loss
AMGN,short,2018-01-09,2018-01-17,141.6715087890625,145.2484130859375,132.0,5,-472.1513671875,-0.02524787324881761,stop_loss
ADP,short,2018-01-16,2018-01-17,99.23482513427734,101.44576263427734,185.0,1,-409.0234375,-0.022279854849427308,stop_loss
AMD,short,2018-01-03,2018-01-18,11.550000190734863,12.470000267028809,1062.0,10,-977.0400810241699,-0.07965368494382775,max_holding
ADSK,short,2018-01-04,2018-01-19,112.06999969482422,115.29000091552734,172.0,10,-553.8402099609375,-0.028732053444021164,max_holding
CTAS,short,2018-01-05,2018-01-22,37.21625518798828,38.02210235595703,514.0,10,-414.2054443359375,-0.021653096581002618,stop_loss
EA,short,2018-01-05,2018-01-22,109.0696792602539,114.5042495727539,175.0,10,-951.0498046875,-0.04982659112375709,stop_loss
