trade_year,in_sample_start,in_sample_end,n_selected,start_equity,end_equity,tickers
2018,2010-01-01,2017-12-31,16,100000.0,107299.85630607605,"ADI,AMGN,CCEP,EXC,FAST,INTU,KDP,LIN,MCHP,MDLZ,MSTR,PEP,QCOM,TER,TRI,WBD"
2019,2011-01-01,2018-12-31,19,107299.85630607605,124455.155002594,"ADI,AMGN,AVGO,BKNG,CCEP,CDNS,EXC,FAST,HON,LIN,MCHP,MDLZ,MSTR,PCAR,QCOM,ROP,TER,TRI,WBD"
2020,2012-01-01,2019-12-31,22,124455.155002594,128499.60000705719,"ADI,ADSK,AVGO,BKNG,BKR,FAST,GILD,GOOG,HON,ISRG,LIN,MCHP,MDLZ,MSTR,PCAR,QCOM,ROP,TER,TMUS,TRI,VRTX,WBD"
2021,2013-01-01,2020-12-31,18,128499.60000705719,158229.5239496231,"ADI,AMGN,BKNG,CMCSA,FAST,GILD,INTC,ISRG,LIN,MCHP,MDLZ,MSTR,PCAR,PEP,ROP,TMUS,VRTX,WBD"
2022,2014-01-01,2021-12-31,26,158229.5239496231,147122.74573802948,"ADI,ADP,ADSK,AMGN,BKNG,CCEP,CMCSA,FAST,GILD,HON,INTC,ISRG,LIN,MCHP,MDLZ,MNST,MPWR,MSTR,PCAR,PEP,ROP,ROST,TMUS,TXN,VRTX,WBD"
2023,2015-01-01,2022-12-31,33,147122.74573802948,177717.47819805145,"ADI,ADP,ADSK,ALNY,AMGN,AVGO,BKNG,CCEP,CMCSA,EA,EXC,FAST,GILD,GOOG,GOOGL,HON,INTC,KDP,LIN,MAR,MCHP,MDLZ,MNST,MPWR,MSTR,ORLY,PCAR,PEP,ROP,ROST,TMUS,TXN,VRTX"
2024,2016-01-01,2023-12-31,35,177717.47819805145,180799.12673711777,"ADI,ADP,ADSK,ALNY,AMGN,AVGO,BKNG,CMCSA,CSX,EA,EXC,FAST,GILD,GOOG,GOOGL,INTC,KDP,LIN,MCHP,MDLZ,MNST,MPWR,MRVL,MSTR,ORLY,PCAR,PEP,ROP,ROST,SBUX,TMUS,TXN,VRTX,WBD,WMT"
