variant,stop_sigma,final_equity,total_return_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct,avg_days_held,trail_mult,trail_pct
baseline_fixed,3.0,180262.93815422058,80.26293815421974,0.7883815275788871,0.7746220236328782,0.5487955926484163,-16.040708499396285,479,48.01670146137787,8.379958246346556,,
trail_stddev,,236153.4542441368,136.15345424413837,0.8384830987139067,0.8027822823768223,0.5959745108111244,-21.968585872723434,549,50.27322404371585,7.453551912568306,1.5,
trail_stddev,,191120.77865886688,91.12077865886717,0.667328012867065,0.6153512396883439,0.39936861295780224,-24.333596126307356,514,51.75097276264592,8.103112840466926,2.0,
trail_stddev,,170626.7012500763,70.62670125007612,0.6048437042388324,0.5640880460691585,0.36681689810557305,-21.674472389562183,481,54.054054054054056,8.69022869022869,2.5,
trail_stddev,,167323.3593697548,67.32335936975487,0.625355361912342,0.5795354078239874,0.34483263883654647,-22.18122660026821,456,55.92105263157895,9.125,3.0,
trail_stddev,,149472.91302919388,49.47291302919481,0.590195789709775,0.5404541661080516,0.3217822068206399,-18.40981848506199,426,57.27699530516433,9.565727699530516,4.0,
trail_atr,,196022.39111471176,96.02239111471191,0.6752095555297446,0.633003219545881,0.45823392255786966,-22.07740660890416,483,52.38095238095239,8.488612836438923,2.0,
trail_atr,,162052.84864759445,62.05284864759471,0.5884425021029708,0.5261463118367169,0.31909114496878865,-22.42815025038847,432,57.17592592592593,9.474537037037036,3.0,
trail_atr,,141519.7171907425,41.519717190742526,0.5379427365087738,0.4730173021868698,0.2653749285610854,-19.210368296455204,408,57.84313725490197,9.772058823529411,4.0,
trail_atr,,133689.50807476044,33.68950807476079,0.5543897058482274,0.482180658079893,0.2599926960022936,-16.32702226679963,403,58.06451612903226,9.890818858560793,5.0,
trail_pct,,243195.38513803482,143.1953851380344,0.7756971075020798,0.7709982060335756,0.5660295135228268,-23.973164857234043,475,54.10526315789473,8.467368421052631,,0.05
trail_pct,,171464.65429782867,71.46465429782887,0.6916147907035635,0.6412900106014042,0.4295361407882614,-18.685997252659238,423,56.73758865248227,9.46808510638298,,0.08
trail_pct,,147926.30124378204,47.92630124378201,0.6063111828526978,0.5398082176815334,0.31421855135796545,-18.35131542117511,408,57.107843137254896,9.745098039215685,,0.1
trail_pct,,127530.46964597702,27.530469645977117,0.5489735507000104,0.4849751217627217,0.25455221396216154,-13.919734259147509,400,57.75,9.91,,0.15
