ticker,theta,half_life,p_value
AAPL,0.04275157119860395,87.57049521805595,0.2733921715206756
ADBE,0.05448063886914229,75.08434685683692,0.21272921513752333
ADI,0.06128023238734844,46.67113936637221,0.17660174756847583
ADP,0.052149384872970654,77.18759657753743,0.21121479592524076
ADSK,0.04871708860682684,46.22817329171738,0.22057989351845295
AEP,0.054437564571411856,54.81102067413487,0.2235849086075301
ALNY,0.0499459340623861,94.59229993735454,0.2389744888227933
AMAT,0.03847511678350261,390.6586824865796,0.2885970484392787
AMD,0.049586469793294626,70.1032463208707,0.22449302992183914
AMGN,0.06149334619588611,52.89530960987443,0.19085582484697852
AMZN,0.049143056729692325,73.22581789119177,0.23259236386692253
ASML,0.05451541510331215,237.27427267967016,0.19566198800287035
AVGO,0.059771591731597414,73.93307633937091,0.21693435102840497
AXON,0.05172952948015111,67.12029366937328,0.23573647321036284
BKNG,0.05245815096544438,81.47537670340904,0.2209672405880928
BKR,0.054539896924929034,60.48575624770521,0.2023826208490487
CCEP,0.05825332580680052,47.652556522204215,0.19454884944732956
CDNS,0.05375231650442222,87.23278607581102,0.20373875699355412
CMCSA,0.04853250640117856,56.967154823901865,0.2188485238512706
COST,0.04935200722832193,72.16179241003516,0.23507387559662338
CPRT,0.06100685429809135,75.94740465686282,0.21394449590019238
CSCO,0.05308634923450111,40.41270921619241,0.20203733490946607
CSX,0.05611194776224327,103.7305679307977,0.21495935571925218
CTAS,0.054933734290884946,80.39487710606812,0.2302839546680454
DXCM,0.04463640679708438,67.14621792463434,0.24082477872306743
EA,0.0473340832498125,102.09831675603014,0.2573458067201062
EXC,0.0595752887089513,69.41846185309693,0.19101268749103792
FAST,0.05923204992739447,38.00862181072671,0.1918805674656546
FTNT,0.05134006875087845,115.29927825371355,0.20666426625224332
GILD,0.05702641518181908,72.19007623890369,0.21940437021990614
GOOG,0.04960692634634728,112.85786674405085,0.21601135719651043
GOOGL,0.04955393625564413,114.32055706478339,0.21831519723067394
HON,0.05956607585835968,62.118016102426616,0.2022387424201871
IDXX,0.05189686714246728,91.15248050946956,0.23169035575153937
INTC,0.047809618587796136,46.30778882305495,0.2058138900695472
INTU,0.05713604594319784,48.23547172098403,0.19924850404757474
ISRG,0.05505454417749753,48.860991051748876,0.20283724005675816
KDP,0.061293574456772616,58.10378934978459,0.1976913791600284
KLAC,0.04764145602313308,62.31800268361699,0.22446060240384466
LIN,0.06840629007404062,48.68166618757882,0.15761560789923323
LRCX,0.04943937207531362,70.73435641926498,0.21932180890829536
MAR,0.050712008265817156,81.4033660892891,0.24660886402278134
MCHP,0.052935191851673925,38.58901004016537,0.19534580368120516
MDLZ,0.07338339586517956,33.612008888896504,0.16205311099774256
MELI,0.04100802813033389,60.123893028742565,0.24614753939317424
MNST,0.0494770333150041,65.52646075573433,0.23773961178499284
MPWR,0.05392607831627938,104.0570801412237,0.20668868917285402
MRVL,0.04846480609532052,60.77743542999883,0.22309322560109454
MSFT,0.051907549641303764,51.57654427062431,0.21239221643396078
MSTR,0.06470536704403972,128.92865126573852,0.1878578035730892
MU,0.042465323200778254,85.11645057100763,0.27669091304937615
NFLX,0.03864147574144417,104.09033500765618,0.2782022414883545
NVDA,0.05304273629953004,94.57037932081236,0.262590550550819
ODFL,0.048251881777915666,79.89302471347143,0.2441426476412399
ORLY,0.05214492379809275,107.84395193095304,0.25171566141566487
PAYX,0.047887758441695794,77.49097186847958,0.23965405277896304
PCAR,0.052908572192326066,36.27422551708079,0.2019339918018809
PEP,0.061264914663146174,54.64633409010236,0.18206250476257604
QCOM,0.05953005259141097,36.89581765278525,0.1859378933673185
REGN,0.056490885830268435,68.99760319450722,0.22205841872545717
ROP,0.05778427872205738,61.294037686711,0.20324041560014217
ROST,0.046693581424319064,78.5229999872425,0.25781504905170216
SBUX,0.05522643618258193,71.00607008747247,0.20992046149712051
SNPS,0.055546898017104974,47.67982848247748,0.2067169229849808
STX,0.03679864303402326,74.23184158570747,0.2722547375919247
TER,0.05498332878327431,48.23463481276724,0.1799312377005675
TMUS,0.055043916473171646,57.71568257529247,0.22246844534451707
TRI,0.06331116935072549,67.12380486895553,0.16871523305383926
TTWO,0.04904989913684046,843.3935748792652,0.22883689898811752
TXN,0.05469428069402163,54.35558879345277,0.2238426728105357
VRTX,0.05659017144038753,43.3205606939928,0.20453287997670985
WBD,0.05989093434788054,48.02364053887967,0.1854480658242359
WDC,0.045617819775774116,86.76659666820301,0.2516036323941272
WMT,0.05086167686908314,71.1236771240825,0.22332800913723916
XEL,0.05261065275062159,45.411206746292784,0.2095583056488006
