stop_sigma,rr_ratio,final_equity,total_return_pct,sharpe,sortino,calmar,max_drawdown_pct,n_trades,win_rate_pct
1.0,1.0,408655.2630457878,308.65526304579055,0.5685331548352921,0.6441000767159688,0.5223384688119614,-42.7512688988676,2688,50.66964285714286
1.0,1.5,551062.8669071198,451.062866907118,0.6527115466378384,0.7532892493057906,0.5833306312970193,-47.453489916026136,2596,44.14483821263482
1.0,2.0,418435.667896986,318.4356678969869,0.5103649684199816,0.5860029357194594,0.40948238045617186,-55.5471966004007,2539,40.25206774320599
1.0,2.5,529641.4162790775,429.64141627907526,0.5890938193623922,0.68878143066502,0.4641975455801021,-58.07502894846166,2507,38.97088153171121
1.0,3.0,464785.77941322327,364.78577941322453,0.5291888261126365,0.6156216258221548,0.41927995754703573,-58.68599604741267,2474,38.03556992724333
1.5,1.0,546577.9696249962,446.57796962499674,0.7358043786297418,0.8662713835589654,0.6345194362964214,-43.389948349244776,2225,51.68539325842697
1.5,1.5,471317.48028850555,371.31748028850586,0.6309604475048044,0.7527663807378248,0.5056368460277147,-49.156013606208035,2150,46.55813953488372
1.5,2.0,458716.2882928848,358.7162882928838,0.6009122681008352,0.7161513218357064,0.46392633266903205,-52.53326298685445,2114,45.033112582781456
1.5,2.5,534307.4485592842,434.3074485592834,0.6559286553886977,0.7854619436198483,0.5264967616054466,-51.50616722406261,2104,44.43916349809886
1.5,3.0,615472.7202448845,515.4727202448834,0.7168385554875585,0.8576638648532746,0.5801924086333868,-51.220994665021195,2093,44.2427138079312
2.0,1.0,356471.4411230087,256.4714411230077,0.588349218917061,0.6921039432948619,0.4653334740760403,-42.89601722100157,1993,52.13246362267938
2.0,1.5,397778.1638865471,297.7781638865459,0.6176217961799657,0.7377123269776029,0.48540774307865997,-45.03228460166938,1945,49.30591259640103
2.0,2.0,472998.6063475609,372.9986063475606,0.6906811219703461,0.8310315837531866,0.5384557297184821,-46.27819496494613,1928,48.703319502074685
2.0,2.5,530118.4671535492,430.11846715354693,0.7458380328754116,0.9037481671052044,0.5754151504671157,-46.87859311664092,1914,48.69383490073145
2.0,3.0,542711.6995954514,442.7116995954492,0.7570015981140595,0.9217286185315026,0.5935166794118127,-46.169228162501454,1908,48.63731656184486
2.5,1.0,326809.61696767807,226.80961696767815,0.6130760290681087,0.7409685883589243,0.43230278369733494,-42.74316104813597,1826,53.39539978094196
2.5,1.5,301909.5894751549,201.90958947515466,0.5438204761735987,0.652784220156954,0.374057115905083,-45.82507253249116,1797,51.196438508625484
2.5,2.0,358570.07145929337,258.57007145929435,0.632277888324635,0.7634338825121988,0.43448097359257837,-46.174217674926965,1780,51.12359550561798
2.5,2.5,331006.9225049019,231.00692250490144,0.5894626082195324,0.7148134736985143,0.4039621911043454,-46.27826694808349,1777,51.15362971299944
2.5,3.0,331374.66474056244,231.3746647405628,0.5894833859068453,0.7157300482582819,0.4116044665513355,-45.46486659035234,1777,51.20990433314575
3.0,1.0,284167.53186035156,184.16753186035183,0.5898599763249507,0.7156752542016653,0.4600662277036721,-35.059698378187285,1712,54.14719626168224
3.0,1.5,360385.75078344345,260.3857507834441,0.7213994660545258,0.8815815191132595,0.5488619589707024,-36.70992003842704,1691,53.222945002956834
3.0,2.0,382983.46230363846,282.98346230363836,0.7568001702414671,0.9305515025855965,0.5817033981901906,-36.443805260877596,1684,53.32541567695962
3.0,2.5,364796.2131986618,264.79621319866123,0.7245362723399885,0.8923611955104305,0.5515173118188075,-36.912925872508076,1682,53.269916765755056
3.0,3.0,358321.2724609375,258.3212724609388,0.7143773955905744,0.8782979646064363,0.5452547065975132,-36.77159915777376,1679,53.2459797498511
